CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
42600H108,,HENNESSY CAPITAL INVST CORP,2557363,2557363,24.81M,24.81M,NEW,3.8%
20607U108,CNDA,CONCORD ACQUISITION CORP II,1890054,1890054,18.3M,18.3M,NEW,2.8%
05467C108,APMI,AXONPRIME INFRSTCTR AQSTN CO,1481847,1481847,14.27M,14.27M,NEW,2.2%
73919C100,,POWER & DIGITAL INFRASTRUCTU,914200,914200,8.95M,8.95M,NEW,1.4%
30320F106,,FTAC ZEUS ACQUISITION COR,745000,745000,7.33M,7.33M,NEW,1.1%
G8253W109,,SOCIAL CAP SUVRETTA HLD CRPI,1137169,737169,11.26M,7.3M,+184.3%,1.7%
G41522106,,THE GROWTH FOR GOOD ACQU COR,606000,606000,5.89M,5.89M,NEW,0.89%
G01109100,,AFTERNEXT HEALTHTECH ACQUISI,350000,350000,3.39M,3.39M,NEW,0.51%
G7552B105,,RIBBIT LEAP LTD,318862,318862,3.15M,3.15M,NEW,0.48%
64823D102,,NEW PROVIDENCE ACQSITN CORP,263247,263247,2.62M,2.62M,NEW,0.4%
G4712C107,,ICONIC SPORTS ACQUISITION CO,246404,246404,2.46M,2.46M,NEW,0.37%
23312M106,,DA32 LIFE SCNCE TEC ACQSTN C,326328,250000,3.17M,2.43M,+327.5%,0.48%
31810Q107,,FINTECH ACQUISITION CORP V,200000,200000,1.97M,1.97M,NEW,0.3%
G82220123,SKYA,SKYDECK ACQUISITION CORP,913746,153326,8.88M,1.49M,+20.2%,1.3%
68218L108,,OMNICHANNEL ACQUISITION CORP,890032,140032,8.87M,1.4M,+18.7%,1.3%
G3R95N103,,ESGEN ACQUISITION CORP,137122,137122,1.37M,1.37M,NEW,0.21%
50202P105,,LI-CYCLE HOLDINGS CORP,205957,140060,1.74M,1.18M,+212.5%,0.26%
G0698L103,,AURORA ACQUISITION CORP,1068343,113143,10.53M,1.12M,+11.8%,1.6%
M5R75Y101,,IRONSOURCE LTD,260000,180000,1.25M,864K,+225%,0.19%
37519U109,,GIGCAPITAL 5 INC,61955,61955,617K,617K,NEW,0.09%
N0796A100,ALLGF,ALLEGO N V,33000,33000,499K,499K,NEW,0.08%
M84137104,SMWB,SIMILARWEB LTD,98235,38235,1.27M,495.09K,+63.7%,0.19%
42600H116,HCVIW,HENNESSY CAPITAL INVST CORP,852453,852453,492K,492K,NEW,0.07%
20607U116,CNDAW,CONCORD ACQUISITION CORP II,630018,630018,370K,370K,NEW,0.06%
G7154B107,,POEMA GLOBAL HOLDINGS CORP,36823,36823,363K,363K,NEW,0.06%
M8744T106,TBLA,TABOOLA.COM LTD,132387,62387,683K,321.86K,+89.1%,0.1%
05467C116,,AXONPRIME INFRSTCTR AQSTN CO,493949,493949,222K,222K,NEW,0.03%
69002R103,TEAD,OUTBRAIN INC,177716,20000,1.91M,214.61K,+12.7%,0.29%
73919C118,,POWER & DIGITAL INFRASTRUCTU,457100,457100,210K,210K,NEW,0.03%
907818108,UNP,UNION PAC CORP,750,750,205K,205K,NEW,0.03%
594918104,MSFT,MICROSOFT CORP,650,650,200K,200K,NEW,0.03%
126408103,CSX,CSX CORP,5000,5000,187K,187K,NEW,0.03%
03213A104,AMPL,AMPLITUDE INC,10000,10000,184K,184K,NEW,0.03%
30320F114,,FTAC ZEUS ACQUISITION COR,372500,372500,142K,142K,NEW,0.02%
