CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
75281A109,RRC,RANGE RES CORP,275000,275000,8.36M,8.36M,NEW,5.3%
704551100,BTU,PEABODY ENGR CORP,325000,325000,7.97M,7.97M,NEW,5%
37611X100,DNA.MX,GINKGO BIOWORKS HOLDINGS INC,1550000,1550000,6.25M,6.25M,NEW,3.9%
57142B104,MQ,MARQETA INC,350000,300000,3.86M,3.31M,+600%,2.4%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,520000,90000,16.75M,2.9M,+20.9%,10.6%
212015101,,CONTINENTAL RES INC,195000,45000,11.96M,2.76M,+30%,7.5%
093712107,BE,BLOOM ENERGY CORP,270000,110000,6.52M,2.66M,+68.8%,4.1%
205768302,CRK,COMSTOCK RES INC,140000,140000,1.83M,1.83M,NEW,1.2%
378973408,GSAT,GLOBALSTAR INC,9300000,600000,13.67M,882K,+6.9%,8.6%
03236M200,AAPL,AMYRIS INC,725000,165000,3.16M,719.4K,+29.5%,2%
70614W100,PTON,PELOTON INTERACTIVE INC,20000,20000,528K,528K,NEW,0.33%
878742204,TECK,TECK RESOURCES LTD,325000,0,13.13M,0,NO CHANGE,8.3%
24790A101,,DENBURY INC,85000,0,6.68M,0,NO CHANGE,4.2%
38500T101,GTE.L,GRAN TIERRA ENERGY INC,3000000,0,4.71M,0,NO CHANGE,3%
H17182108,CRSP,CRISPR THERAPEUTICS AG,50000,0,3.14M,0,NO CHANGE,2%
G9460G101,VAL,VALARIS LIMITED,38140,0,1.98M,0,NO CHANGE,1.3%
50066V107,,KORE GROUP HOLDINGS INC,162513,0,975K,0,NO CHANGE,0.62%
206071102,,CONCORD ACQUISITION CORP,550000,-50000,5.47M,-497.55K,-8.3%,3.5%
09228F103,BB,BLACKBERRY LTD,265000,-125000,1.98M,-932.55K,-32.1%,1.2%
554382101,MAC,MACERICH CO,100000,-60000,1.56M,-938.4K,-37.5%,0.99%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,50000,-90000,687K,-1.24M,-64.3%,0.43%
03674X106,AR,ANTERO RESOURCES CORP,1000000,-50000,30.53M,-1.53M,-4.8%,19.3%
92556H206,PSKY,VIACOMCBS INC,0,-60000,0,-1.81M,CLOSE,0%
553368101,MP,MP MATERIALS CORP,80000,-35000,4.59M,-2.01M,-30.4%,2.9%
845467109,SWN,SOUTHWESTERN ENERGY CO,300000,-300000,2.15M,-2.15M,-50%,1.4%
25470M109,,DISH NETWORK CORPORATION,0,-130000,0,-4.22M,CLOSE,0%
21925D109,,CORNERSTONE BLDG BRANDS INC,0,-350000,0,-6.1M,CLOSE,0%
Total,,,,,158.44M,16.74M,+15%,100%
