CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
008474108,AEM,AGNICO EAGLE MINES LTD,1187573,461658,72.67M,28.25M,+63.6%,5.1%
92859G202,,VIZSLA SILVER CORP,4281966,4281966,8.59M,8.59M,NEW,0.6%
29446Y502,EQX,EQUINOX GOLD CORP,5854118,636480,48.35M,5.26M,+12.2%,3.4%
25460G880,DUST,DIREXION SHS ETF TR,361600,361600,4.34M,4.34M,NEW,0.31%
784730103,SSRM,SSR MNG INC,2785065,184124,60.54M,4M,+7.1%,4.3%
296006109,ERO,ERO COPPER CORP,255435,229647,3.74M,3.36M,+890.5%,0.26%
30231G102,XOM,EXXON MOBIL CORP,39251,39251,3.24M,3.24M,NEW,0.23%
644535106,NGD,NEW GOLD INC CDA,15625096,1771465,28.12M,3.19M,+12.8%,2%
806882106,RDUS,SCHNITZER STEEL INDS INC,201000,61000,10.44M,3.17M,+43.6%,0.74%
82575P107,SBSW,SIBANYE STILLWATER LTD,3357222,181028,54.49M,2.94M,+5.7%,3.8%
828363101,SILV,SILVERCREST METALS INC,7747374,315462,69.02M,2.81M,+4.2%,4.9%
885160101,THO,THOR INDS INC,145000,35000,11.41M,2.75M,+31.8%,0.8%
03062D100,USAS,AMERICAS GOLD AND SILVER COR,2507843,2507843,2.75M,2.75M,NEW,0.19%
04316A108,APAM,ARTISAN PARTNERS ASSET MGMT,300000,60000,11.8M,2.36M,+25%,0.83%
928298108,VSH,VISHAY INTERTECHNOLOGY INC,420000,100000,8.23M,1.96M,+31.2%,0.58%
55903Q104,MAG,MAG SILVER CORP,5080197,97852,82.17M,1.58M,+2%,5.8%
91912E105,VALE,VALE S A,56678,56678,1.13M,1.13M,NEW,0.08%
85207H104,PHYS,SPROTT PHYSICAL GOLD TR,285377,72139,4.39M,1.11M,+33.8%,0.31%
85207K107,PSLV,SPROTT PHYSICAL SILVER TR,445123,117640,3.9M,1.03M,+35.9%,0.27%
284902509,EGO,ELDORADO GOLD CORP NEW,89214,89214,951K,951K,NEW,0.07%
496902404,KGC,KINROSS GOLD CORP,8399518,146306,49.39M,860.28K,+1.8%,3.5%
464287432,TLT,ISHARES TR,12340,5295,1.63M,699.42K,+75.2%,0.11%
74347W601,UGL,PROSHARES TR II,7100,7100,470K,470K,NEW,0.03%
78463V107,GLD,SPDR GOLD TR,4790,2392,865K,431.96K,+99.7%,0.06%
301505715,URNM,EXCHANGE TRADED CONCEPTS TR,5058,5058,421K,421K,NEW,0.03%
13321L108,CCJ,CAMECO CORP,91307,13535,2.66M,393.86K,+17.4%,0.19%
00548F105,PEO,ADAM NAT RES FD INC,34228,18528,716K,387.58K,+118%,0.05%
92189F106,GDX,VANECK ETF TRUST,22459,9582,861K,367.34K,+74.4%,0.06%
858119100,STLD,STEEL DYNAMICS INC,4100,4100,342K,342K,NEW,0.02%
833635105,SQM,SOCIEDAD QUIMICA Y MINERA DE,13142,3517,1.12M,301.07K,+36.5%,0.08%
512807108,LRCX.MX,LAM RESEARCH CORP,500,500,269K,269K,NEW,0.02%
172755100,CRUS,CIRRUS LOGIC INC,3000,3000,254K,254K,NEW,0.02%
26873J107,EMX,EMX RTY CORP,4114633,103973,8.92M,225.5K,+2.6%,0.63%
810186106,SMG,SCOTTS MIRACLE-GRO CO,4267,1726,525K,212.36K,+67.9%,0.04%
594972408,MSTR,MICROSTRATEGY INC,434,434,211K,211K,NEW,0.01%
780259305,SHEL,SHELL PLC,3750,3750,206K,206K,NEW,0.01%
88262P102,TPL,TEXAS PACIFIC LAND CORPORATI,1542,148,2.08M,200.12K,+10.6%,0.15%
10918L103,,BRIGHAM MINERALS INC,39347,3858,1M,98.54K,+10.9%,0.07%
85208R101,CEF,SPROTT PHYSICAL GOLD & SILVE,66647,4693,1.29M,90.98K,+7.6%,0.09%
