CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
30303M102,META,META PLATFORMS INC,213432,213311,34.42M,34.4M,+176290.1%,5.1%
02079K305,GOOGL,ALPHABET INC,13737,13321,29.94M,29.03M,+3202.2%,4.4%
679295105,OKTA,OKTA INC,307342,302581,27.78M,27.35M,+6355.4%,4.1%
G6683N103,NU,NU HLDGS LTD,9230929,7193318,34.52M,26.9M,+353%,5.1%
81762P102,NOW,SERVICENOW INC,48189,48189,22.91M,22.91M,NEW,3.4%
83406F102,SOFI,SOFI TECHNOLOGIES INC,4116790,3723718,21.7M,19.62M,+947.3%,3.2%
90138F102,TWLO,TWILIO INC,270468,198009,22.67M,16.6M,+273.3%,3.3%
91688F104,UPWK,UPWORK INC,1580608,771261,32.69M,15.95M,+95.3%,4.8%
023135106,AMZN,AMAZON COM INC,140042,140032,14.87M,14.87M,+1400320%,2.2%
697435105,PANW,PALO ALTO NETWORKS INC,44735,24213,22.1M,11.96M,+118%,3.2%
594918104,MSFT,MICROSOFT CORP,60235,15685,15.47M,4.03M,+35.2%,2.3%
G2519Y108,BAP,CREDICORP LTD,25599,25599,3.07M,3.07M,NEW,0.45%
146869102,CVNA,CARVANA CO,127032,126888,2.87M,2.87M,+88116.7%,0.42%
037833100,AAPL,APPLE INC,19595,19353,2.68M,2.65M,+7997.1%,0.39%
134748102,CAN,CANAAN INC,746566,681111,2.4M,2.19M,+1040.6%,0.35%
82669G104,SBNY,SIGNATURE BK NEW YORK N Y,11772,11772,2.11M,2.11M,NEW,0.31%
82489W107,SHLS,SHOALS TECHNOLOGIES GROUP IN,122874,122874,2.02M,2.02M,NEW,0.3%
81141R100,SE,SEA LTD,47878,27218,3.2M,1.82M,+131.7%,0.47%
64110L106,NFLX,NETFLIX INC,37265,9963,6.52M,1.74M,+36.5%,0.96%
62914V106,NIO,NIO INC,75235,74585,1.63M,1.62M,+11474.6%,0.24%
852234103,XYZ,BLOCK INC,73342,25795,4.51M,1.59M,+54.3%,0.66%
Q4982L109,IREN,IRIS ENERGY LTD,412117,412117,1.38M,1.38M,NEW,0.2%
98422D105,XPEV,XPENG INC,43460,43460,1.38M,1.38M,NEW,0.2%
594972408,MSTR,MICROSTRATEGY INC,15085,7892,2.48M,1.3M,+109.7%,0.36%
04271T100,ARRY,ARRAY TECHNOLOGIES INC,108515,108515,1.19M,1.19M,NEW,0.18%
82837P408,SICP,SILVERGATE CAP CORP,66852,22226,3.58M,1.19M,+49.8%,0.53%
368736104,GNRC,GENERAC HLDGS INC,5246,5246,1.1M,1.1M,NEW,0.16%
58733R102,MELI,MERCADOLIBRE INC,1716,1703,1.09M,1.08M,+13100%,0.16%
44951Y102,,HYZON MOTORS INC,359260,359260,1.06M,1.06M,NEW,0.16%
78463M107,SPSC,SPS COMM INC,8878,8878,1M,1M,NEW,0.15%
05338G106,,AVALARA INC,12928,12928,912.72K,912.72K,NEW,0.13%
34959E109,FTNT,FORTINET INC,15235,15235,862K,862K,NEW,0.13%
562750109,MANH,MANHATTAN ASSOCIATES INC,7469,7469,855.95K,855.95K,NEW,0.13%
30219Q106,EXFY,EXPENSIFY INC,42939,42939,763.88K,763.88K,NEW,0.11%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,15683,15683,711.85K,711.85K,NEW,0.1%
482480100,KLAC,KLA CORP,2220,2220,708.36K,708.36K,NEW,0.1%
98138H101,WDAY,WORKDAY INC,4885,4885,681.85K,681.85K,NEW,0.1%
N5749R100,MRUS,MERUS N V,34606,30045,783.48K,680.22K,+658.7%,0.12%
767292105,RIOT,RIOT BLOCKCHAIN INC,311990,147637,1.31M,618.6K,+89.8%,0.19%
753422104,RPD,RAPID7 INC,9088,9088,607.08K,607.08K,NEW,0.09%
518415104,LSCC,LATTICE SEMICONDUCTOR CORP,11300,11300,548.05K,548.05K,NEW,0.08%
G29018101,DLO,DLOCAL LTD,19923,19923,522.98K,522.98K,NEW,0.08%
461202103,INTU,INTUIT INC,1309,1253,504.54K,482.96K,+2237.5%,0.07%
573874104,MRVL,MARVELL TECHNOLOGY INC,13903,10555,605.2K,459.46K,+315.3%,0.09%
20717M103,CFLT,CONFLUENT INC,49704,19576,1.16M,454.95K,+65%,0.17%
68236P107,,ONCTERNAL THERAPEUTICS INC,417000,417000,452.88K,452.88K,NEW,0.07%
09609G100,,BLUEBIRD BIO INC,71550,71550,327.7K,327.7K,NEW,0.05%
565788106,MARA,MARATHON DIGITAL HOLDINGS IN,180407,60352,963.37K,322.28K,+50.3%,0.14%
G037AX101,AMBA,AMBARELLA INC,10310,4606,674.89K,301.51K,+80.8%,0.1%
25862V105,DV,DOUBLEVERIFY HLDGS INC,11899,11899,269.75K,269.75K,NEW,0.04%
57142B104,MQ,MARQETA INC,31322,31322,254.02K,254.02K,NEW,0.04%
