CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,26800,25140,2.85M,2.67M,+1514.5%,4.4%
02079K305,GOOGL,ALPHABET INC,1464,428,3.19M,932.72K,+41.3%,4.9%
67066G104,NVDA,NVIDIA CORPORATION,23256,3622,3.53M,549.06K,+18.4%,5.4%
G1151C101,ACN,ACCENTURE PLC IRELAND,2700,1900,749.65K,527.53K,+237.5%,1.2%
038222105,AMAT,APPLIED MATLS INC,22800,5100,2.07M,464K,+28.8%,3.2%
573874104,MRVL,MARVELL TECHNOLOGY INC,10000,10000,435.3K,435.3K,NEW,0.67%
852312305,STAA,STAAR SURGICAL CO,6000,6000,425.58K,425.58K,NEW,0.65%
82509L107,SHOP,SHOPIFY INC,12500,11250,390.5K,351.45K,+900%,0.6%
60937P106,MDB,MONGODB INC,3700,1300,960.15K,337.35K,+54.2%,1.5%
23804L103,DDOG,DATADOG INC,6000,3000,571.44K,285.72K,+100%,0.88%
254687106,DIS,DISNEY WALT CO,10479,2340,989.22K,220.9K,+28.8%,1.5%
855244109,SBUX,STARBUCKS CORP,17982,1963,1.37M,149.95K,+12.3%,2.1%
46120E602,ISRG,INTUITIVE SURGICAL INC,6200,700,1.24M,140.5K,+12.7%,1.9%
88160R101,TSLA,TESLA INC,700,200,471.39K,134.68K,+40%,0.72%
00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,6147,362,2.25M,132.51K,+6.3%,3.5%
171779309,CIEN,CIENA CORP,29850,2850,1.36M,130.25K,+10.6%,2.1%
007903107,AMD,ADVANCED MICRO DEVICES INC,20900,1600,1.6M,122.35K,+8.3%,2.5%
244199105,DE,DEERE & CO,400,400,119.79K,119.79K,NEW,0.18%
060505104,BAC,BK OF AMERICA CORP,15000,3600,466.95K,112.07K,+31.6%,0.72%
443573100,HUBS,HUBSPOT INC,3000,300,901.95K,90.19K,+11.1%,1.4%
002824100,ABT,ABBOTT LABS,800,800,86.92K,86.92K,NEW,0.13%
931142103,WMT,WALMART INC,600,600,72.95K,72.95K,NEW,0.11%
38141G104,GS,GOLDMAN SACHS GROUP INC,225,225,66.83K,66.83K,NEW,0.1%
30231G102,XOM,EXXON MOBIL CORP,750,750,64.23K,64.23K,NEW,0.1%
76680R206,RNG,RINGCENTRAL INC,9700,1200,506.92K,62.71K,+14.1%,0.78%
46625H100,JPM,JPMORGAN CHASE & CO,3500,500,394.13K,56.3K,+16.7%,0.61%
172967424,C,CITIGROUP INC,7850,1200,361.02K,55.19K,+18%,0.55%
037833100,AAPL,APPLE INC,17517,379,2.39M,51.82K,+2.2%,3.7%
83304A106,SNAP,SNAP INC,23000,3000,301.99K,39.39K,+15%,0.46%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,29000,4000,263.03K,36.28K,+16%,0.4%
256677105,DG,DOLLAR GEN CORP NEW,2500,100,613.6K,24.54K,+4.2%,0.94%
H50430232,LOGI,LOGITECH INTL S A,2000,300,104.37K,15.65K,+17.6%,0.16%
697435105,PANW,PALO ALTO NETWORKS INC,2800,0,1.38M,0,NO CHANGE,2.1%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,6900,0,1.16M,0,NO CHANGE,1.8%
57636Q104,MA,MASTERCARD INCORPORATED,3510,0,1.11M,0,NO CHANGE,1.7%
835699307,SONY,SONY GROUP CORPORATION,12000,0,981.24K,0,NO CHANGE,1.5%
79466L302,CRM,SALESFORCE INC,5047,0,832.96K,0,NO CHANGE,1.3%
57667L107,MTCH,MATCH GROUP INC NEW,11100,0,773.56K,0,NO CHANGE,1.2%
30303M102,META,META PLATFORMS INC,4543,0,732.56K,0,NO CHANGE,1.1%
29414B104,EPAM,EPAM SYS INC,1700,0,501.13K,0,NO CHANGE,0.77%
70450Y103,PYPL,PAYPAL HLDGS INC,6195,0,432.66K,0,NO CHANGE,0.66%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,270,0,352.96K,0,NO CHANGE,0.54%
848637104,,SPLUNK INC,3500,0,309.61K,0,NO CHANGE,0.48%
92206C409,VCSH,VANGUARD SCOTTSDALE FDS,3500,0,266.91K,0,NO CHANGE,0.41%
464288646,IGSB,ISHARES TR,5000,0,252.75K,0,NO CHANGE,0.39%
067901108,B,BARRICK GOLD CORP,13000,0,230.55K,0,NO CHANGE,0.35%
023436108,AMED,AMEDISYS INC,2050,0,215.5K,0,NO CHANGE,0.33%
92826C839,V,VISA INC,600,0,118.13K,0,NO CHANGE,0.18%
31620M106,FIS,FIDELITY NATL INFORMATION SV,1000,0,91.67K,0,NO CHANGE,0.14%
713448108,PEP,PEPSICO INC,450,0,75K,0,NO CHANGE,0.12%
003654100,,ABIOMED INC,300,0,74.25K,0,NO CHANGE,0.11%
458140100,INTC,INTEL CORP,1900,0,71.08K,0,NO CHANGE,0.11%
77543R102,ROKU,ROKU INC,600,0,49.28K,0,NO CHANGE,0.08%
68622V106,OGN,ORGANON & CO,0,-170,0,-5.94K,CLOSE,0%
31428X106,FDX,FEDEX CORP,500,-100,113.36K,-22.67K,-16.7%,0.17%
37940X102,GPN,GLOBAL PMTS INC,800,-250,88.51K,-27.66K,-23.8%,0.14%
882508104,TXN,TEXAS INSTRS INC,500,-200,76.83K,-30.73K,-28.6%,0.12%
620076307,MSI,MOTOROLA SOLUTIONS INC,700,-150,146.72K,-31.44K,-17.6%,0.23%
17275R102,CSCO,CISCO SYS INC,4750,-900,202.54K,-38.38K,-15.9%,0.31%
64110L106,NFLX,NETFLIX INC,1860,-270,325.26K,-47.21K,-12.7%,0.5%
654106103,NKE,NIKE INC,23981,-513,2.45M,-52.43K,-2.1%,3.8%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,7700,-700,713.79K,-64.89K,-8.3%,1.1%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,12500,-1500,726K,-87.12K,-10.7%,1.1%
75886F107,REGN,REGENERON PHARMACEUTICALS,900,-150,532.02K,-88.67K,-14.3%,0.82%
191216100,KO,COCA COLA CO,9700,-1500,610.23K,-94.36K,-13.4%,0.94%
285512109,EA,ELECTRONIC ARTS INC,900,-800,109.48K,-97.32K,-47.1%,0.17%
031162100,AMGN,AMGEN INC,2050,-450,498.76K,-109.48K,-18%,0.77%
595112103,MU,MICRON TECHNOLOGY INC,39462,-2010,2.18M,-111.11K,-4.8%,3.4%
101137107,BSX,BOSTON SCIENTIFIC CORP,43000,-3000,1.6M,-111.81K,-6.5%,2.5%
75513E101,RTX,RAYTHEON TECHNOLOGIES CORP,7800,-1200,749.66K,-115.33K,-13.3%,1.2%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,15250,-1000,1.87M,-122.53K,-6.2%,2.9%
438516106,HON,HONEYWELL INTL INC,4000,-1100,695.24K,-191.19K,-21.6%,1.1%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,2800,-1300,414.48K,-192.44K,-31.7%,0.64%
58933Y105,MRK,MERCK & CO INC,8300,-2140,756.71K,-195.1K,-20.5%,1.2%
478160104,JNJ,JOHNSON & JOHNSON,4100,-1500,727.79K,-266.26K,-26.8%,1.1%
12047B105,BMBL,BUMBLE INC,25000,-10000,703.75K,-281.5K,-28.6%,1.1%
594918104,MSFT,MICROSOFT CORP,16457,-1378,4.23M,-353.91K,-7.7%,6.5%
679295105,OKTA,OKTA INC,0,-3100,0,-467.98K,CLOSE,0%
98986T108,,ZYNGA INC,0,-56800,0,-524.83K,CLOSE,0%
G5960L103,MDT,MEDTRONIC PLC,11900,-6000,1.07M,-538.5K,-33.5%,1.6%
00507V109,ATVI,ACTIVISION BLIZZARD INC,0,-9819,0,-786.6K,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,15662,-7436,2.29M,-1.09M,-32.2%,3.5%
380237107,GDDY,GODADDY INC,0,-15000,0,-1.26M,CLOSE,0%
Total,,,,,65.07M,1.57M,+1.8%,100%
