CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81762P102,NOW,SERVICENOW INC,32500,32500,15.45M,15.45M,NEW,4.2%
34959E109,FTNT,FORTINET INC,250000,250000,14.14M,14.14M,NEW,3.9%
023135106,AMZN,AMAZON COM INC,130000,130000,13.81M,13.81M,NEW,3.8%
G06242104,TEAM.MX,ATLASSIAN CORP PLC,72500,72500,13.59M,13.59M,NEW,3.7%
98980F104,GTM,ZOOMINFO TECHNOLOGIES INC,400000,400000,13.3M,13.3M,NEW,3.7%
30303M102,META,META PLATFORMS INC,75000,75000,12.09M,12.09M,NEW,3.3%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,115000,60000,19.38M,10.11M,+109.1%,5.3%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,85000,75000,10.41M,9.19M,+750%,2.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,155000,107000,11.85M,8.18M,+222.9%,3.3%
682189105,ON,ON SEMICONDUCTOR CORP,190000,160000,9.56M,8.05M,+533.3%,2.6%
461202103,INTU,INTUIT,37500,17500,14.45M,6.75M,+87.5%,4%
74736K101,QRVO,QORVO INC,67500,67500,6.37M,6.37M,NEW,1.7%
88339J105,TTD,THE TRADE DESK INC,240000,145000,10.05M,6.07M,+152.6%,2.8%
11135F101,AVGO,BROADCOM INC,18000,11000,8.74M,5.34M,+157.1%,2.4%
882508104,TXN,TEXAS INSTRS INC,32500,32500,4.99M,4.99M,NEW,1.4%
24703L202,DELL,DELL TECHNOLOGIES INC,100000,100000,4.62M,4.62M,NEW,1.3%
96208T104,WEX,WEX INC,40000,25000,6.22M,3.89M,+166.7%,1.7%
G1151C101,ACN,ACCENTURE PLC IRELAND,14000,14000,3.89M,3.89M,NEW,1.1%
01609W102,BABA,ALIBABA GROUP HLDG LTD,90000,34000,10.23M,3.87M,+60.7%,2.8%
78462F103,SPY,SPDR S&P 500 ETF TR,10000,10000,3.77M,3.77M,NEW,1%
573874104,MRVL,MARVELL TECHNOLOGY INC,75000,75000,3.27M,3.27M,NEW,0.9%
98980L101,ZM,ZOOM VIDEO COMMUNICATIONS IN,30000,30000,3.24M,3.24M,NEW,0.89%
482480100,KLAC,KLA CORP,30000,10000,9.57M,3.19M,+50%,2.6%
09857L108,BKNG,BOOKING HOLDINGS INC,3800,1600,6.65M,2.8M,+72.7%,1.8%
92826C839,V,VISA INC,25000,14000,4.92M,2.76M,+127.3%,1.4%
17275R102,CSCO,CISCO SYS INC,60000,60000,2.56M,2.56M,NEW,0.7%
83417M104,SEDG,SOLAREDGE TECHNOLOGIES INC,16500,8000,4.52M,2.19M,+94.1%,1.2%
46267X108,IQ,IQIYI INC,400000,400000,1.68M,1.68M,NEW,0.46%
654902204,NOK,NOKIA CORP,1059495,209495,4.88M,965.72K,+24.6%,1.3%
48203R104,JNPR,JUNIPER NETWORKS INC,175000,23000,4.99M,655.57K,+15.1%,1.4%
57636Q104,MA,MASTERCARD INCORPORATED,20000,0,6.31M,0,NO CHANGE,1.7%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,37500,-2500,5.63M,-375.07K,-6.2%,1.5%
M98068105,WIX,WIX COM LTD,0,-10000,0,-1.04M,CLOSE,0%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,100000,-130000,1.33M,-1.72M,-56.5%,0.36%
037833100,AAPL,APPLE INC,0,-10000,0,-1.75M,CLOSE,0%
57667L107,MTCH,MATCH GROUP INC NEW,22500,-27500,1.57M,-1.92M,-55%,0.43%
G39387108,GFS,GLOBALFOUNDRIES INC,0,-35000,0,-2.19M,CLOSE,0%
72352L106,PINS,PINTEREST INC,0,-90000,0,-2.21M,CLOSE,0%
443573100,HUBS,HUBSPOT INC,32500,-7500,9.77M,-2.25M,-18.8%,2.7%
722304102,PDD,PINDUODUO INC,43000,-37000,2.66M,-2.29M,-46.2%,0.73%
032654105,ADI,ANALOG DEVICES INC,0,-15000,0,-2.48M,CLOSE,0%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,27500,-12500,5.78M,-2.63M,-31.2%,1.6%
040413106,,ARISTA NETWORKS INC,0,-20500,0,-2.85M,CLOSE,0%
009066101,ABNB,AIRBNB INC,20000,-35000,1.78M,-3.12M,-63.6%,0.49%
08265T208,BSY,BENTLEY SYS INC,80000,-95000,2.66M,-3.16M,-54.3%,0.73%
03831W108,APP,APPLOVIN CORP,0,-58000,0,-3.19M,CLOSE,0%
697435105,PANW,PALO ALTO NETWORKS INC,33500,-6500,16.55M,-3.21M,-16.2%,4.5%
98986T108,,ZYNGA INC,0,-350000,0,-3.23M,CLOSE,0%
60937P106,MDB,MONGODB INC,50000,-12500,12.97M,-3.24M,-20%,3.6%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,0,-20000,0,-3.7M,CLOSE,0%
25809K105,DASH,DOORDASH INC,0,-35000,0,-4.1M,CLOSE,0%
83304A106,SNAP,SNAP INC,0,-120000,0,-4.32M,CLOSE,0%
70450Y103,PYPL,PAYPAL HLDGS INC,0,-40000,0,-4.63M,CLOSE,0%
23804L103,DDOG,DATADOG INC,100000,-50000,9.52M,-4.76M,-33.3%,2.6%
29786A106,ETSY,ETSY INC,0,-39000,0,-4.85M,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,0,-65000,0,-5.06M,CLOSE,0%
90353T100,UBER,UBER TECHNOLOGIES INC,0,-160000,0,-5.71M,CLOSE,0%
70432V102,PAYC,PAYCOM SOFTWARE INC,55000,-25000,15.41M,-7M,-31.2%,4.2%
038222105,AMAT,APPLIED MATLS INC,0,-54000,0,-7.12M,CLOSE,0%
922280102,VRNS,VARONIS SYS INC,50000,-250000,1.47M,-7.33M,-83.3%,0.4%
02079K305,GOOGL,ALPHABET INC,0,-2800,0,-7.79M,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,0,-80000,0,-7.94M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,250000,-135000,17.47M,-9.43M,-35.1%,4.8%
22266L106,,COUPA SOFTWARE INC,0,-150000,0,-15.25M,CLOSE,0%
00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,0,-35000,0,-15.95M,CLOSE,0%
Total,,,,,364.08M,32.98M,+8.2%,100%
