CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
934423104,WBD,WARNER BROS DISCOVERY INC,462085,462085,6.2M,6.2M,NEW,3.8%
25787G100,DFIN,DONNELLEY FINL SOLUTIONS INC,210975,104841,6.18M,3.07M,+98.8%,3.8%
858586100,SCL,STEPAN CO,50552,7069,5.12M,716.38K,+16.3%,3.1%
747525103,QCOM,QUALCOMM INC,119125,4453,15.22M,568.83K,+3.9%,9.3%
354613101,BEN,FRANKLIN RESOURCES INC,291669,22245,6.8M,518.55K,+8.3%,4.2%
219350105,GLW,CORNING INC,286079,10159,9.01M,320.1K,+3.7%,5.5%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,19052,1140,5.2M,311.27K,+6.4%,3.2%
384313508,EAF.MX,GRAFTECH INTL LTD,666168,41785,4.71M,295.43K,+6.7%,2.9%
962166104,WY,WEYERHAEUSER CO MTN BE,281610,8548,9.33M,283.11K,+3.1%,5.7%
33833Q106,FPH,FIVE POINT HOLDINGS LLC,1224298,63920,4.79M,249.93K,+5.5%,2.9%
67066G104,NVDA,NVIDIA CORPORATION,183439,1210,27.81M,183.42K,+0.7%,17%
55261F104,MTB,M & T BK CORP,16215,840,2.58M,133.91K,+5.5%,1.6%
427825500,,HERSHA HOSPITALITY TR,341159,5273,3.35M,51.73K,+1.6%,2.1%
037833100,AAPL,APPLE INC,1768,248,242K,33.95K,+16.3%,0.15%
46625H100,JPM,JPMORGAN CHASE & CO,3140,145,354K,16.35K,+4.8%,0.22%
875465106,SKT,TANGER FACTORY OUTLET CTRS I,409106,1026,5.82M,14.59K,+0.3%,3.6%
031162100,AMGN,AMGEN INC,46672,29,11.36M,7.06K,+0.1%,7%
58933Y105,MRK,MERCK & CO INC,3756,40,342K,3.64K,+1.1%,0.21%
93627C101,HCC,WARRIOR MET COAL INC,246552,78,7.55M,2.39K,+0%,4.6%
89656D101,TPHS,TRINITY PL HLDGS INC,477780,850,483K,859.29,+0.2%,0.3%
907818108,UNP,UNION PAC CORP,6744,0,1.44M,0,NO CHANGE,0.88%
704326107,PAYX,PAYCHEX INC,8707,0,991K,0,NO CHANGE,0.61%
478160104,JNJ,JOHNSON & JOHNSON,4455,0,791K,0,NO CHANGE,0.48%
74834L100,DGX,QUEST DIAGNOSTICS INC,2500,0,332K,0,NO CHANGE,0.2%
580135101,MCD,MCDONALDS CORP,1300,0,321K,0,NO CHANGE,0.2%
717081103,PFE,PFIZER INC,6075,0,319K,0,NO CHANGE,0.2%
742718109,PG,PROCTER AND GAMBLE CO,1700,0,244K,0,NO CHANGE,0.15%
254687106,DIS,DISNEY WALT CO,2320,0,219K,0,NO CHANGE,0.13%
91324P102,UNH,UNITEDHEALTH GROUP INC,400,0,205K,0,NO CHANGE,0.13%
81752R100,SRG,SERITAGE GROWTH PPTYS,132460,-325,690K,-1.69K,-0.2%,0.42%
03743Q108,APA,APA CORPORATION,34130,-99,1.19M,-3.45K,-0.3%,0.73%
G0457F107,ARCO,ARCOS DORADOS HOLDINGS INC,521053,-957,3.51M,-6.45K,-0.2%,2.2%
718546104,PSX,PHILLIPS 66,24357,-114,2M,-9.35K,-0.5%,1.2%
30231G102,XOM,EXXON MOBIL CORP,16431,-114,1.41M,-9.76K,-0.7%,0.86%
49446R109,KIM,KIMCO RLTY CORP,367039,-1260,7.26M,-24.91K,-0.3%,4.4%
540424108,L,LOEWS CORP,165648,-678,9.82M,-40.18K,-0.4%,6%
773903109,ROK,ROCKWELL AUTOMATION INC,0,-800,0,-224K,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-739,0,-228K,CLOSE,0%
25470F302,,DISCOVERY INC,0,-433932,0,-10.84M,CLOSE,0%
Total,,,,,163.17M,1.6M,+0.8%,100%
