CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,25000,17300,54.48M,37.7M,+224.7%,23.5%
023135106,AMZN,AMAZON COM INC,234000,227300,24.85M,24.14M,+3392.5%,10.7%
25470M109,,DISH NETWORK CORPORATION,2155883,585000,38.66M,10.49M,+37.2%,16.7%
594918104,MSFT,MICROSOFT CORP,76787,25000,19.72M,6.42M,+48.3%,8.5%
03676B102,AM,ANTERO MIDSTREAM CORP,380315,100000,3.44M,905.04K,+35.7%,1.5%
595112103,MU,MICRON TECHNOLOGY INC,580400,0,32.09M,0,NO CHANGE,13.9%
893641100,TDG,TRANSDIGM GROUP INC,31500,0,16.91M,0,NO CHANGE,7.3%
L7579L106,,PERIMETER SOLUTIONS SA,430000,0,4.66M,0,NO CHANGE,2%
G0371B109,,ALTIMETER GROWTH CORP 2,347232,0,3.42M,0,NO CHANGE,1.5%
00951K104,,AIRSPAN NETWORKS HOLDINGS IN,1047473,0,3.13M,0,NO CHANGE,1.4%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,100000,0,253K,0,NO CHANGE,0.11%
G4124C117,GRABW,GRAB HOLDINGS LIMITED,80000,0,33K,0,NO CHANGE,0.01%
458140100,INTC,INTEL CORP,268000,-157672,10.03M,-5.9M,-37%,4.3%
00507V109,ATVI,ACTIVISION BLIZZARD INC,0,-100000,0,-8.01M,CLOSE,0%
03674X106,AR,ANTERO RESOURCES CORP,650000,-350000,19.92M,-10.73M,-35%,8.6%
Total,,,,,231.59M,55.02M,+22.1%,100%
