CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02156K103,OPTU,ALTICE USA INC,10839699,750000,100.27M,6.94M,+7.4%,13.6%
071734107,BHC,BAUSCH HEALTH COS INC,2754118,350981,23.02M,2.93M,+14.6%,3.1%
848574109,SPR,SPIRIT AEROSYSTEMS HLDGS INC,1214079,100000,35.57M,2.93M,+9%,4.8%
75737FAE8,RDFN,REDFIN CORP,3000000,3000000,1.4M,1.4M,NEW,0.19%
030506109,AMWD,AMERICAN WOODMARK CORPORATIO,30000,30000,1.35M,1.35M,NEW,0.18%
54911Q107,,LOYALTY VENTURES INC,1979885,6644,7.07M,23.72K,+0.3%,0.96%
N00985106,AER,AERCAP HOLDINGS NV,1634593,0,66.92M,0,NO CHANGE,9.1%
46267XAE8,IQ,IQIYI INC,66683000,0,44.37M,0,NO CHANGE,6%
172967424,C,CITIGROUP INC,890000,0,40.93M,0,NO CHANGE,5.5%
018581108,BFH,BREAD FINANCIAL HOLDINGS INC,895478,0,33.19M,0,NO CHANGE,4.5%
G0084W101,ADNT,ADIENT PLC,1104134,0,32.72M,0,NO CHANGE,4.4%
02913V103,APEI,AMERICAN PUB ED INC,1852192,0,29.93M,0,NO CHANGE,4.1%
54150E104,LOMA,LOMA NEGRA C I A S A MTN 14,5873428,0,29.84M,0,NO CHANGE,4%
750236101,RDN,RADIAN GROUP INC,1428589,0,28.07M,0,NO CHANGE,3.8%
929042109,VNO,VORNADO RLTY TR,931901,0,26.64M,0,NO CHANGE,3.6%
G27907107,DOLE,DOLE PLC,2557687,0,21.64M,0,NO CHANGE,2.9%
88033G407,THC,TENET HEALTHCARE CORP,399138,0,20.98M,0,NO CHANGE,2.8%
294600101,,EQUITRANS MIDSTREAM CORP,3130760,0,19.91M,0,NO CHANGE,2.7%
143658300,CCL,CARNIVAL CORP,1974260,0,17.08M,0,NO CHANGE,2.3%
879273209,TEO,TELECOM ARGENTINA SA,3585329,0,16.31M,0,NO CHANGE,2.2%
67181AAB3,,OAK STR HEALTH INC,22440000,0,16.16M,0,NO CHANGE,2.2%
552848103,MTG,MGIC INVT CORP WIS,820705,0,10.34M,0,NO CHANGE,1.4%
Y81669106,GASS,STEALTHGAS INC,2404887,0,7.72M,0,NO CHANGE,1%
86389T106,MSC,STUDIO CITY INTL HLDGS LTD,3275911,0,7.04M,0,NO CHANGE,0.95%
N82405106,STLA,STELLANTIS N.V,560000,0,6.92M,0,NO CHANGE,0.94%
78573NAE2,SABR,SABRE GLBL INC,5000000,0,5.17M,0,NO CHANGE,0.7%
81761L102,SVC,SERVICE PPTYS TR,932122,0,4.88M,0,NO CHANGE,0.66%
30303M102,META,META PLATFORMS INC,30000,0,4.84M,0,NO CHANGE,0.65%
62886HAT8,,NCL CORP LTD,4000000,0,4.41M,0,NO CHANGE,0.6%
75737FAC2,RDFN,REDFIN CORP,6000000,0,3.63M,0,NO CHANGE,0.49%
02005N100,ALLY,ALLY FINL INC,100000,0,3.35M,0,NO CHANGE,0.45%
124830878,CBL,CBL & ASSOC PPTYS INC,115946,0,2.72M,0,NO CHANGE,0.37%
165167735,EXE,CHESAPEAKE ENERGY CORP,18824,0,1.53M,0,NO CHANGE,0.21%
25525P107,DHC,DIVERSIFIED HEALTHCARE TR,753801,0,1.37M,0,NO CHANGE,0.19%
42704L104,HRI,HERC HLDGS INC,12500,0,1.13M,0,NO CHANGE,0.15%
23131L107,,CURO GROUP HOLDINGS CORP,123172,0,681K,0,NO CHANGE,0.09%
780153BB7,,ROYAL CARIBBEAN GROUP,640000,0,603K,0,NO CHANGE,0.08%
92918V109,,VROOM INC,300000,0,375K,0,NO CHANGE,0.05%
18453H106,CCO,CLEAR CHANNEL OUTDOOR HLDGS,321006,0,343K,0,NO CHANGE,0.05%
588056101,MERC,MERCER INTL INC,3017131,-100000,39.67M,-1.31M,-3.2%,5.4%
85256A109,STGW,STAGWELL INC,682708,-370810,3.71M,-2.01M,-35.2%,0.5%
874060205,TAK,TAKEDA PHARMACEUTICAL CO LTD,0,-177815,0,-2.55M,CLOSE,0%
68269GAB3,,1LIFE HEALTHCARE INC,0,-4870000,0,-4.2M,CLOSE,0%
N70544106,PLYA,PLAYA HOTELS & RESORTS NV,0,-751002,0,-6.5M,CLOSE,0%
69331C108,PCG,PG&E CORP,0,-1090539,0,-13.02M,CLOSE,0%
29249E109,ACT,ENACT HLDGS INC,708728,-791272,15.22M,-17M,-52.8%,2.1%
00206R102,T,AT&T INC,0,-1120000,0,-26.47M,CLOSE,0%
722304AC6,PDD,PINDUODUO INC,0,-22820000,0,-28.19M,CLOSE,0%
Total,,,,,739.02M,-85.67M,-7.6%,100%
