CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G98239109,XP,XP INC,4891730,2160315,87.86M,38.8M,+79.1%,52.5%
G32219100,,HPX CORP,2150000,716700,21.46M,7.15M,+50%,12.8%
58733R102,MELI,MERCADOLIBRE INC,51754,6323,32.96M,4.03M,+13.9%,19.7%
G9460N106,,VALOR LATITUDE ACQUISITN COR,1100000,366600,10.71M,3.57M,+50%,6.4%
G6683N103,NU,NU HLDGS LTD,222306,222306,831K,831K,NEW,0.5%
G32219126,,HPX CORP,1075000,358350,86K,28.67K,+50%,0.05%
G9460N122,,VALOR LATITUDE ACQUISITN COR,366666,122200,48K,16K,+50%,0.03%
G0316P130,ASPC,ALPHA CAPITAL ACQUISITION CO,740463,0,7.32M,0,NO CHANGE,4.4%
G5S74L106,,MELI KASZEK PIONEER CORP,300000,0,2.97M,0,NO CHANGE,1.8%
G9460C118,WALDW,WALDENCAST ACQUISITION CORP,0,-252578,0,-242K,CLOSE,0%
G9460N114,,VALOR LATITUDE ACQUISITN COR,0,-366600,0,-3.6M,CLOSE,0%
G32219118,,HPX CORP,0,-716700,0,-7.2M,CLOSE,0%
465562106,ITUB,ITAU UNIBANCO HLDG S A,751713,-1711251,3.22M,-7.32M,-69.5%,1.9%
G9460C100,WALD,WALDENCAST ACQUISITION CORP,0,-1755300,0,-17.39M,CLOSE,0%
Total,,,,,167.46M,18.66M,+8.9%,100%
