CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K107,GOOG,ALPHABET INC,115140,109383,11.07M,10.52M,+1900%,2.7%
02079K305,GOOGL,ALPHABET INC,95000,90250,9.09M,8.63M,+1900%,2.2%
88160R101,TSLA,TESLA INC,8604,5736,2.28M,1.52M,+200%,0.56%
458140100,INTC,INTEL CORP,127628,50000,3.29M,1.29M,+64.4%,0.81%
92343V104,VZ,VERIZON COMMUNICATIONS INC,98263,25000,3.73M,949.24K,+34.1%,0.92%
550241103,LUMN,LUMEN TECHNOLOGIES INC,250000,100000,1.82M,728K,+66.7%,0.45%
56501R106,MFC,MANULIFE FINL CORP,25000,25000,392K,392K,NEW,0.1%
037833100,AAPL,APPLE INC,256000,0,35.38M,0,NO CHANGE,8.8%
023135106,AMZN,AMAZON COM INC,223680,0,25.28M,0,NO CHANGE,6.3%
67066G104,NVDA,NVIDIA CORP,192572,0,23.38M,0,NO CHANGE,5.8%
594918104,MSFT,MICROSOFT CORP,88168,0,20.53M,0,NO CHANGE,5.1%
060505104,BAC,BANK AMER CORP,554582,0,16.75M,0,NO CHANGE,4.1%
91324P102,UNH,UNITED HEALTH GROUP INC,22000,0,11.11M,0,NO CHANGE,2.7%
57636Q104,MA,MASTERCARD INCORPORATED,34000,0,9.67M,0,NO CHANGE,2.4%
254687106,DIS,DISNEY WALT CO,100020,0,9.44M,0,NO CHANGE,2.3%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,26500,0,7.08M,0,NO CHANGE,1.8%
320517105,FHN,FIRST HORIZON NATL CORP,300000,0,6.87M,0,NO CHANGE,1.7%
007903107,AMD,ADVANCED MICRO DEVICES INC,108221,0,6.86M,0,NO CHANGE,1.7%
79466L302,CRM,SALESFORCE COM INC,47621,0,6.85M,0,NO CHANGE,1.7%
22160K105,COST,COSTCO WHSL CORP NEW,14200,0,6.71M,0,NO CHANGE,1.7%
345370860,F,FORD MTR CO DEL,575000,0,6.44M,0,NO CHANGE,1.6%
46625H100,JPM,JPMORGAN CHASE & CO,58800,0,6.14M,0,NO CHANGE,1.5%
717081103,PFE,PFIZER INC,124729,0,5.46M,0,NO CHANGE,1.3%
92826C839,V,VISA INC,29800,0,5.29M,0,NO CHANGE,1.3%
532457108,LLY,LILLY ELI & CO,16100,0,5.21M,0,NO CHANGE,1.3%
031162100,AMGN,AMGEN INC,22671,0,5.11M,0,NO CHANGE,1.3%
478160104,JNJ,JOHNSON & JOHNSON,28900,0,4.72M,0,NO CHANGE,1.2%
931142103,WMT,WALMART INC,36400,0,4.72M,0,NO CHANGE,1.2%
907818108,UNP,UNION PAC CORP,23000,0,4.48M,0,NO CHANGE,1.1%
68389X105,ORCL,ORACLE CORP,69000,0,4.21M,0,NO CHANGE,1%
565849106,MRO,MARATHON OIL CORP,184728,0,4.17M,0,NO CHANGE,1%
00287Y109,ABBV,ABBVIE INC,27900,0,3.74M,0,NO CHANGE,0.93%
87165B103,SYF,SYNCHRONY FINL,132073,0,3.72M,0,NO CHANGE,0.92%
291011104,EMR,EMERSON ELEC CO,50000,0,3.66M,0,NO CHANGE,0.91%
949746101,WFC,WELLS FARGO CO NEW,88052,0,3.54M,0,NO CHANGE,0.88%
369604301,GE,GENERAL ELECTRIC CO,57037,0,3.53M,0,NO CHANGE,0.87%
166764100,CVX,CHEVRON CORP NEW,22200,0,3.19M,0,NO CHANGE,0.79%
09062X103,BIIB,BIOGEN INC,11500,0,3.07M,0,NO CHANGE,0.76%
548661107,LOW,LOWES COS INC,15320,0,2.88M,0,NO CHANGE,0.71%
20030N101,CMCSA,COMCAST CORP NEW,88000,0,2.58M,0,NO CHANGE,0.64%
30231G102,XOM,EXXON MOBIL CORP,29539,0,2.58M,0,NO CHANGE,0.64%
172967424,C,CITIGROUP INC,61471,0,2.56M,0,NO CHANGE,0.63%
110122108,BMY,BRISTOL MYERS SQUIBB CO,35899,0,2.55M,0,NO CHANGE,0.63%
G491BT108,IVZ,INVESCO LTD,185393,0,2.54M,0,NO CHANGE,0.63%
617446448,MS,MORGAN STANLEY,30000,0,2.37M,0,NO CHANGE,0.59%
438516106,HON,HONEYWELL INTL INC,14100,0,2.35M,0,NO CHANGE,0.58%
38141G104,GS,GOLDMAN SACHS GROUP INC,8000,0,2.34M,0,NO CHANGE,0.58%
097023105,BA,BOEING CO,18710,0,2.27M,0,NO CHANGE,0.56%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,10000,0,2.26M,0,NO CHANGE,0.56%
00206R102,T,AT&T INC,143689,0,2.2M,0,NO CHANGE,0.55%
713448108,PEP,PEPSICO INC,13000,0,2.12M,0,NO CHANGE,0.52%
375558103,GILD,GILEAD SCIENCES INC,34000,0,2.1M,0,NO CHANGE,0.52%
191216100,KO,COCA COLA CO,37000,0,2.07M,0,NO CHANGE,0.51%
78486Q101,SVBT,SVB FINL GROUP,6000,0,2.02M,0,NO CHANGE,0.5%
58933Y105,MRK,MERCK & CO INC,22900,0,1.97M,0,NO CHANGE,0.49%
244199105,DE,DEERE & CO,5900,0,1.97M,0,NO CHANGE,0.49%
723484101,PNW,PINNACLE WEST CAP CORP,30000,0,1.94M,0,NO CHANGE,0.48%
911312106,UPS,UNITED PARCEL SERVICE INC,11800,0,1.91M,0,NO CHANGE,0.47%
82509L107,SHOP,SHOPIFY INC,70000,0,1.89M,0,NO CHANGE,0.47%
931427108,WBA,WALGREENS BOOTS ALLIANCE INC,60000,0,1.88M,0,NO CHANGE,0.47%
002824100,ABT,ABBOTT LABS,19400,0,1.88M,0,NO CHANGE,0.46%
855244109,SBUX,STARBUCKS CORP,21000,0,1.77M,0,NO CHANGE,0.44%
020002101,ALL,ALLSTATE CORP,13800,0,1.72M,0,NO CHANGE,0.43%
30303M102,META,FACEBOOK INC,12500,0,1.7M,0,NO CHANGE,0.42%
20825C104,COP,CONOCOPHILLIPS,16000,0,1.64M,0,NO CHANGE,0.4%
872540109,TJX,TJX COS INC NEW,26000,0,1.61M,0,NO CHANGE,0.4%
