CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
146869102,CVNA,CARVANA CO,3740124,1795124,75.92M,36.44M,+92.3%,5.8%
25809K105,DASH,DOORDASH INC,600000,600000,29.67M,29.67M,NEW,2.3%
G4R20B107,INTR,INTER & CO INC,3450000,3450000,11.25M,11.25M,NEW,0.86%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,316017,141017,15.64M,6.98M,+80.6%,1.2%
888787108,TOST,TOAST INC,9263367,154163,154.88M,2.58M,+1.7%,11.8%
22266T109,CPNG,COUPANG INC,49373200,0,823.05M,0,NO CHANGE,62.8%
81141R100,SE,SEA LTD,756942,0,42.43M,0,NO CHANGE,3.2%
83200N103,SMAR,SMARTSHEET INC,350000,0,12.03M,0,NO CHANGE,0.92%
G2007L105,,CAZOO GROUP LTD,3048472,0,1.4M,0,NO CHANGE,0.11%
98954M200,Z,ZILLOW GROUP INC,29511,0,844K,0,NO CHANGE,0.06%
98954M101,ZG,ZILLOW GROUP INC,27901,0,799K,0,NO CHANGE,0.06%
79589L106,IOT,SAMSARA INC,3819902,-370014,46.11M,-4.47M,-8.8%,3.5%
650111107,NYT,NEW YORK TIMES CO,643365,-171773,18.5M,-4.94M,-21.1%,1.4%
91688F104,UPWK,UPWORK INC,2663367,-666633,36.27M,-9.08M,-20%,2.8%
833445109,SNOW,SNOWFLAKE INC,240000,-95000,40.79M,-16.15M,-28.4%,3.1%
83542D102,,SONDER HOLDINGS INC,1002110,-14859530,1.66M,-24.67M,-93.7%,0.13%
Total,,,,,1.31B,27.61M,+2.6%,100%
