CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92189F106,GDX,VANECK ETF TRUST,1451668,1451668,35.01M,35.01M,NEW,3.9%
413216300,HMY,HARMONY GOLD MINING CO LTD,25789898,10543611,62.67M,25.62M,+69.2%,6.9%
225401108,CS,CREDIT SUISSE GROUP,5092833,5081229,19.96M,19.92M,+43788.6%,2.2%
845467109,SWN,SOUTHWESTERN ENERGY CO,13098562,3084325,80.16M,18.88M,+30.8%,8.8%
780287108,RGLD,ROYAL GOLD INC,735963,191036,69.05M,17.92M,+35.1%,7.6%
75281A109,RRC,RANGE RES CORP,2935935,442543,74.16M,11.18M,+17.7%,8.2%
811916105,SA,SEABRIDGE GOLD INC,3491316,809971,41.44M,9.61M,+30.2%,4.6%
46578C108,IE,IVANHOE ELECTRIC INC,1112276,1112276,9.18M,9.18M,NEW,1%
78573M104,SABR,SABRE CORP,2416857,1638446,12.45M,8.44M,+210.5%,1.4%
00912X302,AL,AIR LEASE CORP,453050,175640,14.05M,5.45M,+63.3%,1.5%
449172105,HY,HYSTER YALE MATLS HANDLING I,347054,200804,7.46M,4.32M,+137.3%,0.82%
644535106,NGD,NEW GOLD INC CDA,2959596,2959596,2.6M,2.6M,NEW,0.29%
37954Y848,SIL,GLOBAL X FDS,18922,18922,456K,456K,NEW,0.05%
927926303,VGZ,VISTA GOLD CORP,2258884,797166,1.19M,419.6K,+54.5%,0.13%
500631106,KEP,KOREA ELEC PWR CORP,1660792,39326,11.29M,267.41K,+2.4%,1.2%
852066208,SII,SPROTT INC,622482,0,20.89M,0,NO CHANGE,2.3%
714266103,PPTA,PERPETUA RESOURCES CORP,5250591,0,10.61M,0,NO CHANGE,1.2%
66510M204,NAK,NORTHERN DYNASTY MINERALS LT,31856624,0,7.78M,0,NO CHANGE,0.86%
46050R102,THM,INTERNATIONAL TOWER HILL MIN,14047222,0,7.27M,0,NO CHANGE,0.8%
91822M106,,VEON LTD,16018241,0,5.13M,0,NO CHANGE,0.56%
48268K101,KT,KT CORP,7995289,-8353,97.7M,-102.07K,-0.1%,10.8%
N00985106,AER,AERCAP HOLDINGS NV,52364,-51742,2.22M,-2.19M,-49.7%,0.24%
962879102,WPM,WHEATON PRECIOUS METALS CORP,1890371,-120460,61.17M,-3.9M,-6%,6.7%
66987E206,NG,NOVAGOLD RES INC,6809288,-982453,31.94M,-4.61M,-12.6%,3.5%
450913108,IAG,IAMGOLD CORP,23803241,-5611511,25.47M,-6M,-19.1%,2.8%
G9108L173,TEN,TSAKOS ENERGY NAVIGATION LTD,679433,-423400,10.38M,-6.47M,-38.4%,1.1%
900435207,,TURQUOISE HILL RES LTD,3887467,-1100643,114.95M,-32.55M,-22.1%,12.7%
13321L108,CCJ,CAMECO CORP,2704876,-1485848,71.71M,-39.39M,-35.5%,7.9%
Total,,,,,908.34M,74.07M,+8.6%,100%
