CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
94419LAM3,,WAYFAIR INC,47750000,19500000,31.92M,13.04M,+69%,10.4%
69924R108,PGRE,PARAMOUNT GROUP INC,12200000,0,76.01M,0,NO CHANGE,24.8%
08579W103,BERY,BERRY GLOBAL GROUP INC,1380810,0,64.25M,0,NO CHANGE,21%
45580R103,,INDUS REALTY TRUST INC,894005,0,46.82M,0,NO CHANGE,15.3%
46267XAE8,IQ,IQIYI INC,53900000,0,36.25M,0,NO CHANGE,11.8%
053604104,AVPT,AVEPOINT INC,4745000,0,19.03M,0,NO CHANGE,6.2%
750481103,,RADIUS GLOBAL INFRASTRCTRE I,477000,-464500,4.49M,-4.38M,-49.3%,1.5%
G48833118,WFRD,WEATHERFORD INTL PLC,0,-415800,0,-8.8M,CLOSE,0%
46267XAD0,,IQIYI INC,30950000,-11500000,27.31M,-10.15M,-27.1%,8.9%
Total,,,,,306.08M,-10.29M,-2.9%,100%
