CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
697435AD7,,PALO ALTO NETWORKS INC,15000000,15000000,27.85M,27.85M,NEW,2.3%
165167735,EXE,CHESAPEAKE ENERGY CORP,184299,88367,17.36M,8.33M,+92.1%,1.4%
92556H206,PSKY,PARAMOUNT GLOBAL,600381,247216,11.43M,4.71M,+70%,0.94%
75737FAA6,,REDFIN CORP,5000000,5000000,4.56M,4.56M,NEW,0.37%
46267XAD0,,IQIYI INC,25279000,5000000,22.23M,4.4M,+24.7%,1.8%
36165LAB4,,GDS HLDGS LTD,16000000,4500000,14.95M,4.2M,+39.1%,1.2%
143658BE1,,CARNIVAL CORP,16000000,3500000,16.72M,3.66M,+28%,1.4%
G6610J209,,NOBLE CORP NEW,257294,72294,7.61M,2.14M,+39.1%,0.63%
M0854Q105,ALLT,ALLOT LTD,1757225,440000,6.89M,1.72M,+33.4%,0.57%
189464100,,CLOVIS ONCOLOGY INC,3525000,1425000,4.2M,1.7M,+67.9%,0.34%
67079K118,,NUSCALE PWR CORP,299000,299000,619K,619K,NEW,0.05%
03676C100,ATEX,ANTERIX INC,503941,10923,18M,390.17K,+2.2%,1.5%
G76279101,ROIV,ROIVANT SCIENCES LTD,129393817,0,416.65M,0,NO CHANGE,34.2%
65336K103,NXST,NEXSTAR MEDIA GROUP INC,165735,0,27.65M,0,NO CHANGE,2.3%
64031N108,NNI,NELNET INC,214665,0,17M,0,NO CHANGE,1.4%
594972AC5,,MICROSTRATEGY INC,20000000,0,15.31M,0,NO CHANGE,1.3%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,490981,0,15.07M,0,NO CHANGE,1.2%
38141G104,GS,GOLDMAN SACHS GROUP INC,47949,0,14.05M,0,NO CHANGE,1.2%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,47946,0,12.8M,0,NO CHANGE,1.1%
189464AE0,,CLOVIS ONCOLOGY INC,21000000,0,12.75M,0,NO CHANGE,1%
04016X101,ARGX,ARGENX SE,32498,0,11.47M,0,NO CHANGE,0.94%
G9001E128,LILAK,LIBERTY LATIN AMERICA LTD,1749467,0,10.76M,0,NO CHANGE,0.88%
81141RAG5,SE,SEA LTD,15000000,0,10.44M,0,NO CHANGE,0.86%
452327109,ILMN,ILLUMINA INC,54250,0,10.35M,0,NO CHANGE,0.85%
86333MAA6,STRD,STRIDE INC,10000000,0,10.22M,0,NO CHANGE,0.84%
650111107,NYT,NEW YORK TIMES CO,316947,0,9.11M,0,NO CHANGE,0.75%
269442AB5,,EAGLE BULK SHIPPING INC,4850000,0,7.05M,0,NO CHANGE,0.58%
56087FAB0,MMYT,MAKEMYTRIP LIMITED MAURITIUS,6500000,0,6.81M,0,NO CHANGE,0.56%
45253H101,,IMMUNOGEN INC,1375900,0,6.58M,0,NO CHANGE,0.54%
462260100,IOVA,IOVANCE BIOTHERAPEUTICS INC,678564,0,6.5M,0,NO CHANGE,0.53%
Y8565N300,,TEEKAY TANKERS LTD,183700,0,5.06M,0,NO CHANGE,0.42%
16949NAC3,,H WORLD GROUP LTD,4780000,0,4.74M,0,NO CHANGE,0.39%
389375106,GTN,GRAY TELEVISION INC,291452,0,4.17M,0,NO CHANGE,0.34%
G5480U104,,LIBERTY GLOBAL PLC,242800,0,3.79M,0,NO CHANGE,0.31%
594972408,MSTR,MICROSTRATEGY INC,16465,0,3.5M,0,NO CHANGE,0.29%
47215P106,JD,JD.COM INC,64548,0,3.25M,0,NO CHANGE,0.27%
35180X105,,FRANCHISE GROUP INC,130120,0,3.16M,0,NO CHANGE,0.26%
98426TAD8,,JOYY INC,1000000,0,932K,0,NO CHANGE,0.08%
00108J109,ACMR,ACM RESH INC,70119,0,874K,0,NO CHANGE,0.07%
01609W102,BABA,ALIBABA GROUP HLDG LTD,9626,0,770K,0,NO CHANGE,0.06%
056752108,BIDU,BAIDU INC,5200,0,611K,0,NO CHANGE,0.05%
45783C101,TIL,INSTIL BIO INC,98644,0,477K,0,NO CHANGE,0.04%
59045L106,MRSN,MERSANA THERAPEUTICS INC,62657,0,424K,0,NO CHANGE,0.03%
09061G101,BMRN,BIOMARIN PHARMACEUTICAL INC,4429,0,375K,0,NO CHANGE,0.03%
803607100,SRPT,SAREPTA THERAPEUTICS INC,3117,0,345K,0,NO CHANGE,0.03%
004225108,ACAD,ACADIA PHARMACEUTICALS INC,19613,0,321K,0,NO CHANGE,0.03%
