CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K107,GOOG,ALPHABET INC,54046,50985,5.2M,4.9M,+1665.6%,3.2%
02079K305,GOOGL,ALPHABET INC,31960,30162,3.06M,2.88M,+1677.5%,1.9%
009066101,ABNB,AIRBNB INC,7638,7638,802K,802K,NEW,0.5%
529900102,ASG,LIBERTY ALL-STAR GROWTH FD I,113000,113000,559K,559K,NEW,0.35%
530158104,USA,LIBERTY ALL STAR EQUITY FD,100000,100000,553K,553K,NEW,0.35%
090572207,BIO,BIO RAD LABS INC,1123,1123,468K,468K,NEW,0.29%
46625H100,JPM,JPMORGAN CHASE &CO,7825,4019,817K,419.62K,+105.6%,0.51%
30303M102,META,META PLATFORMS INC,50806,3025,6.89M,410.41K,+6.3%,4.3%
697435105,PANW,PALO ALTO NETWORKS INC,2955,2224,484K,364.27K,+304.2%,0.3%
252131107,DXCM,DEXCOM INC,8169,4091,657K,329.02K,+100.3%,0.41%
166764100,CVX,CHEVRON CORP NEW,1887,1887,271K,271K,NEW,0.17%
221006109,CRVL,CORVEL CORP,1963,1963,271K,271K,NEW,0.17%
88160R101,TSLA,TESLA INC,1443,962,382K,254.67K,+200%,0.24%
482480100,KLAC,KLA CORP,801,801,242K,242K,NEW,0.15%
826919102,SLAB,SILICON LABORATORIES INC,1946,1946,240K,240K,NEW,0.15%
73278L105,POOL,POOL CORP,687,687,218K,218K,NEW,0.14%
20825C104,COP,CONOCOPHILLIPS,2105,2105,215K,215K,NEW,0.13%
526107107,LII,LENNOX INTL INC,948,948,211K,211K,NEW,0.13%
30231G102,XOM,EXXON MOBIL CORP,2308,2308,201K,201K,NEW,0.13%
33738R845,FTXN,FIRST TR EXCHANGE-TRADED FD,17822,8083,437K,198.2K,+83%,0.27%
877619106,TSHA,TAYSHA GENE THERAPIES INC,229069,71295,442K,137.57K,+45.2%,0.28%
60786M105,MC,MOELIS &CO,12061,3990,407K,134.64K,+49.4%,0.25%
747525103,QCOM,QUALCOMM INC,7451,1123,841K,126.75K,+17.7%,0.53%
64110L106,NFLX,NETFLIX INC,11733,448,2.76M,105.46K,+4%,1.7%
532457108,LLY,LILLY ELI &CO,1246,324,403K,104.79K,+35.1%,0.25%
573874104,MRVL,MARVELL TECHNOLOGY INC,27786,2400,1.19M,102.96K,+9.5%,0.74%
28036F105,EWTX,EDGEWISE THERAPEUTICS INC,33308,10437,327K,102.46K,+45.6%,0.2%
09260D107,BX,BLACKSTONE INC,4042,1000,338K,83.62K,+32.9%,0.21%
79466L302,CRM,SALESFORCE INC,9689,525,1.39M,75.48K,+5.7%,0.87%
04965B100,ATOM,ATOMERA INC,109368,7418,1.11M,75.08K,+7.3%,0.69%
501147102,KRYS,KRYSTAL BIOTECH INC,7205,1000,502K,69.67K,+16.1%,0.31%
023135106,AMZN,AMAZON COM INC,121893,536,13.77M,60.56K,+0.4%,8.6%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,39860,2500,947K,59.4K,+6.7%,0.59%
00507V109,ATVI,ACTIVISION BLIZZARD INC,58798,755,4.37M,56.13K,+1.3%,2.7%
P73684113,OSW,ONESPAWORLD HOLDINGS LIMITED,54948,5658,461K,47.47K,+11.5%,0.29%
22160K105,COST,COSTCO WHSL CORP NEW,1065,100,503K,47.23K,+10.4%,0.31%
282914100,EGHT,8X8 INC NEW,47045,13319,162K,45.86K,+39.5%,0.1%
04316A108,APAM,ARTISAN PARTNERS ASSET MGMT,8913,1647,240K,44.35K,+22.7%,0.15%
833445109,SNOW,SNOWFLAKE INC,3972,250,675K,42.48K,+6.7%,0.42%
92686J106,VKTX,VIKING THERAPEUTICS INC,62548,12000,170K,32.61K,+23.7%,0.11%
007903107,AMD,ADVANCED MICRO DEVICES INC,10099,510,639K,32.27K,+5.3%,0.4%
443573100,HUBS,HUBSPOT INC,4550,100,1.23M,27.01K,+2.2%,0.77%
74164M108,PRI,PRIMERICA INC,5000,200,617K,24.68K,+4.2%,0.39%
67066G104,NVDA,NVIDIA CORPORATION,10966,201,1.33M,24.4K,+1.9%,0.83%
594918104,MSFT,MICROSOFT CORP,42836,88,9.98M,20.49K,+0.2%,6.2%
00216W109,,ATI PHYSICAL THERAPY INC,18223,18223,18K,18K,NEW,0.01%
559080106,,MAGELLAN MIDSTREAM PRTNRS LP,11250,360,534K,17.09K,+3.3%,0.33%
33741X102,SDVY,FIRST TR EXCHANGE-TRADED FD,16089,600,372K,13.87K,+3.9%,0.23%
254687106,DIS,DISNEY WALT CO,17238,137,1.63M,12.92K,+0.8%,1%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,4692,67,692K,9.88K,+1.4%,0.43%
78464A599,XSW,SPDR SER TR,2687,90,287K,9.61K,+3.5%,0.18%
G1151C101,ACN,ACCENTURE PLC IRELAND,1385,37,356K,9.51K,+2.7%,0.22%
8676EP108,STKL,SUNOPTA INC,26636,886,242K,8.05K,+3.4%,0.15%
04537Y109,,ASPIRA WOMENS HEALTH INC,275131,21489,102K,7.97K,+8.5%,0.06%
38141G104,GS,GOLDMAN SACHS GROUP INC,2463,25,721K,7.32K,+1%,0.45%
68236P107,,ONCTERNAL THERAPEUTICS INC,461356,5700,411K,5.08K,+1.3%,0.26%
852312305,STAA,STAAR SURGICAL CO,7509,22,529K,1.55K,+0.3%,0.33%
