CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
83066P200,,Skillsoft Corp,88029,88029,161K,161K,NEW,0.05%
770700102,HOOD,Robinhood Markets Inc,20410961,0,206.15M,0,NO CHANGE,70.2%
146869102,CVNA,Carvana Co,1499962,0,30.45M,0,NO CHANGE,10.4%
687793109,OSCR,Oscar Health Inc,4755222,0,23.73M,0,NO CHANGE,8.1%
92719V100,VMEO,Vimeo Inc,5852853,0,23.41M,0,NO CHANGE,8%
771049103,RBLX,Roblox Corp,19020,0,682K,0,NO CHANGE,0.23%
90138F102,TWLO,Twilio Inc,3942,0,273K,0,NO CHANGE,0.09%
82837P408,SICP,Silvergate Capital Corporation,6529,-6527,492K,-491.85K,-50%,0.17%
G6683N103,NU,Nu Holdings Ltd,1886088,-20446812,8.3M,-89.97M,-91.6%,2.8%
Total,,,,,293.65M,-90.3M,-26.4%,100%
