CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,97125,92187,9.29M,8.82M,+1866.9%,11.5%
697435105,PANW,PALO ALTO NETWORKS INC,12777,9148,2.09M,1.5M,+252.1%,2.6%
02079K107,GOOG,ALPHABET INC,9340,8870,898K,852.81K,+1887.2%,1.1%
09260D107,BX,BLACKSTONE INC,7100,7100,594K,594K,NEW,0.74%
90353T100,UBER,UBER TECHNOLOGIES INC,47770,18450,1.27M,488.96K,+62.9%,1.6%
74347R206,QLD,PROSHARES TR,93360,7225,3.42M,264.9K,+8.4%,4.3%
25459W847,TNA,DIREXION SHS ETF TR,22640,9125,652K,262.79K,+67.5%,0.81%
25459W862,SPXL,DIREXION SHS ETF TR,10466,4880,561K,261.58K,+87.4%,0.7%
25459W458,SOXL,DIREXION SHS ETF TR,41891,19750,371K,174.91K,+89.2%,0.46%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,6200,850,915K,125.44K,+15.9%,1.1%
747525103,QCOM,QUALCOMM INC,3383,1000,382K,112.92K,+42%,0.47%
254687106,DIS,DISNEY WALT CO,9390,1190,886K,112.28K,+14.5%,1.1%
92189F676,SMH,VANECK ETF TRUST,9695,400,1.79M,74.06K,+4.3%,2.2%
654106103,NKE,NIKE INC,9077,760,754K,63.13K,+9.1%,0.94%
25460G500,GUSH,DIREXION SHS ETF TR,3500,0,449K,0,NO CHANGE,0.56%
38141G104,GS,GOLDMAN SACHS GROUP INC,1305,0,382K,0,NO CHANGE,0.47%
25434V401,DFUS,DIMENSIONAL ETF TRUST,7420,0,288K,0,NO CHANGE,0.36%
83304A106,SNAP,SNAP INC,11960,0,117K,0,NO CHANGE,0.15%
46090E103,QQQ,INVESCO QQQ TR,2795,-15,747K,-4.01K,-0.5%,0.93%
478160104,JNJ,JOHNSON & JOHNSON,2972,-25,486K,-4.09K,-0.8%,0.6%
464287721,IYW,ISHARES TR,12950,-100,950K,-7.34K,-0.8%,1.2%
78462F103,SPY,SPDR S&P 500 ETF TR,2719,-25,971K,-8.93K,-0.9%,1.2%
46625H100,JPM,JPMORGAN CHASE & CO,9322,-90,974K,-9.4K,-1%,1.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,4279,-258,271K,-16.34K,-5.7%,0.34%
37045V100,GM,GENERAL MTRS CO,9845,-550,316K,-17.65K,-5.3%,0.39%
31428X106,FDX,FEDEX CORP,2220,-200,330K,-29.73K,-8.3%,0.41%
09062X103,BIIB,BIOGEN INC,1175,-135,314K,-36.08K,-10.3%,0.39%
594918104,MSFT,MICROSOFT CORP,23661,-180,5.51M,-41.92K,-0.8%,6.8%
60770K107,MRNA,MODERNA INC,1750,-400,207K,-47.31K,-18.6%,0.26%
717081103,PFE,PFIZER INC,7746,-1330,339K,-58.21K,-14.7%,0.42%
023135106,AMZN,AMAZON COM INC,50900,-700,5.75M,-79.1K,-1.4%,7.1%
852234103,XYZ,BLOCK INC,12385,-1513,681K,-83.19K,-10.9%,0.85%
01609W102,BABA,ALIBABA GROUP HLDG LTD,13403,-1150,1.07M,-91.98K,-7.9%,1.3%
81762P102,NOW,SERVICENOW INC,600,-325,227K,-122.96K,-35.1%,0.28%
464287556,IBB,ISHARES TR,8471,-1400,991K,-163.78K,-14.2%,1.2%
892331307,TM,TOYOTA MOTOR CORP,0,-1500,0,-231K,CLOSE,0%
70450Y103,PYPL,PAYPAL HLDGS INC,6885,-2877,593K,-247.79K,-29.5%,0.74%
67066G104,NVDA,NVIDIA CORPORATION,72075,-2590,8.75M,-314.39K,-3.5%,10.9%
907818108,UNP,UNION PAC CORP,5275,-1910,1.03M,-372.22K,-26.6%,1.3%
037833100,AAPL,APPLE INC,180089,-7932,24.89M,-1.1M,-4.2%,30.9%
Total,,,,,80.51M,10.62M,+12.3%,100%
