CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
722304102,PDD,PINDUODUO INC,650279,650279,53.03M,53.03M,NEW,25.4%
44332N106,HTHT,H WORLD GROUP LTD,643046,643046,27.28M,27.28M,NEW,13%
98850P109,YUMC,YUM CHINA HLDGS INC,399828,399828,21.85M,21.85M,NEW,10.4%
007903107,AMD,ADVANCED MICRO DEVICES INC,212850,212850,13.79M,13.79M,NEW,6.6%
29414B104,EPAM,EPAM SYS INC,27584,27584,9.04M,9.04M,NEW,4.3%
Y2065G121,DHT,DHT HOLDINGS INC,940740,940740,8.35M,8.35M,NEW,4%
594918104,MSFT,MICROSOFT CORP,33428,33428,8.02M,8.02M,NEW,3.8%
Y41053102,INSW,INTERNATIONAL SEAWAYS INC,211136,211136,7.82M,7.82M,NEW,3.7%
98980A105,ZTO,ZTO EXPRESS CAYMAN INC,276410,276410,7.43M,7.43M,NEW,3.6%
G3682E192,FRO,FRONTLINE LTD,609026,609026,7.39M,7.39M,NEW,3.5%
595112103,MU,MICRON TECHNOLOGY INC,118012,118012,5.9M,5.9M,NEW,2.8%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,161650,161650,5.63M,5.63M,NEW,2.7%
88034P109,TME,TENCENT MUSIC ENTMT GROUP,594015,594015,4.92M,4.92M,NEW,2.4%
N07059210,ASML,ASML HOLDING N V,7267,7267,3.97M,3.97M,NEW,1.9%
023135106,AMZN,AMAZON COM INC,41750,41750,3.51M,3.51M,NEW,1.7%
038222105,AMAT,APPLIED MATLS INC,31378,31378,3.06M,3.06M,NEW,1.5%
G5494J103,,LINDE PLC,6149,6149,2.01M,2.01M,NEW,0.96%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,25748,25748,1.92M,1.92M,NEW,0.92%
47215P106,JD,JD.COM INC,23177,23177,1.3M,1.3M,NEW,0.62%
550021109,LULU,LULULEMON ATHLETICA INC,4000,4000,1.28M,1.28M,NEW,0.61%
60937P106,MDB,MONGODB INC,6432,6432,1.27M,1.27M,NEW,0.61%
013872106,AA,ALCOA CORP,25310,25310,1.15M,1.15M,NEW,0.55%
674599105,OXY,OCCIDENTAL PETE CORP,15650,15650,985.79K,985.79K,NEW,0.47%
70450Y103,PYPL,PAYPAL HLDGS INC,12203,12203,869.1K,869.1K,NEW,0.42%
23804L103,DDOG,DATADOG INC,10952,10952,804.97K,804.97K,NEW,0.38%
81762P102,NOW,SERVICENOW INC,2072,2072,804.5K,804.5K,NEW,0.38%
92826C839,V,VISA INC,3535,3535,734.43K,734.43K,NEW,0.35%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,6859,6859,722.18K,722.18K,NEW,0.35%
N3167Y103,RACE,FERRARI N V,3021,3021,647.16K,647.16K,NEW,0.31%
78464A870,XBI,SPDR SER TR,7426,7426,616.36K,616.36K,NEW,0.29%
57636Q104,MA,MASTERCARD INCORPORATED,1566,1566,544.54K,544.54K,NEW,0.26%
406216101,HAL,HALLIBURTON CO,13800,13800,543.03K,543.03K,NEW,0.26%
806857108,SLB,SCHLUMBERGER LTD,9600,9600,513.22K,513.22K,NEW,0.25%
911363109,URI,UNITED RENTALS INC,1320,1320,469.15K,469.15K,NEW,0.22%
878742204,TECK,TECK RESOURCES LTD,10214,10214,386.29K,386.29K,NEW,0.18%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,2990,2990,377.82K,377.82K,NEW,0.18%
64110L106,NFLX,NETFLIX INC,770,770,227.06K,227.06K,NEW,0.11%
Total,,,,,209.14M,209.14M,+100%,100%
