CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
838518306,,SOUTH JERSEY INDS INC,700000,700000,48.11M,48.11M,NEW,1.6%
62886HBD2,NCLH,NCL CORP LTD,43225000,43225000,29.56M,29.56M,NEW,1%
60471A101,MIR,MIRION TECHNOLOGIES INC,3229175,3229175,21.34M,21.34M,NEW,0.72%
45845PAA6,,INTERCEPT PHARMACEUTICALS IN,13007000,9844000,12.88M,9.75M,+311.2%,0.43%
70202LAB8,,PARSONS CORP DEL,13000000,6500000,14.6M,7.3M,+100%,0.49%
596278AB7,,MIDDLEBY CORP,4500000,4500000,5.23M,5.23M,NEW,0.18%
03762UAC9,,APOLLO COML REAL ESTATE FIN,4144000,4144000,4.07M,4.07M,NEW,0.14%
91332UAB7,U,UNITY SOFTWARE INC,5295000,5295000,3.99M,3.99M,NEW,0.13%
12685JAE5,CABO,CABLE ONE INC,6396000,4946000,5.06M,3.91M,+341.1%,0.17%
443573AD2,,HUBSPOT INC,4000000,2000000,4.89M,2.45M,+100%,0.17%
465741AN6,,ITRON INC,7138000,2338000,5.88M,1.93M,+48.7%,0.2%
679295AD7,OKTA,OKTA INC,1884000,1884000,1.66M,1.66M,NEW,0.06%
98980GAB8,ZS,ZSCALER INC,6278000,1278000,6.5M,1.32M,+25.6%,0.22%
826919AD4,,SILICON LABORATORIES INC,8490000,990000,10.46M,1.22M,+13.2%,0.35%
09257WAC4,,BLACKSTONE MORTGAGE TRUST IN,1074000,1074000,1.06M,1.06M,NEW,0.04%
009066AB7,ABNB,AIRBNB INC,1075000,1075000,887.41K,887.41K,NEW,0.03%
464288513,HYG,ISHARES TR,11672,11672,859.41K,859.41K,NEW,0.03%
78468R622,JNK,SPDR SER TR,9539,9539,858.51K,858.51K,NEW,0.03%
09257WAE0,BX,BLACKSTONE MORTGAGE TRUST IN,1000000,1000000,856.88K,856.88K,NEW,0.03%
22266LAC0,,COUPA SOFTWARE INC,6126000,876000,5.95M,850.86K,+16.7%,0.2%
76680RAF4,,RINGCENTRAL INC,5477000,952000,4.73M,822.29K,+21%,0.16%
256163AD8,,DOCUSIGN INC,3448000,848000,3.26M,801.36K,+32.6%,0.11%
84921RAB6,SPOT,SPOTIFY USA INC,54457000,988000,44.11M,800.28K,+1.8%,1.5%
462222AB6,,IONIS PHARMACEUTICALS INC,820000,820000,748.74K,748.74K,NEW,0.03%
82509LAA5,SHOP,SHOPIFY INC,830000,830000,712.76K,712.76K,NEW,0.02%
670704AJ4,NUVA,NUVASIVE INC,1140000,640000,1M,562.24K,+128%,0.03%
472145AD3,,JAZZ INVESTMENTS I LTD,467000,467000,461.45K,461.45K,NEW,0.02%
405024AB6,HAE,HAEMONETICS CORP MASS,42027000,535000,34.94M,444.75K,+1.3%,1.2%
477143AP6,JBLU,JETBLUE AIRWAYS CORP,2595000,595000,1.9M,436.78K,+29.8%,0.06%
29404KAE6,,ENVESTNET INC,3399000,449000,3.08M,407.47K,+15.2%,0.1%
011642AB1,ALRM,ALARM COM HLDGS INC,497000,497000,406K,406K,NEW,0.01%
90353TAJ9,,UBER TECHNOLOGIES INC,475000,475000,402.45K,402.45K,NEW,0.01%
57164YAD9,VAC,MARRIOTT VACATIONS WORLDWIDE,410000,410000,401.8K,401.8K,NEW,0.01%
345370CZ1,F,FORD MTR CO DEL,7423000,423000,7.04M,401.22K,+6%,0.24%
452327AK5,,ILLUMINA INC,408000,408000,396.16K,396.16K,NEW,0.01%
48251K100,KREF,KKR REAL ESTATE FIN TR INC,10000001,1,139.6M,13.96,+0%,4.7%
03831W108,APP,APPLOVIN CORP,60735000,0,639.54M,0,NO CHANGE,21.6%
10948C107,BV,BRIGHTVIEW HLDGS INC,50633123,0,348.86M,0,NO CHANGE,11.8%
302635206,FSK,FS KKR CAP CORP,19726981,0,345.22M,0,NO CHANGE,11.7%
10806X102,BBIO,BRIDGEBIO PHARMA INC,31060971,0,236.68M,0,NO CHANGE,8%
29260Y109,EDR,ENDEAVOR GROUP HLDGS INC,8316397,0,213.49M,0,NO CHANGE,7.2%
G7258M108,,PROPERTYGURU GROUP LTD,43475124,0,187.38M,0,NO CHANGE,6.3%
89386L100,,TRANSPHORM INC,22675980,0,123.36M,0,NO CHANGE,4.2%
55825T103,MSGS,MADISON SQUARE GRDN SPRT COR,305068,0,55.93M,0,NO CHANGE,1.9%
25809K105,DASH,DOORDASH INC,856416,0,41.81M,0,NO CHANGE,1.4%
75737FAC2,RDFN,REDFIN CORP,56340000,0,33.84M,0,NO CHANGE,1.1%
071734107,BHC,BAUSCH HEALTH COS INC,5235000,0,32.88M,0,NO CHANGE,1.1%
92552V100,VSAT,VIASAT INC,922546,0,29.2M,0,NO CHANGE,0.99%
19249H103,CHRS,COHERUS BIOSCIENCES INC,3036076,0,24.05M,0,NO CHANGE,0.81%
