CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
68634K106,ORLA,ORLA MNG LTD NEW,7200000,0,29.14M,0,NO CHANGE,26.4%
784730103,SSRM,SSR MNG INC,800000,0,12.52M,0,NO CHANGE,11.3%
067901108,B,BARRICK GOLD CORP,650000,0,11.17M,0,NO CHANGE,10.1%
11777Q209,BTG,B2GOLD CORP,2000000,0,7.14M,0,NO CHANGE,6.5%
83056P715,SKE,SKEENA RES LTD NEW,700000,0,3.72M,0,NO CHANGE,3.4%
82575P107,SBSW,SIBANYE STILLWATER LTD,273043,0,2.91M,0,NO CHANGE,2.6%
03062D100,USAS,AMERICAS GOLD AND SILVER COR,4601400,0,2.62M,0,NO CHANGE,2.4%
45826T301,,INTEGRA RES CORP,3230000,0,2.03M,0,NO CHANGE,1.8%
46140H403,DBO,INVESCO DB MULTI-SECTOR COMM,10096,-2913,153.56K,-44.31K,-22.4%,0.14%
008474108,AEM,AGNICO EAGLE MINES LTD,195000,-5000,10.14M,-259.95K,-2.5%,9.2%
808524870,SCHP,SCHWAB STRATEGIC TR,20794,-8248,1.08M,-427.16K,-28.4%,0.97%
011532108,AGI,ALAMOS GOLD INC NEW,1150000,-50000,11.63M,-505.5K,-4.2%,10.5%
035128206,,ANGLOGOLD ASHANTI LIMITED,500000,-100000,9.71M,-1.94M,-16.7%,8.8%
38059T106,GFI,GOLD FIELDS LTD,600000,-400000,6.21M,-4.14M,-40%,5.6%
921078101,OUNZ,VANECK MERK GOLD TR,17815,-292089,315.15K,-5.17M,-94.3%,0.29%
Total,,,,,110.48M,-12.49M,-12.3%,100%
