CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,28000,28000,8.07M,8.07M,NEW,15.2%
01609W102,BABA,ALIBABA GROUP HLDG LTD,88000,63000,8.99M,6.44M,+252%,16.9%
922475108,VEEV,VEEVA SYS INC,33000,33000,6.07M,6.07M,NEW,11.4%
81762P102,NOW,SERVICENOW INC,12000,12000,5.58M,5.58M,NEW,10.5%
67066G104,NVDA,NVIDIA CORPORATION,16200,16200,4.5M,4.5M,NEW,8.5%
68389X105,ORCL,ORACLE CORP,36000,36000,3.35M,3.35M,NEW,6.3%
72352L106,PINS,PINTEREST INC,100000,100000,2.73M,2.73M,NEW,5.1%
81141R100,SE,SEA LTD,30000,30000,2.6M,2.6M,NEW,4.9%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,18000,18000,1.67M,1.67M,NEW,3.2%
052769106,ADSK,AUTODESK INC,6800,6800,1.42M,1.42M,NEW,2.7%
09239B109,BL,BLACKLINE INC,14000,14000,940.1K,940.1K,NEW,1.8%
007903107,AMD,ADVANCED MICRO DEVICES INC,25000,0,2.45M,0,NO CHANGE,4.6%
82509L107,SHOP,SHOPIFY INC,44000,-1000,2.11M,-47.94K,-2.2%,4%
79466L302,CRM,SALESFORCE INC,0,-10000,0,-1.33M,CLOSE,0%
70432V102,PAYC,PAYCOM SOFTWARE INC,0,-7000,0,-2.17M,CLOSE,0%
461202103,INTU,INTUIT,6000,-5000,2.67M,-2.23M,-45.5%,5%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-90000,0,-3.33M,CLOSE,0%
037833100,AAPL,APPLE INC,0,-30000,0,-3.9M,CLOSE,0%
Total,,,,,53.14M,30.34M,+148.8%,100%
