CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,40000,40000,4.15M,4.15M,NEW,5.6%
911363109,URI,UNITED RENTALS INC,8000,8000,3.17M,3.17M,NEW,4.3%
H42097107,UBS,UBS GROUP AG,125000,125000,2.67M,2.67M,NEW,3.6%
861012102,STM,STMICROELECTRONICS N V,39600,39600,2.12M,2.12M,NEW,2.9%
N20944109,CNH,CNH INDL N V,110100,110100,1.68M,1.68M,NEW,2.3%
57776J100,MXL,MAXLINEAR INC,40100,40100,1.41M,1.41M,NEW,1.9%
95082P105,WCC,WESCO INTL INC,16700,4500,2.58M,695.43K,+36.9%,3.5%
060505104,BAC,BANK AMERICA CORP,80000,11900,2.29M,340.34K,+17.5%,3.1%
780259305,SHEL,SHELL PLC,81000,0,4.66M,0,NO CHANGE,6.3%
674599105,OXY,OCCIDENTAL PETE CORP,74300,0,4.64M,0,NO CHANGE,6.3%
N00985106,AER,AERCAP HOLDINGS NV,73455,0,4.13M,0,NO CHANGE,5.6%
25470MAF6,DISHB,DISH NETWORK CORPORATION,5000000,0,2.67M,0,NO CHANGE,3.6%
693475105,PNC,PNC FINL SVCS GROUP INC,19900,0,2.53M,0,NO CHANGE,3.4%
867224107,SU,SUNCOR ENERGY INC NEW,62300,0,1.93M,0,NO CHANGE,2.6%
125269100,CF,CF INDS HLDGS INC,15700,0,1.14M,0,NO CHANGE,1.5%
25470MAB5,,DISH NETWORK CORPORATION,2000000,0,1.04M,0,NO CHANGE,1.4%
041242116,ARKOW,ARKO CORP,366628,0,549.94K,0,NO CHANGE,0.75%
68989M111,,OUSTER INC,0,-75000,0,-7.12K,CLOSE,0%
56585A102,MPC,MARATHON PETE CORP,20200,-1000,2.72M,-134.83K,-4.7%,3.7%
174610105,CFG,CITIZENS FINL GROUP INC,44100,-5000,1.34M,-151.85K,-10.2%,1.8%
565849106,MRO,MARATHON OIL CORP,136600,-7000,3.27M,-167.72K,-4.9%,4.4%
758750103,RRX,REGAL REXNORD CORPORATION,19700,-1200,2.77M,-168.88K,-5.7%,3.8%
91913Y100,VLO,VALERO ENERGY CORP,11300,-1300,1.58M,-181.48K,-10.3%,2.1%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC N,3465,-300,3.37M,-291.93K,-8%,4.6%
11135F101,AVGO,BROADCOM INC,7000,-500,4.49M,-320.77K,-6.7%,6.1%
878742204,TECK,TECK RESOURCES LTD,75000,-12800,2.74M,-467.2K,-14.6%,3.7%
37045V100,GM,GENERAL MTRS CO,70900,-17100,2.6M,-627.23K,-19.4%,3.5%
701094104,PH,PARKER-HANNIFIN CORP,8900,-2100,2.99M,-705.83K,-19.1%,4.1%
03743Q108,APA,APA CORPORATION,44600,-30000,1.61M,-1.08M,-40.2%,2.2%
61945C103,MOS,MOSAIC CO NEW,0,-31802,0,-1.4M,CLOSE,0%
26884L109,EQT,EQT CORP,0,-50000,0,-1.69M,CLOSE,0%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,0,-37900,0,-2.66M,CLOSE,0%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,0,-22400,0,-3.54M,CLOSE,0%
03674X106,AR,ANTERO RESOURCES CORP,0,-130000,0,-4.03M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,9600,-42600,940.9K,-4.18M,-81.6%,1.3%
Total,,,,,73.78M,-5.57M,-7.1%,100%
