CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
37940X102,GPN,GLOBAL PAYMENTS,99000,99000,10.46M,10.46M,NEW,2.2%
159864107,CRL,CHARLES RIVER LABORATORIES,24000,24000,4.76M,4.76M,NEW,1%
955306105,WST,WEST PHARMACEUTICAL SERVICES,10000,10000,3.4M,3.4M,NEW,0.72%
M5425M103,INMD,INMODE,368000,85000,11.75M,2.71M,+30%,2.5%
98985Y108,ZYME,ZYMEWORKS INC,120000,45000,1.09M,407.62K,+60%,0.23%
136635109,CSIQ,CANADIAN SOLAR,33000,3000,1.31M,118.73K,+10%,0.28%
09857L108,BKNG,BOOKING HOLDINGS,4000,0,9.35M,0,NO CHANGE,2%
594918104,MSFT,MICROSOFT,29000,0,8.22M,0,NO CHANGE,1.8%
942749102,WTS,WATTS WATER,37000,0,6.15M,0,NO CHANGE,1.3%
679580100,ODFL,OLD DOMINION FREIGHT LINE,12000,0,4.16M,0,NO CHANGE,0.89%
09062X103,BIIB,BIOGEN,12000,0,3.24M,0,NO CHANGE,0.69%
57638P104,MBC,MASTERBRAND,97000,-1000,776K,-8K,-1%,0.17%
34964C106,FBIN,FORTUNE BRANDS,97000,-1000,5.67M,-58.43K,-1%,1.2%
109641100,EAT,BRINKER INTERNATIONAL,218000,-3000,8.28M,-113.88K,-1.4%,1.8%
42704L104,HRI,HERC HOLDINGS,43000,-1000,4.94M,-114.84K,-2.3%,1.1%
344849104,FL,FOOT LOCKER,188000,-3000,7.47M,-119.2K,-1.6%,1.6%
714046109,RVTY,PERKINELMER,54000,-1000,7.18M,-132.98K,-1.8%,1.5%
086516101,BBY,BEST BUY,133000,-2000,10.4M,-156.42K,-1.5%,2.2%
88023U101,SGI,TEMPUR SEALY INTERNATIONAL,298000,-4000,11.76M,-157.8K,-1.3%,2.5%
55024U109,LITE,LUMENTUM,202000,-3000,10.9M,-161.93K,-1.5%,2.3%
037833100,AAPL,APPLE,50000,-1000,8.3M,-166.08K,-2%,1.8%
G51502105,JCI,JOHNSON CONTROLS,164000,-3000,9.89M,-180.97K,-1.8%,2.1%
882508104,TXN,TEXAS INSTRUMENTS,50000,-1000,9.37M,-187.44K,-2%,2%
19247G107,COHR,COHERENT,302000,-5000,11.48M,-190.15K,-1.6%,2.4%
110122108,BMY,BRISTOL-MYERS SQUIBB,220000,-3000,15.23M,-207.71K,-1.3%,3.2%
876030107,TPR,TAPESTRY,295000,-5000,12.72M,-215.63K,-1.7%,2.7%
46982L108,J,JACOBS SOLUTIONS,95000,-2000,11.19M,-235.58K,-2.1%,2.4%
285512109,EA,ELECTRONIC ARTS INC,64000,-2000,7.75M,-242.28K,-3%,1.7%
038222105,AMAT,APPLIED MATERIALS,168000,-2000,20.59M,-245.14K,-1.2%,4.4%
747525103,QCOM,QUALCOMM,122000,-2000,15.51M,-254.3K,-1.6%,3.3%
40434L105,HPQ,HP,492000,-9000,14.44M,-264.09K,-1.8%,3.1%
620076307,MSI,MOTOROLA SOLUTIONS,58000,-1000,16.7M,-287.91K,-1.7%,3.6%
550021109,LULU,LULULEMON ATHLETICA,0,-1000,0,-288K,CLOSE,0%
83417M104,SEDG,SOLAREDGE,52000,-1000,15.74M,-302.62K,-1.9%,3.4%
G46188101,,HORIZON THERAPEUTICS,156000,-3000,17.08M,-328.42K,-1.9%,3.6%
171779309,CIEN,CIENA,518000,-9000,27.2M,-472.62K,-1.7%,5.8%
466313103,JBL,JABIL,380000,-7000,33.49M,-616.88K,-1.8%,7.1%
934423104,WBD,WARNER BROS DISCOVERY INC,587000,-50000,8.86M,-754.68K,-7.8%,1.9%
002896207,ANF,ABERCROMBIE & FITCH,198000,-39000,5.48M,-1.08M,-16.5%,1.2%
31428X106,FDX,FEDEX CORP,48000,-5000,11M,-1.15M,-9.4%,2.3%
036752103,ELV,ELEVANCE HEALTH,29000,-3000,13.26M,-1.37M,-9.4%,2.8%
227046109,CROX,CROCS,70000,-14000,8.89M,-1.78M,-16.7%,1.9%
016255101,ALGN,ALIGN TECHNOLOGY,29000,-7000,9.75M,-2.35M,-19.4%,2.1%
74967X103,RH,RH,32000,-13000,7.76M,-3.15M,-28.9%,1.7%
23331A109,DHI,DR HORTON,154000,-37000,15.07M,-3.62M,-19.4%,3.2%
67066G104,NVDA,NVIDIA,40000,-15000,11.12M,-4.17M,-27.3%,2.4%
87166B102,,SYNEOS HEALTH,0,-158000,0,-5.78M,CLOSE,0%
337738108,FISV,FISERV,0,-101000,0,-10.22M,CLOSE,0%
Total,,,,,469.16M,-19.29M,-4.4%,100%
