CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
H8817H100,RIG,TRANSOCEAN LTD,295000,295000,1.88M,1.88M,NEW,1.6%
27032D304,,EARTHSTONE ENERGY INC,5575043,111825,72.53M,1.45M,+2%,61.8%
25271C201,DO,DIAMOND OFFSHORE DRILLING IN,116451,116451,1.4M,1.4M,NEW,1.2%
674215207,CHRD,CHORD ENERGY CORPORATION,79162,0,10.66M,0,NO CHANGE,9.1%
165167735,EXE,CHESAPEAKE ENERGY CORP,72575,0,5.52M,0,NO CHANGE,4.7%
165167180,EXEEL,CHESAPEAKE ENERGY CORP,94927,0,5.35M,0,NO CHANGE,4.6%
678026AK1,,OIL STS INTL INC,3287000,0,3.59M,0,NO CHANGE,3.1%
165167164,EXE,CHESAPEAKE ENERGY CORP,27207,0,1.75M,0,NO CHANGE,1.5%
165167172,EXEEZ,CHESAPEAKE ENERGY CORP,30229,0,1.71M,0,NO CHANGE,1.5%
387432115,,GRANITE RIDGE RESOURCES INC,353144,0,226.01K,0,NO CHANGE,0.19%
674599162,OXYWS,OCCIDENTAL PETE CORP,220359,-28343,9.03M,-1.16M,-11.4%,7.7%
34984VAC4,,FORUM ENERGY TECHNOLOGIES IN,3834442,-3507391,3.64M,-3.33M,-47.8%,3.1%
Total,,,,,117.29M,239.03K,+0.2%,100%
