CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
10576N102,BRZE,BRAZE INC,792233,349341,27.39M,12.08M,+78.9%,8.3%
25809K105,DASH,DOORDASH,260050,78800,16.53M,5.01M,+43.5%,5%
G8T10C122,,TIO TECH A,2000000,0,20.4M,0,NO CHANGE,6.2%
146869102,CVNA,CARVANA CO,325255,-9100,3.18M,-89.09K,-2.7%,0.96%
94419L101,W,WAYFAIR INC,183020,-5100,6.28M,-175.13K,-2.7%,1.9%
23804L103,DDOG,DATADOG,435832,-12000,31.67M,-871.92K,-2.7%,9.6%
852234103,XYZ,BLOCK INC,573553,-15800,39.37M,-1.08M,-2.7%,11.9%
833445109,SNOW,SNOWFLAKE INC,262571,-7250,40.51M,-1.12M,-2.7%,12.3%
82509L107,SHOP,SHOPIFY INC,1208950,-33250,57.96M,-1.59M,-2.7%,17.5%
358054104,FRSH,FRESHWORKS INC,5665920,-397950,87.03M,-6.11M,-6.6%,26.3%
81141R100,SE,SEA LTD,0,-608445,0,-31.66M,CLOSE,0%
Total,,,,,330.33M,-25.62M,-8%,100%
