CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
69608A108,PLTR,Palantir Technologies Inc,6842989,6842989,104.9M,104.9M,NEW,0.69%
880770102,TER,Teradyne Inc,1172220,563791,130.5M,62.77M,+92.7%,0.86%
30303M102,META,Meta Platforms Inc,199745,199745,57.32M,57.32M,NEW,0.38%
90364P105,PATH,UiPath Inc,48280787,3388821,800.01M,56.15M,+7.5%,5.3%
90138F102,TWLO,Twilio Inc,7038184,788183,447.77M,50.14M,+12.6%,3%
19260Q107,COIN,Coinbase Global Inc,12121881,345866,867.32M,24.75M,+2.9%,5.7%
852234103,XYZ,Block Inc,10726935,256004,714.09M,17.04M,+2.4%,4.7%
874039100,TSM,Taiwan Semiconductor Manufactu,144738,144738,14.61M,14.61M,NEW,0.1%
92539P101,VERV,Verve Therapeutics Inc,5150851,668760,96.58M,12.54M,+14.9%,0.64%
69553P100,PD,PagerDuty Inc,10379689,549680,233.34M,12.36M,+5.6%,1.5%
771049103,RBLX,ROBLOX Corp,9318548,292068,375.54M,11.77M,+3.2%,2.5%
G65163100,JOBY,Joby Aviation Inc,3258975,951467,33.44M,9.76M,+41.2%,0.22%
37611X100,DNA.MX,Ginkgo Bioworks Holdings Inc,169749527,4992542,315.73M,9.29M,+3%,2.1%
75629V104,RXRX,Recursion Pharmaceuticals Inc,4738517,1161655,35.4M,8.68M,+32.5%,0.23%
18915M107,NET,Cloudflare Inc,418351,129356,27.35M,8.46M,+44.8%,0.18%
00650F109,ADPT,Adaptive Biotechnologies Corp,10453752,1248627,70.14M,8.38M,+13.6%,0.46%
74168J101,PRME,Prime Medicine Inc,2449199,526922,35.88M,7.72M,+27.4%,0.24%
124155102,BFLY,Butterfly Network Inc,12749251,3302875,29.32M,7.6M,+35%,0.19%
22788C105,CRWD,Crowdstrike Holdings Inc,150075,50532,22.04M,7.42M,+50.8%,0.15%
88339J105,TTD,Trade Desk Inc/The,87874,87874,6.79M,6.79M,NEW,0.04%
74624M102,P,Pure Storage Inc,183504,183504,6.76M,6.76M,NEW,0.04%
46269C102,IRDM,Iridium Communications Inc,1548046,95394,96.16M,5.93M,+6.6%,0.64%
007903107,AMD,Advanced Micro Devices Inc,235518,48841,26.83M,5.56M,+26.2%,0.18%
98423F109,XMTR,Xometry Inc,467419,244776,9.9M,5.18M,+109.9%,0.07%
88561M107,BTCQ.TO,3iQ Bitcoin ETF,884731,843000,4.4M,4.19M,+2020.1%,0.03%
773122106,RKLB,Rocket Lab USA Inc,3829373,638440,22.98M,3.83M,+20%,0.15%
57064N102,,Markforged Holding Corp,21246648,2681498,25.71M,3.24M,+14.4%,0.17%
896239100,TRMB,Trimble Inc,1954457,52775,103.47M,2.79M,+2.8%,0.69%
83444K105,,SomaLogic Inc,12694225,1080616,29.32M,2.5M,+9.3%,0.19%
50077B207,KTOS,Kratos Defense & Security Solu,7278529,166018,104.37M,2.38M,+2.3%,0.69%
83406F102,SOFI,SoFi Technologies Inc,281770,281770,2.35M,2.35M,NEW,0.02%
