CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
70450Y103,PYPL,PAYPAL HLDGS INC,3819109,3819109,254.85M,254.85M,NEW,7.7%
852234103,XYZ,BLOCK INC,2686912,2686912,178.87M,178.87M,NEW,5.4%
81141R100,SE,SEA LTD,2106432,2106432,122.26M,122.26M,NEW,3.7%
74967X103,RH,RH,1056497,357944,348.21M,117.97M,+51.2%,10.6%
070830104,BBWI,BATH & BODY WORKS INC,5641028,2354150,211.54M,88.28M,+71.6%,6.4%
72703H101,PLNT,PLANET FITNESS INC,1220212,1220212,82.29M,82.29M,NEW,2.5%
N14506104,ESTC,ELASTIC N V,1229740,1229740,78.85M,78.85M,NEW,2.4%
517834107,LVS,LAS VEGAS SANDS CORP,1056827,1056827,61.3M,61.3M,NEW,1.9%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,3101513,3101513,52.11M,52.11M,NEW,1.6%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,1084254,335764,159.24M,49.31M,+44.9%,4.8%
72352L106,PINS,PINTEREST INC,3366448,1658659,92.04M,45.35M,+97.1%,2.8%
94419L101,W,WAYFAIR INC,954274,566308,62.04M,36.82M,+146%,1.9%
74624M102,P,PURE STORAGE INC,7894109,632262,290.66M,23.28M,+8.7%,8.8%
595112103,MU,MICRON TECHNOLOGY INC,1223167,302209,77.19M,19.07M,+32.8%,2.3%
117043109,BC,BRUNSWICK CORP,239761,111788,20.77M,9.69M,+87.4%,0.63%
20717M103,CFLT,CONFLUENT INC,4007143,176338,141.49M,6.23M,+4.6%,4.3%
03213A104,AMPL,AMPLITUDE INC,727480,540605,8M,5.95M,+289.3%,0.24%
83542D102,,SONDER HOLDINGS INC,20252480,0,10.74M,0,NO CHANGE,0.33%
G65163100,JOBY,JOBY AVIATION INC,1000000,0,10.26M,0,NO CHANGE,0.31%
M8744T106,TBLA,TABOOLA.COM LTD,725000,0,2.25M,0,NO CHANGE,0.07%
00091G104,ACVA,ACV AUCTIONS INC,10234723,-25686,176.75M,-443.6K,-0.3%,5.4%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,62025,-34226,9.13M,-5.04M,-35.6%,0.28%
594918104,MSFT,MICROSOFT CORP,0,-75423,0,-21.74M,CLOSE,0%
531229854,,LIBERTY MEDIA CORP DEL,585310,-352739,44.06M,-26.55M,-37.6%,1.3%
023135106,AMZN,AMAZON COM INC,1043541,-213754,136.04M,-27.86M,-17%,4.1%
552953101,MGM,MGM RESORTS INTERNATIONAL,1777470,-765109,78.07M,-33.6M,-30.1%,2.4%
448579102,H,HYATT HOTELS CORP,0,-382367,0,-42.74M,CLOSE,0%
090043100,BILL,BILL HOLDINGS INC,583905,-395569,68.23M,-46.22M,-40.4%,2.1%
243537107,DECK,DECKERS OUTDOOR CORP,216414,-112599,114.19M,-59.41M,-34.2%,3.5%
30303M102,META,META PLATFORMS INC,0,-285474,0,-60.5M,CLOSE,0%
88160R101,TSLA,TESLA INC,186255,-275297,48.76M,-72.06M,-59.6%,1.5%
91879Q109,MTN,VAIL RESORTS INC,0,-326300,0,-76.25M,CLOSE,0%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,0,-1665096,0,-81.27M,CLOSE,0%
23804L103,DDOG,DATADOG INC,0,-1287691,0,-93.56M,CLOSE,0%
253393102,DKS,DICKS SPORTING GOODS INC,909685,-755204,120.25M,-99.83M,-45.4%,3.7%
573874104,MRVL,MARVELL TECHNOLOGY INC,1608797,-3552474,96.17M,-212.37M,-68.8%,2.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,1197173,-2670588,136.37M,-304.21M,-69%,4.1%
Total,,,,,3.29B,-31.23M,-1.1%,100%
