CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64110L106,NFLX,NETFLIX INC,52741,52741,23.23M,23.23M,NEW,7.3%
N07059210,ASML,ASML HOLDING N V,57371,16904,41.58M,12.25M,+41.8%,13%
00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,98564,20410,48.2M,9.98M,+26.1%,15.1%
803054204,SAP,SAP SE,168052,67250,22.99M,9.2M,+66.7%,7.2%
M7S64H106,MNDY,MONDAY COM LTD,43749,43749,7.49M,7.49M,NEW,2.3%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,25275,25275,4.06M,4.06M,NEW,1.3%
92826C839,V,VISA INC,16873,16873,4.01M,4.01M,NEW,1.3%
57636Q104,MA,MASTERCARD INCORPORATD,10186,10186,4.01M,4.01M,NEW,1.3%
03990B101,ARES,ARES MANAGEMENT CORPORATION,35923,35923,3.46M,3.46M,NEW,1.1%
03769M106,APO,APOLLO GLOBAL MGMT INC,44964,44964,3.45M,3.45M,NEW,1.1%
48251W104,KKR,KKR & CO INC,60040,60040,3.36M,3.36M,NEW,1.1%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,190890,24389,21.59M,2.76M,+14.6%,6.8%
G29018101,DLO,DLOCAL LTD,202782,202782,2.48M,2.48M,NEW,0.78%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,139596,15973,20.32M,2.32M,+12.9%,6.4%
M4R82T106,FVRR,FIVERR INTL LTD,73245,73245,1.91M,1.91M,NEW,0.6%
852234103,XYZ,BLOCK INC,49513,18720,3.3M,1.25M,+60.8%,1%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,92621,508,6.03M,33.06K,+0.6%,1.9%
26603R106,DUOL,DUOLINGO INC,38857,225,5.55M,32.16K,+0.6%,1.7%
90138F102,TWLO,TWILIO INC,32317,201,2.06M,12.79K,+0.6%,0.64%
683712103,OPEN,OPENDOOR TECHNOLOGIES INC,778104,2670,3.13M,10.73K,+0.3%,0.98%
09260D107,BX,BLACKSTONE INC,323776,0,30.1M,0,NO CHANGE,9.4%
30212P303,EXPE,EXPEDIA GROUP INC,186173,0,20.37M,0,NO CHANGE,6.4%
09857L108,BKNG,BOOKING HOLDINGS INC,4915,0,13.27M,0,NO CHANGE,4.2%
594918104,MSFT,MICROSOFT CORP,35860,0,12.21M,0,NO CHANGE,3.8%
46120E602,ISRG,INTUITIVE SURGICAL INC,30096,0,10.29M,0,NO CHANGE,3.2%
67066G104,NVDA,NVIDIA CORPORATION,1532,0,648.07K,0,NO CHANGE,0.2%
461202103,INTU,INTUIT,0,-3692,0,-1.65M,CLOSE,0%
009066101,ABNB,AIRBNB INC,0,-62312,0,-7.75M,CLOSE,0%
Total,,,,,319.07M,85.9M,+41%,100%
