CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78462F103,SPY,SPDR S&P 500 ETF TR,2322183,2322183,1.03B,1.03B,NEW,34.2%
46090E103,QQQ,INVESCO QQQ TR,2657503,2177754,981.73M,804.51M,+453.9%,32.6%
464287200,IVV,ISHARES TR,534522,510301,238.24M,227.45M,+2106.9%,7.9%
74347G432,,PROSHARES TR,3892194,3892194,73.6M,73.6M,NEW,2.4%
007903107,AMD,ADVANCED MICRO DEVICES INC,461361,461361,52.55M,52.55M,NEW,1.7%
25460E265,SPXS,DIREXION SHS ETF TR,3613363,3613363,50.51M,50.51M,NEW,1.7%
74347B714,PSQ,PROSHARES TR,4386978,4386978,46.37M,46.37M,NEW,1.5%
464287432,TLT,ISHARES TR,441543,441543,45.45M,45.45M,NEW,1.5%
78467X109,DIA,SPDR DOW JONES INDL AVERAGE,121169,121169,41.66M,41.66M,NEW,1.4%
74347B425,SH,PROSHARES TR,2123147,2033467,29.47M,28.22M,+2267.5%,0.98%
25460E869,SPDN,DIREXION SHS ETF TR,2261803,1511861,32.28M,21.57M,+201.6%,1.1%
594918104,MSFT,MICROSOFT CORP,55722,55722,18.98M,18.98M,NEW,0.63%
063679534,FNGA,BANK MONTREAL MEDIUM,79998,79998,14.98M,14.98M,NEW,0.5%
74347X864,UPRO,PROSHARES TR,314469,314469,14.9M,14.9M,NEW,0.5%
74347G739,QID,PROSHARES TR,1133182,1053494,14.98M,13.93M,+1322%,0.5%
02079K107,GOOG,ALPHABET INC,101111,101111,12.23M,12.23M,NEW,0.41%
91232N207,USO,UNITED STS OIL FD LP,160183,160183,10.18M,10.18M,NEW,0.34%
595112103,MU,MICRON TECHNOLOGY INC,140275,140275,8.85M,8.85M,NEW,0.29%
464285204,IAU,ISHARES GOLD TR,235566,235566,8.57M,8.57M,NEW,0.28%
01609W102,BABA,ALIBABA GROUP HLDG LTD,264701,97125,22.06M,8.1M,+58%,0.73%
674599105,OXY,OCCIDENTAL PETE CORP,128597,110955,7.56M,6.52M,+628.9%,0.25%
00507V109,ATVI,ACTIVISION BLIZZARD INC,57129,57129,4.82M,4.82M,NEW,0.16%
81369Y209,XLV,SELECT SECTOR SPDR TR,34464,34464,4.57M,4.57M,NEW,0.15%
375558103,GILD,GILEAD SCIENCES INC,58192,58192,4.48M,4.48M,NEW,0.15%
370334104,GIS,GENERAL MLS INC,57402,57402,4.4M,4.4M,NEW,0.15%
25460E232,TZA,DIREXION SHS ETF TR,165661,165661,4.36M,4.36M,NEW,0.14%
617446448,MS,MORGAN STANLEY,46660,46660,3.98M,3.98M,NEW,0.13%
62914V106,NIO,NIO INC,1206554,376844,11.69M,3.65M,+45.4%,0.39%
78468R770,ONEY,SPDR SER TR,31144,31144,2.97M,2.97M,NEW,0.1%
172967424,C,CITIGROUP INC,88225,59858,4.06M,2.76M,+211%,0.14%
74347B110,SPXU,PROSHARES TR,235097,235097,2.51M,2.51M,NEW,0.08%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,22358,22358,2.26M,2.26M,NEW,0.08%
46141D203,UUP,INVESCO DB US DLR INDEX TR,277386,75820,7.87M,2.15M,+37.6%,0.26%
H50430232,LOGI,LOGITECH INTL S A,36168,36168,2.15M,2.15M,NEW,0.07%
68389X105,ORCL,ORACLE CORP,17726,17726,2.11M,2.11M,NEW,0.07%
90364P105,PATH,UIPATH INC,125349,125349,2.08M,2.08M,NEW,0.07%
50202M102,LI,LI AUTO INC,55365,55365,1.94M,1.94M,NEW,0.06%
718172109,PM,PHILIP MORRIS INTL INC,19658,19658,1.92M,1.92M,NEW,0.06%
931427108,WBA,WALGREENS BOOTS ALLIANCE INC,92811,65506,2.64M,1.87M,+239.9%,0.09%
74347R305,DDM,PROSHARES TR,26067,26067,1.76M,1.76M,NEW,0.06%
64110W102,NTES,NETEASE INC,18062,18062,1.75M,1.75M,NEW,0.06%
464286400,EWZ,ISHARES INC,49082,49082,1.59M,1.59M,NEW,0.05%
Y7542C130,STNG,SCORPIO TANKERS INC,32811,32811,1.55M,1.55M,NEW,0.05%
25179M103,DVN,DEVON ENERGY CORP NEW,29932,29932,1.45M,1.45M,NEW,0.05%
464287184,FXI,ISHARES TR,52240,52240,1.42M,1.42M,NEW,0.05%
767292105,RIOT,RIOT PLATFORMS INC,117280,117280,1.39M,1.39M,NEW,0.05%
00206R102,T,AT&T INC,86316,86316,1.38M,1.38M,NEW,0.05%
74347X823,UDOW,PROSHARES TR,22788,22788,1.36M,1.36M,NEW,0.05%
46137V175,RZG,INVESCO EXCHANGE TRADED FD T,10668,10668,1.35M,1.35M,NEW,0.05%
78468R796,SPYX,SPDR SER TR,51202,37317,1.85M,1.35M,+268.8%,0.06%
835699307,SONY,SONY GROUP CORPORATION,14620,14620,1.32M,1.32M,NEW,0.04%
464287440,IEF,ISHARES TR,23772,13515,2.3M,1.31M,+131.8%,0.08%
344849104,FL,FOOT LOCKER INC,69126,44286,1.87M,1.2M,+178.3%,0.06%
205887102,CAG,CONAGRA BRANDS INC,35494,35494,1.2M,1.2M,NEW,0.04%
771049103,RBLX,ROBLOX CORP,29399,29399,1.18M,1.18M,NEW,0.04%
74347W338,VIXM,PROSHARES TR II,57722,57722,1.18M,1.18M,NEW,0.04%
74348A210,RWM,PROSHARES TR,51392,51392,1.17M,1.17M,NEW,0.04%
02005N100,ALLY,ALLY FINL INC,40880,40880,1.1M,1.1M,NEW,0.04%
72919P202,PLUG,PLUG POWER INC,103331,103331,1.07M,1.07M,NEW,0.04%
70932M107,PFSI,PENNYMAC FINL SVCS INC NEW,14527,14527,1.02M,1.02M,NEW,0.03%
29786A106,ETSY,ETSY INC,11487,11487,971.91K,971.91K,NEW,0.03%
46137V167,RZV,INVESCO EXCHANGE TRADED FD T,25308,10268,2.37M,960.36K,+68.3%,0.08%
134429109,CPB,CAMPBELL SOUP CO,20851,20851,953.1K,953.1K,NEW,0.03%
78464A755,XME,SPDR SER TR,18198,18198,924.82K,924.82K,NEW,0.03%
78464A540,XTL,SPDR SER TR,23609,11470,1.83M,889.96K,+94.5%,0.06%
98585X104,YETI,YETI HLDGS INC,33251,22691,1.29M,881.32K,+214.9%,0.04%
92864M301,BITX,VOLATILITY SHS TR,55269,55269,829.03K,829.03K,NEW,0.03%
74347B201,TBT,PROSHARES TR,27593,27593,811.23K,811.23K,NEW,0.03%
04342Y104,ASAN,ASANA INC,36514,36514,804.77K,804.77K,NEW,0.03%
918204108,VFC,V F CORP,41148,41148,785.51K,785.51K,NEW,0.03%
83406F102,SOFI,SOFI TECHNOLOGIES INC,125761,91340,1.05M,761.78K,+265.4%,0.03%
74347B235,DOG,PROSHARES TR,23049,23049,745.17K,745.17K,NEW,0.02%
74347Y847,ZSL,PROSHARES TR II,63246,35658,1.3M,733.84K,+129.3%,0.04%
171779309,CIEN,CIENA CORP,17171,17171,729.6K,729.6K,NEW,0.02%
25460G781,NUGT,DIREXION SHS ETF TR,20879,20879,727.63K,727.63K,NEW,0.02%
35137L105,FOXA,FOX CORP,31311,21053,1.06M,715.8K,+205.2%,0.04%
78464A409,SPYG,SPDR SER TR,34441,11730,2.1M,715.65K,+51.6%,0.07%
25460G195,YINN,DIREXION SHS ETF TR,33777,20852,1.16M,714.39K,+161.3%,0.04%
067901108,B,BARRICK GOLD CORP,62959,40163,1.07M,679.96K,+176.2%,0.04%
57667L107,MTCH,MATCH GROUP INC NEW,15586,15586,652.27K,652.27K,NEW,0.02%
008474108,AEM,AGNICO EAGLE MINES LTD,13017,13017,650.59K,650.59K,NEW,0.02%
25470M109,,DISH NETWORK CORPORATION,227395,96956,1.5M,638.94K,+74.3%,0.05%
25461A304,AAPD,DIREXION SHS ETF TR,31108,31108,623.79K,623.79K,NEW,0.02%
46429B598,INDA,ISHARES TR,14260,14260,623.16K,623.16K,NEW,0.02%
136635109,CSIQ,CANADIAN SOLAR INC,15336,15336,593.35K,593.35K,NEW,0.02%
35671D857,FCX,FREEPORT-MCMORAN INC,13934,13934,557.36K,557.36K,NEW,0.02%
74347R172,UBT,PROSHARES TR,21690,21690,540.08K,540.08K,NEW,0.02%
063679542,GDXU,BANK MONTREAL MEDIUM,14494,14494,534.97K,534.97K,NEW,0.02%
48203R104,JNPR,JUNIPER NETWORKS INC,16874,16874,528.66K,528.66K,NEW,0.02%
36118L106,FUTU,FUTU HLDGS LTD,12535,12535,498.14K,498.14K,NEW,0.02%
337932107,FE,FIRSTENERGY CORP,12175,12175,473.36K,473.36K,NEW,0.02%
957638109,WAL,WESTERN ALLIANCE BANCORP,12856,12856,468.86K,468.86K,NEW,0.02%
87918A105,TDOC,TELADOC HEALTH INC,17909,17909,453.46K,453.46K,NEW,0.02%
M85548101,SSYS,STRATASYS LTD,25396,25396,451.03K,451.03K,NEW,0.01%
74347W601,UGL,PROSHARES TR II,21953,7692,1.28M,447.98K,+53.9%,0.04%
717081103,PFE,PFIZER INC,12013,12013,440.64K,440.64K,NEW,0.01%
62955J103,NOV,NOV INC,27226,27226,436.7K,436.7K,NEW,0.01%
477143101,JBLU,JETBLUE AWYS CORP,48793,48793,432.31K,432.31K,NEW,0.01%
25461A874,AAPU,DIREXION SHS ETF TR,14826,14826,431.73K,431.73K,NEW,0.01%
09228F103,BB,BLACKBERRY LTD,75805,75805,419.2K,419.2K,NEW,0.01%
594960304,MVIS,MICROVISION INC DEL,173390,91042,794.13K,416.97K,+110.6%,0.03%
30744W107,FTCHQ,FARFETCH LTD,115661,68294,698.59K,412.5K,+144.2%,0.02%
25460G336,SOXS,DIREXION SHS ETF TR,134837,39111,1.33M,386.03K,+40.9%,0.04%
46144X628,SARK,INVESTMENT MANAGERS SER TR I,35749,10608,1.29M,383.8K,+42.2%,0.04%
38747R868,BABX,GRANITESHARES ETF TR,19765,19765,382.06K,382.06K,NEW,0.01%
46137V795,PUI,INVESCO EXCHANGE TRADED FD T,25770,10899,835.46K,353.35K,+73.3%,0.03%
92766K106,SPCE.MX,VIRGIN GALACTIC HOLDINGS INC,87781,87781,340.59K,340.59K,NEW,0.01%
91917A108,BTF,VALKYRIE ETF TRUST II,29443,29443,340.36K,340.36K,NEW,0.01%
003264108,SIVR,ABRDN SILVER ETF TRUST,15154,15154,331.12K,331.12K,NEW,0.01%
934423104,WBD,WARNER BROS DISCOVERY INC,26297,26297,329.76K,329.76K,NEW,0.01%
88034P109,TME,TENCENT MUSIC ENTMT GROUP,43764,43764,322.98K,322.98K,NEW,0.01%
98421M106,XRX,XEROX HOLDINGS CORP,21137,21137,314.73K,314.73K,NEW,0.01%
654106103,NKE,NIKE INC,17189,2722,1.9M,300.43K,+18.8%,0.06%
91688F104,UPWK,UPWORK INC,31537,31537,294.56K,294.56K,NEW,<.01%
74347Y797,SCO,PROSHARES TR II,11169,11169,287.04K,287.04K,NEW,<.01%
090040106,BILI,BILIBILI INC,18117,18117,273.57K,273.57K,NEW,<.01%
496902404,KGC,KINROSS GOLD CORP,219308,55700,1.05M,265.69K,+34%,0.03%
654110105,NKLA,NIKOLA CORP,179089,179089,247.14K,247.14K,NEW,<.01%
92891H408,UVIX,VS TRUST,53983,53983,240.76K,240.76K,NEW,<.01%
92763W103,VIPS,VIPSHOP HOLDINGS LIMITED,14173,14173,233.85K,233.85K,NEW,<.01%
695263103,,PACWEST BANCORP DEL,27618,27618,225.09K,225.09K,NEW,<.01%
74347G564,RXD,PROSHARES TR,17204,17204,213.34K,213.34K,NEW,<.01%
00214Q708,ARKF,ARK ETF TR,10155,10155,212.34K,212.34K,NEW,<.01%
D18190898,DB,DEUTSCHE BANK A G,48194,18477,507.48K,194.56K,+62.2%,0.02%
422704106,HL,HECLA MNG CO,124247,34082,639.87K,175.52K,+37.8%,0.02%
M4R82T106,FVRR,FIVERR INTL LTD,25735,5903,669.37K,153.54K,+29.8%,0.02%
35952H601,FCEL,FUELCELL ENERGY INC,296110,68437,639.6K,147.82K,+30.1%,0.02%
15961R105,CHPT,CHARGEPOINT HOLDINGS INC,63325,16089,556.63K,141.42K,+34.1%,0.02%
78464A508,SPYV,SPDR SER TR,29169,3243,1.26M,140.1K,+12.5%,0.04%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,96713,9039,1.48M,138.57K,+10.3%,0.05%
46137V266,RPG,INVESCO EXCHANGE TRADED FD T,12386,700,1.89M,106.79K,+6%,0.06%
H17182108,CRSP,CRISPR THERAPEUTICS AG,15663,1731,879.32K,97.18K,+12.4%,0.03%
25459Y165,SPUU,DIREXION SHS ETF TR,30028,1018,2.78M,94.21K,+3.5%,0.09%
92556H206,PSKY,PARAMOUNT GLOBAL,46848,5606,745.35K,89.19K,+13.6%,0.02%
82509L107,SHOP,SHOPIFY INC,15730,983,1.02M,63.5K,+6.7%,0.03%
74347W270,YCL,PROSHARES TR II,12315,2185,337.68K,59.91K,+21.6%,0.01%
74347R727,UXI,PROSHARES TR,36872,1804,969.83K,47.45K,+5.1%,0.03%
48138M105,JMIA,JUMIA TECHNOLOGIES AG,99785,11542,341.26K,39.47K,+13.1%,0.01%
32076V103,AG,FIRST MAJESTIC SILVER CORP,37884,5606,214.04K,31.67K,+17.4%,<.01%
25459W557,TYO,DIREXION SHS ETF TR,26848,2099,350.1K,27.37K,+8.5%,0.01%
90278V305,IWFL,UBS AG LONDON BRANCH,11543,4,295.26K,102.32,+0%,<.01%
74347R669,USD,PROSHARES TR,12335,0,520.91K,0,NO CHANGE,0.02%
74347R768,UGE,PROSHARES TR,17883,-821,305.79K,-14.04K,-4.4%,0.01%
90278V503,QULL,UBS AG LONDON BRANCH,11231,-975,338.67K,-29.4K,-8%,0.01%
25490K323,LABU,DIREXION SHS ETF TR,197946,-6645,1.17M,-39.34K,-3.2%,0.04%
364760108,GAP,GAP INC,71923,-5384,642.27K,-48.08K,-7%,0.02%
90278V206,SCDL,UBS AG LONDON BRANCH,10173,-2218,315.05K,-68.69K,-17.9%,0.01%
78464A839,MDYV,SPDR SER TR,15836,-1517,1.09M,-104.34K,-8.7%,0.04%
90274D374,AMUB,UBS AG LONDON BRANCH,27903,-11623,402.68K,-167.74K,-29.4%,0.01%
25460E240,FAZ,DIREXION SHS ETF TR,19514,-9446,369.4K,-178.81K,-32.6%,0.01%
74347G721,SDP,PROSHARES TR,0,-17515,0,-201.07K,CLOSE,0%
163092109,CHGG,CHEGG INC,0,-12887,0,-210.06K,CLOSE,0%
85859N102,,STEM INC,0,-39128,0,-221.86K,CLOSE,0%
88688T100,TLRY,TILRAY BRANDS INC,0,-89039,0,-225.27K,CLOSE,0%
46144X842,NVDS,INVESTMENT MANAGERS SER TR I,0,-14144,0,-227.01K,CLOSE,0%
49456B101,KMI,KINDER MORGAN INC DEL,0,-13092,0,-229.24K,CLOSE,0%
83570H108,SONO,SONOS INC,0,-12000,0,-235.44K,CLOSE,0%
382550101,GT,GOODYEAR TIRE & RUBR CO,0,-23118,0,-254.76K,CLOSE,0%
G65773106,NAT,NORDIC AMERICAN TANKERS LIMI,0,-64742,0,-256.38K,CLOSE,0%
26210C104,DBX,DROPBOX INC,0,-11959,0,-258.55K,CLOSE,0%
844741108,LUV,SOUTHWEST AIRLS CO,10470,-7195,379.12K,-260.53K,-40.7%,0.01%
446150104,HBAN,HUNTINGTON BANCSHARES INC,0,-23960,0,-268.35K,CLOSE,0%
82968B103,SIRI,SIRIUS XM HOLDINGS INC,0,-67833,0,-269.3K,CLOSE,0%
74347G598,SIJ,PROSHARES TR,0,-19416,0,-281.73K,CLOSE,0%
78464A714,XRT,SPDR SER TR,17364,-4611,1.11M,-293.95K,-21%,0.04%
071734107,BHC,BAUSCH HEALTH COS INC,0,-36318,0,-294.18K,CLOSE,0%
534187109,LNC,LINCOLN NATL CORP IND,0,-13197,0,-296.54K,CLOSE,0%
00768Y453,MSOS,ADVISORSHARES TR,165122,-56293,914.78K,-311.86K,-25.4%,0.03%
26884L109,EQT,EQT CORP,0,-10777,0,-343.89K,CLOSE,0%
87165B103,SYF,SYNCHRONY FINANCIAL,0,-12110,0,-352.16K,CLOSE,0%
33813J106,FSRNQ,FISKER INC,69621,-62672,392.66K,-353.47K,-47.4%,0.01%
78467V103,RLY,SSGA ACTIVE ETF TR,0,-13034,0,-359.48K,CLOSE,0%
12468P104,AI,C3 AI INC,0,-11009,0,-369.57K,CLOSE,0%
