CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
595112103,MU,MICRON TECHNOLOGY INC,1154540,917304,72.86M,57.89M,+386.7%,16.8%
57667L107,MTCH,MATCH GROUP INC NEW,933702,654941,39.08M,27.41M,+234.9%,9%
02079K305,GOOGL,ALPHABET INC,220447,220447,26.39M,26.39M,NEW,6.1%
M5216V106,GLBE,GLOBAL E ONLINE LTD,593402,593402,24.29M,24.29M,NEW,5.6%
74624M102,P,PURE STORAGE INC,611866,611866,22.53M,22.53M,NEW,5.2%
771049103,RBLX,ROBLOX CORP,320000,320000,12.9M,12.9M,NEW,3%
546347105,LPX,LOUISIANA PAC CORP,160236,160236,12.01M,12.01M,NEW,2.8%
60937P106,MDB,MONGODB INC,27500,27500,11.3M,11.3M,NEW,2.6%
690370101,BBBY,OVERSTOCK COM INC DEL,343148,343148,11.18M,11.18M,NEW,2.6%
594918104,MSFT,MICROSOFT CORP,26928,26928,9.17M,9.17M,NEW,2.1%
64110L106,NFLX,NETFLIX INC,28068,18500,12.36M,8.15M,+193.4%,2.9%
86800U104,SUPER,SUPER MICRO COMPUTER INC,31802,31802,7.93M,7.93M,NEW,1.8%
20717M103,CFLT,CONFLUENT INC,214095,214095,7.56M,7.56M,NEW,1.7%
81762P102,NOW,SERVICENOW INC,12688,12688,7.13M,7.13M,NEW,1.6%
26142V105,DKNG,DRAFTKINGS INC NEW,417142,184089,11.08M,4.89M,+79%,2.6%
88339J105,TTD,THE TRADE DESK INC,108318,57247,8.36M,4.42M,+112.1%,1.9%
00402L107,ASO,ACADEMY SPORTS & OUTDOORS IN,75000,75000,4.05M,4.05M,NEW,0.94%
67066G104,NVDA,NVIDIA CORPORATION,108957,9256,46.09M,3.92M,+9.3%,10.6%
749685103,RPM,RPM INTL INC,36109,36109,3.24M,3.24M,NEW,0.75%
368736104,GNRC,GENERAC HLDGS INC,20470,20470,3.05M,3.05M,NEW,0.7%
007903107,AMD,ADVANCED MICRO DEVICES INC,24216,24216,2.76M,2.76M,NEW,0.64%
29414B104,EPAM,EPAM SYS INC,8300,8300,1.87M,1.87M,NEW,0.43%
58733R102,MELI,MERCADOLIBRE INC,7960,1404,9.43M,1.66M,+21.4%,2.2%
023135106,AMZN,AMAZON COM INC,139442,11872,18.18M,1.55M,+9.3%,4.2%
18915M107,NET,CLOUDFLARE INC,51522,22605,3.37M,1.48M,+78.2%,0.78%
78137L105,RUM,RUMBLE INC,119387,119387,1.06M,1.06M,NEW,0.25%
29786A106,ETSY,ETSY INC,11238,11238,950.85K,950.85K,NEW,0.22%
825690100,SSTK,SHUTTERSTOCK INC,18274,18274,889.4K,889.4K,NEW,0.21%
90353T100,UBER,UBER TECHNOLOGIES INC,8300,8300,358.31K,358.31K,NEW,0.08%
25809K105,DASH,DOORDASH INC,6999,3176,534.86K,242.71K,+83.1%,0.12%
98954M101,ZG,ZILLOW GROUP INC,8521,-185,419.23K,-9.1K,-2.1%,0.1%
654106103,NKE,NIKE INC,100000,-7678,11.04M,-847.42K,-7.1%,2.5%
958102105,WDC,WESTERN DIGITAL CORP.,0,-31541,0,-1.19M,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-30159,0,-1.31M,CLOSE,0%
461202103,INTU,INTUIT,0,-3064,0,-1.37M,CLOSE,0%
25470M109,,DISH NETWORK CORPORATION,374300,-237838,2.47M,-1.57M,-38.9%,0.57%
45174J509,IHRT,IHEARTMEDIA INC,0,-434430,0,-1.69M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,0,-24215,0,-3.74M,CLOSE,0%
30303M102,META,META PLATFORMS INC,88254,-17212,25.33M,-4.94M,-16.3%,5.8%
238337109,PLAY,DAVE & BUSTERS ENTMT INC,0,-214348,0,-7.89M,CLOSE,0%
443573100,HUBS,HUBSPOT INC,1354,-15248,720.45K,-8.11M,-91.8%,0.17%
16679L109,CHWY,CHEWY INC,0,-223296,0,-8.35M,CLOSE,0%
74967X103,RH,RH,0,-42992,0,-10.47M,CLOSE,0%
053774105,CAR,AVIS BUDGET GROUP,0,-54646,0,-10.65M,CLOSE,0%
339041105,,FLEETCOR TECHNOLOGIES INC,0,-51820,0,-10.93M,CLOSE,0%
852234103,XYZ,BLOCK INC,0,-162041,0,-11.12M,CLOSE,0%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,0,-232687,0,-14.57M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,6950,-98555,1.12M,-15.82M,-93.4%,0.26%
72352L106,PINS,PINTEREST INC,0,-605068,0,-16.5M,CLOSE,0%
81282V100,PRKS,SEAWORLD ENTMT INC,0,-1391507,0,-85.31M,CLOSE,0%
Total,,,,,433.06M,65.85M,+19.6%,100%
