CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,158000,113000,66.84M,47.8M,+251.1%,53.4%
13321L108,CCJ,CAMECO CORP,720000,720000,22.56M,22.56M,NEW,18%
19247G107,COHR,COHERENT CORP,65000,65000,3.31M,3.31M,NEW,2.6%
852312305,STAA,STAAR SURGICAL CO,0,-160000,0,-10.23M,CLOSE,0%
Y41053102,INSW,INTERNATIONAL SEAWAYS INC,0,-269617,0,-11.24M,CLOSE,0%
44332N106,HTHT,H WORLD GROUP LTD-ADR,0,-380000,0,-18.61M,CLOSE,0%
98980A105,ZTO,ZTO EXPRESS CAYMAN INC-ADR,0,-760951,0,-21.81M,CLOSE,0%
674599105,OXY,OCCIDENTAL PETROLEUM CORP,0,-360000,0,-22.47M,CLOSE,0%
055622104,BP,BP PLC-SPONS ADR,0,-865625,0,-32.84M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,0,-435000,0,-33.02M,CLOSE,0%
Y7542C130,STNG,SCORPIO TANKERS INC,0,-655000,0,-36.88M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,285000,-410000,32.46M,-46.7M,-59%,25.9%
Total,,,,,125.17M,-160.14M,-59.8%,100%
