CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
833445109,SNOW,SNOWFLAKE INC,3400,3400,598.33K,598.33K,NEW,0.92%
016255101,ALGN,ALIGN TECHNOLOGY INC,1520,1520,537.53K,537.53K,NEW,0.83%
00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,975,975,476.76K,476.76K,NEW,0.74%
464287234,EEM,ISHARES TR,5170,5170,204.53K,204.52K,NEW,0.32%
146869102,CVNA,CARVANA CO,536000,0,13.89M,0,NO CHANGE,21.4%
22266T109,CPNG,COUPANG INC,714285,0,12.43M,0,NO CHANGE,19.2%
00827B106,AFRM,AFFIRM HLDGS INC,291152,0,4.46M,0,NO CHANGE,6.9%
77664L207,ROOT,ROOT INC,486111,0,4.35M,0,NO CHANGE,6.7%
75321W103,PACK,RANPAK HOLDINGS CORP,97517,0,440.78K,0,NO CHANGE,0.68%
83193G107,SMRT,SMARTRENT INC,46590,0,178.44K,0,NO CHANGE,0.28%
91842V110,,VMG CONSUMER ACQUISITION COR,0,-250000,0,-11.22K,CLOSE,0%
87043Q108,SG,SWEETGREEN INC,596897,-80212,7.65M,-1.03M,-11.8%,11.8%
91842V102,,VMG CONSUMER ACQUISITION COR,0,-500000,0,-5.17M,CLOSE,0%
88160R101,TSLA,TESLA INC,75000,-75000,19.63M,-19.63M,-50%,30.3%
Total,,,,,64.85M,-24.02M,-37.3%,100%
