CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
62886E108,VYX,NCR CORP NEW,313336,143980,8.45M,3.88M,+85%,8.2%
595112103,MU,MICRON TECHNOLOGY INC.,95210,47105,6.48M,3.2M,+97.9%,6.3%
71880K101,PHIN,PHINIA INC,105625,105625,2.83M,2.83M,NEW,2.7%
25278X109,FANG,DIAMONDBACK ENERGY INC,12810,12810,1.98M,1.98M,NEW,1.9%
G7997W102,SDRL,SEADRILL 2021 LTD,52500,41500,2.35M,1.86M,+377.3%,2.3%
08579W103,BERY,BERRY GLOBAL GROUP INC,106690,24855,6.61M,1.54M,+30.4%,6.4%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC N,2371,750,3.27M,1.04M,+46.3%,3.2%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,289058,55000,4.52M,859.65K,+23.5%,4.4%
G69451105,PAX,PATRIA INVESTMENTS LIMITED,403135,34984,5.88M,510.07K,+9.5%,5.7%
Y2065G121,DHT,DHT HOLDINGS INC,48260,48260,497.08K,497.08K,NEW,0.48%
G65431127,NE,NOBLE CORP PLC,20612,9612,1.04M,486.85K,+87.4%,1%
464287432,TLT,ISHARES TR,13150,5150,1.17M,456.75K,+64.4%,1.1%
B38564108,CMBT,EURONAV NV,27560,27560,452.81K,452.81K,NEW,0.44%
88033G407,THC,TENET HEALTHCARE CORP,92601,1108,6.1M,73.01K,+1.2%,5.9%
29273V100,ET,ENERGY TRANSFER L P,428146,0,6.01M,0,NO CHANGE,5.8%
15135B101,CNC,CENTENE CORP DEL,76415,0,5.26M,0,NO CHANGE,5.1%
85207H104,PHYS,SPROTT PHYSICAL GOLD TR,343007,0,4.91M,0,NO CHANGE,4.8%
011532108,AGI,ALAMOS GOLD INC NEW,341728,0,3.86M,0,NO CHANGE,3.7%
302301106,EZPW,EZCORP INC,353702,0,2.92M,0,NO CHANGE,2.8%
008474108,AEM,AGNICO EAGLE MINES LTD,61915,0,2.81M,0,NO CHANGE,2.7%
377320106,,GLATFELTER CORPORATION,1162534,0,2.33M,0,NO CHANGE,2.3%
651639106,NEM,NEWMONT CORP,59160,0,2.19M,0,NO CHANGE,2.1%
697900108,PAAS,PAN AMERN SILVER CORP,131162,0,1.9M,0,NO CHANGE,1.8%
Y41053102,INSW,INTERNATIONAL SEAWAYS INC,22500,0,1.01M,0,NO CHANGE,0.98%
934423104,WBD,WARNER BROS DISCOVERY INC,3927,0,42.65K,0,NO CHANGE,0.04%
516806205,VTLE,VITAL ENERGY INC,0,-14300,0,-645.64K,CLOSE,0%
64107A105,NPWR,NET POWER INC,55118,-53110,832.28K,-801.96K,-49.1%,0.81%
93627C101,HCC,WARRIOR MET COAL INC,9807,-20000,500.94K,-1.02M,-67.1%,0.49%
675232102,OII,OCEANEERING INTL INC,0,-72708,0,-1.36M,CLOSE,0%
Y8162K204,SBLK,STAR BULK CARRIERS CORP.,0,-96607,0,-1.71M,CLOSE,0%
G9460G101,VAL,VALARIS LIMITED,57934,-23170,4.34M,-1.74M,-28.6%,4.2%
018581108,BFH,BREAD FINANCIAL HOLDINGS INC,0,-60041,0,-1.88M,CLOSE,0%
G21810109,CLVT,CLARIVATE PLC,0,-231440,0,-2.21M,CLOSE,0%
165167735,EXE,CHESAPEAKE ENERGY CORP,87,-26050,7.5K,-2.25M,-99.7%,<.01%
674215207,CHRD,CHORD ENERGY CORPORATION,7000,-24715,1.13M,-4.01M,-77.9%,1.1%
92840M102,VST,VISTRA CORP,197848,-145073,6.56M,-4.81M,-42.3%,6.4%
87484T108,TALO,TALOS ENERGY INC,0,-348799,0,-4.84M,CLOSE,0%
05722G100,BKR,BAKER HUGHES COMPANY,8573,-161750,302.8K,-5.71M,-95%,0.29%
03769M106,APO,APOLLO GLOBAL MGMT INC,0,-75357,0,-5.79M,CLOSE,0%
88642R109,TDW,TIDEWATER INC NEW,62199,-111683,4.42M,-7.94M,-64.2%,4.3%
Total,,,,,102.97M,-27.04M,-21.6%,100%
