CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
007903107,AMD,ADVANCED MICRO DEVICES INC,286843,45511,29.49M,4.68M,+18.9%,7.9%
171779309,CIEN,CIENA CORP,289643,81756,13.69M,3.86M,+39.3%,3.7%
038222105,AMAT,APPLIED MATLS INC,201601,25631,27.91M,3.55M,+14.6%,7.5%
871607107,SNPS,SYNOPSYS INC,48311,6418,22.17M,2.95M,+15.3%,5.9%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,233668,81068,7.46M,2.59M,+53.1%,2%
482480100,KLAC,KLA CORP,28997,5203,13.3M,2.39M,+21.9%,3.6%
861012102,STM,STMICROELECTRONICS N V,431907,40533,18.64M,1.75M,+10.4%,5%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,286212,18669,23.35M,1.52M,+7%,6.3%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,205871,15062,17.89M,1.31M,+7.9%,4.8%
16119P108,CHTR,CHARTER COMMUNICATIONS INC N,11363,1763,5M,775.4K,+18.4%,1.3%
11135F101,AVGO,BROADCOM INC,36611,673,30.41M,558.98K,+1.9%,8.2%
67066G104,NVDA,NVIDIA CORPORATION,74988,1174,32.62M,510.68K,+1.6%,8.7%
682189105,ON,ON SEMICONDUCTOR CORP,337294,4891,31.35M,454.62K,+1.5%,8.4%
037833100,AAPL,APPLE INC,24072,-287,4.12M,-49.14K,-1.2%,1.1%
74624M102,P,PURE STORAGE INC,195359,-8641,6.96M,-307.79K,-4.2%,1.9%
13100M509,CALX,CALIX INC,311948,-20561,14.3M,-942.52K,-6.2%,3.8%
86800U104,SUPER,SUPER MICRO COMPUTER INC,79673,-4567,21.85M,-1.25M,-5.4%,5.9%
G3323L100,FN,FABRINET,158434,-9371,26.4M,-1.56M,-5.6%,7.1%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,155587,-25863,12.14M,-2.02M,-14.3%,3.3%
609839105,MPWR,MONOLITHIC PWR SYS INC,30351,-6887,14.02M,-3.18M,-18.5%,3.8%
Total,,,,,373.08M,17.58M,+4.9%,100%
