CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
803054204,SAP,SAP SE,3650912,3650912,472.14M,472.14M,NEW,30.2%
780259305,SHEL,SHELL PLC,16973360,1068446,1.09B,68.79M,+6.7%,69.8%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,0,-2700,0,-361.29K,CLOSE,0%
N53745100,LYB,LYONDELLBASELL INDUSTRIES N,0,-4395,0,-403.59K,CLOSE,0%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,0,-1202,0,-627.14K,CLOSE,0%
254687106,DIS,DISNEY WALT CO,0,-7619,0,-680.22K,CLOSE,0%
026874784,AIG,AMERICAN INTL GROUP INC,0,-13200,0,-759.53K,CLOSE,0%
464287598,IWD,ISHARES TR,0,-5653,0,-892.21K,CLOSE,0%
89417E109,TRV,TRAVELERS COMPANIES INC,0,-6900,0,-1.2M,CLOSE,0%
G5480U120,,LIBERTY GLOBAL PLC,0,-68558,0,-1.22M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO,0,-8808,0,-1.28M,CLOSE,0%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,0,-21288,0,-1.73M,CLOSE,0%
37045V100,GM,GENERAL MTRS CO,0,-50000,0,-1.93M,CLOSE,0%
060505104,BAC,BANK AMERICA CORP,0,-77700,0,-2.23M,CLOSE,0%
25470M109,,DISH NETWORK CORPORATION,0,-384366,0,-2.53M,CLOSE,0%
278865100,ECL,ECOLAB INC,0,-24732,0,-4.62M,CLOSE,0%
084423102,WRB,BERKLEY W R CORP,0,-82365,0,-4.91M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,0,-78494,0,-9.35M,CLOSE,0%
78468R663,BIL,SPDR SER TR,0,-169754,0,-15.59M,CLOSE,0%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,0,-58378,0,-19.91M,CLOSE,0%
530307107,LBRDA,LIBERTY BROADBAND CORP,0,-603727,0,-48.14M,CLOSE,0%
617446448,MS,MORGAN STANLEY,0,-1087450,0,-92.87M,CLOSE,0%
44891N208,PPLI,IAC INC,0,-1941683,0,-121.94M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,0,-1413920,0,-169.25M,CLOSE,0%
16119P108,CHTR,CHARTER COMMUNICATIONS INC N,0,-716763,0,-263.32M,CLOSE,0%
92826C839,V,VISA INC,0,-1400729,0,-332.65M,CLOSE,0%
036752103,ELV,ELEVANCE HEALTH INC,0,-751967,0,-334.09M,CLOSE,0%
980745103,WWD,WOODWARD INC,0,-4098230,0,-487.32M,CLOSE,0%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,0,-3426115,0,-498.67M,CLOSE,0%
N00985106,AER,AERCAP HOLDINGS NV,0,-8095719,0,-514.24M,CLOSE,0%
530307305,LBRDK,LIBERTY BROADBAND CORP,0,-6769312,0,-542.29M,CLOSE,0%
G0403H108,AON,AON PLC,0,-1806709,0,-623.68M,CLOSE,0%
571903202,MAR,MARRIOTT INTL INC NEW,0,-3580402,0,-657.68M,CLOSE,0%
14040H105,COF,CAPITAL ONE FINL CORP,0,-6038603,0,-660.44M,CLOSE,0%
172967424,C,CITIGROUP INC,0,-17456539,0,-803.7M,CLOSE,0%
20030N101,CMCSA,COMCAST CORP NEW,0,-21624189,0,-898.49M,CLOSE,0%
91324P102,UNH,UNITEDHEALTH GROUP INC,0,-1876650,0,-901.99M,CLOSE,0%
38141G104,GS,GOLDMAN SACHS GROUP INC,0,-2804744,0,-904.64M,CLOSE,0%
949746101,WFC,WELLS FARGO CO NEW,0,-23443093,0,-1B,CLOSE,0%
20825C104,COP,CONOCOPHILLIPS,0,-11005472,0,-1.14B,CLOSE,0%
369604301,GE,GENERAL ELECTRIC CO,0,-13392076,0,-1.47B,CLOSE,0%
64110L106,NFLX,NETFLIX INC,0,-3383421,0,-1.49B,CLOSE,0%
02079K107,GOOG,ALPHABET INC,0,-13575691,0,-1.64B,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-6468703,0,-1.86B,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-5504265,0,-1.87B,CLOSE,0%
023135106,AMZN,AMAZON COM INC,0,-14589521,0,-1.9B,CLOSE,0%
Total,,,,,1.56B,-20.76B,-93.3%,100%
