CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
294600101,,EQUITRANS MIDSTREAM CORP,1690240,901240,15.84M,8.44M,+114.2%,77.7%
500688106,KOS,KOSMOS ENERGY LTD,329110,329110,2.69M,2.69M,NEW,13.2%
01021X100,,AKUMIN INC,3231984,3231984,471.55K,471.55K,NEW,2.3%
00165C302,AMC,AMC ENTMT HLDGS INC,46561,46561,372.02K,372.02K,NEW,1.8%
84757T113,MDAIW,SPECTRAL AI INC,11666,11666,1.52K,1.52K,NEW,<.01%
041242108,ARKO,ARKO CORP,125156,0,894.87K,0,NO CHANGE,4.4%
20337X109,VISN,COMMSCOPE HLDG CO INC,32795,0,110.19K,0,NO CHANGE,0.54%
33850F116,,FLAME ACQUISITION CORP,10000,0,8K,0,NO CHANGE,0.04%
96812F110,BAERW,BRIDGER AEROSPACE GRP HLDGS,10000,0,2.9K,0,NO CHANGE,0.01%
G85727116,SDAWW,SUNCAR TECHNOLOGY GROUP INC,10000,0,1.25K,0,NO CHANGE,<.01%
048453112,,ATLANTIC COASTAL ACQUISTN CO,33333,0,933,0,NO CHANGE,<.01%
38021H115,PUCKW,GOAL ACQUISITIONS CORP,10840,0,300,0,NO CHANGE,<.01%
77732R111,,ROSECLIFF ACQUISITION CORP I,0,-11666,0,-700K,CLOSE,0%
55407R103,,M3 BRIGADE ACQUISITION III,0,-30847,0,-322.35M,CLOSE,0%
18453H106,CCO,CLEAR CHANNEL OUTDOOR HLDGS,0,-774402,0,-1.06B,CLOSE,0%
Total,,,,,20.39M,-1.37B,-13.6%,100%
