CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
808513105,SCHW,SCHWAB CHARLES CORP,203142,34700,11.15M,1.91M,+20.6%,7.4%
58985J105,MLNK,MERIDIANLINK INC,896744,81848,15.3M,1.4M,+10%,10.1%
03783C100,APPF,APPFOLIO INC,113067,0,20.65M,0,NO CHANGE,13.7%
698884103,PAR,PAR TECHNOLOGY CORP,444003,0,17.11M,0,NO CHANGE,11.3%
00508Y102,AYI,ACUITY BRANDS INC,94175,0,16.04M,0,NO CHANGE,10.6%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,223043,0,14.57M,0,NO CHANGE,9.6%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,145589,0,13.1M,0,NO CHANGE,8.7%
16119P108,CHTR,CHARTER COMMUNICATIONS INC,28485,0,12.53M,0,NO CHANGE,8.3%
03831W108,APP,APPLOVIN CORP,767252,-105190,30.66M,-4.2M,-12.1%,20.3%
35909D109,FYBR,FRONTIER COMMUNICATIONS PARENT,0,-632389,0,-11.79M,CLOSE,0%
Total,,,,,151.11M,-12.69M,-8.7%,100%
