CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G8068L108,SN,SHARKNINJA INC,6112191,6112191,283.36M,283.36M,NEW,40.2%
901384107,TSVT,2SEVENTY BIO INC,1494125,1494125,5.86M,5.86M,NEW,0.83%
384637104,GHC,GRAHAM HLDGS CO,209401,8917,122.08M,5.2M,+4.4%,17.3%
38341P102,GOSS,GOSSAMER BIO INC,6130268,6130268,5.11M,5.11M,NEW,0.72%
816212104,,SELECTA BIOSCIENCES INC,4008019,4008019,4.25M,4.25M,NEW,0.6%
35471R106,FSP,FRANKLIN STR PPTYS CORP,3291443,1288790,6.09M,2.38M,+64.4%,0.86%
29430C102,VSTS,VESTIS CORPORATION,110000,110000,2.12M,2.12M,NEW,0.3%
457985208,IART,INTEGRA LIFESCIENCES HLDS C,964667,40000,36.84M,1.53M,+4.3%,5.2%
690469101,OVID,OVID THERAPEUTICS INC,3648509,340904,14.01M,1.31M,+10.3%,2%
G4766E116,INDV,INDIVIOR PLC,39087,27887,901.74K,643.35K,+249%,0.13%
G8807B106,TBPH,THERAVANCE BIOPHARMA INC,7012226,0,60.52M,0,NO CHANGE,8.6%
85256A109,STGW,STAGWELL INC,7147662,0,33.52M,0,NO CHANGE,4.8%
717098206,,PFSWEB INC,2633189,0,19.59M,0,NO CHANGE,2.8%
590328209,,MERRIMACK PHARMACEUTICALS INC,553085,0,6.82M,0,NO CHANGE,0.97%
55262C100,MBI,MBIA INC,420826,0,3.03M,0,NO CHANGE,0.43%
153436100,CEE,CENTRAL & EASTERN EUROPE FD,211030,0,1.81M,0,NO CHANGE,0.26%
786449207,,SAFEGUARD SCIENTIFICS INC,359085,-32374,359.08K,-32.37K,-8.3%,0.05%
52634L108,LNSR,LENSAR INC,240341,-117122,742.65K,-361.91K,-32.8%,0.11%
G5005R107,JRVR,JAMES RIV GROUP LTD,0,-63887,0,-1.17M,CLOSE,0%
871332102,SLVM,SYLVAMO CORP,0,-40163,0,-1.62M,CLOSE,0%
68629Y103,ONL,ORION GROUP HLDGS INC,3501281,-594620,18.24M,-3.1M,-14.5%,2.6%
57638P104,MBC,MASTERBRAND INC,0,-1298688,0,-15.1M,CLOSE,0%
36237H101,GIII,G III APPAREL GROUP LTD,3188997,-725872,79.47M,-18.09M,-18.5%,11.3%
320517105,FHN,FIRST HORIZON CORPORATION,0,-1843065,0,-20.77M,CLOSE,0%
Total,,,,,704.73M,251.51M,+54.9%,100%
