CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
013872106,AA,ALCOA CORP,585000,545000,17M,15.84M,+1362.5%,8.5%
G0378L100,AU,ANGLOGOLD ASHANTI-SPON ADR,601432,601432,9.5M,9.5M,NEW,4.8%
46090E103,QQQ,INVESCO QQQ TR,20000,20000,7.17M,7.17M,NEW,3.6%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,1525000,590587,15.55M,6.02M,+63.2%,7.8%
697900108,PAAS,PAN AMERN SILVER CORP,625000,283315,9.05M,4.1M,+82.9%,4.5%
651639106,NEM,NEWMONT CORP,77000,77000,2.85M,2.85M,NEW,1.4%
256677105,DG,DOLLAR GEN CORP NEW,25000,25000,2.65M,2.65M,NEW,1.3%
26924G102,SILJ,ETF MANAGERS TR,375000,300000,3.18M,2.54M,+400%,1.6%
70450Y103,PYPL,PAYPAL HLDGS INC,126400,31400,7.39M,1.84M,+33.1%,3.7%
31189P102,FATE,FATE THERAPEUTICS INC,1847944,842718,3.92M,1.79M,+83.8%,2%
11777Q209,BTG,B2GOLD CORP,775000,507635,2.24M,1.47M,+189.9%,1.1%
70614W100,PTON,PELOTON INTERACTIVE INC,225000,210000,1.14M,1.06M,+1400%,0.57%
67011P100,DNOW,NOW INC,306756,76424,3.64M,907.15K,+33.2%,1.8%
16679L109,CHWY,CHEWY INC,47500,47500,867.35K,867.35K,NEW,0.43%
75971T301,SOL,EMEREN GROUP LTD,556327,280000,1.71M,862.4K,+101.3%,0.86%
921659108,VNDA,VANDA PHARMACEUTICALS INC,135000,135000,583.2K,583.2K,NEW,0.29%
32076V103,AG,FIRST MAJESTIC SILVER CORP,100000,100000,513K,513K,NEW,0.26%
50015M109,KOD,KODIAK SCIENCES INC,493726,278605,888.71K,501.49K,+129.5%,0.44%
90089L108,TSPH,TUSIMPLE HLDGS INC,1268972,316202,1.98M,493.28K,+33.2%,0.99%
29664W105,ESPR,ESPERION THERAPEUTICS INC NE,1171779,476477,1.15M,466.95K,+68.5%,0.57%
34984V209,FET,FORUM ENERGY TECHNOLOGIES IN,90145,19020,2.17M,456.86K,+26.7%,1.1%
65487U108,NKTX,NKARTA INC,235236,235236,326.98K,326.98K,NEW,0.16%
427746102,HRTX,HERON THERAPEUTICS INC,696908,291908,717.82K,300.67K,+72.1%,0.36%
294821608,ERIC,ERICSSON,150000,50000,729K,243K,+50%,0.36%
811246107,,SCULPTOR CAP MGMT,20000,20000,232K,232K,NEW,0.12%
931427108,WBA,WALGREENS BOOTS ALLIANCE INC,10000,10000,222.4K,222.4K,NEW,0.11%
011532108,AGI,ALAMOS GOLD INC NEW,315000,19164,3.56M,216.36K,+6.5%,1.8%
91822M502,VEON,VEON LTD,10000,10000,195K,195K,NEW,0.1%
N71542109,PRQR,PROQR THRAPEUTICS N V,377517,140000,490.77K,182K,+58.9%,0.25%
98985Y108,ZYME,ZYMEWORKS INC,416275,6755,2.64M,42.83K,+1.6%,1.3%
68622P109,ORIC,ORIC PHARMACEUTICALS INC,384793,6571,2.33M,39.75K,+1.7%,1.2%
36315X101,LKFT,GALAPAGOS NV,8458,313,292.22K,10.81K,+3.8%,0.15%
92189F106,GDX,VANECK ETF TRUST,750000,0,20.18M,0,NO CHANGE,10.1%
16934W106,CMRX,CHIMERIX INC,4377674,0,4.2M,0,NO CHANGE,2.1%
47215P106,JD,JD.COM INC,75426,0,2.2M,0,NO CHANGE,1.1%
85207K107,PSLV,SPROTT PHYSICAL SILVER TR,230000,0,1.74M,0,NO CHANGE,0.87%
N97284108,NBIS,YANDEX N V,105000,0,1.56M,0,NO CHANGE,0.78%
016230104,ALCO,ALICO INC,39845,0,994.53K,0,NO CHANGE,0.5%
22978P106,CUE,CUE BIOPHARMA INC,359739,-10668,827.4K,-24.54K,-2.9%,0.41%
68062P106,OLMA,OLEMA PHARMACEUTICALS INC,0,-11809,0,-106.63K,CLOSE,0%
589492107,MREO,MEREO BIOPHARMA GROUP PLC,595729,-110000,768.49K,-141.9K,-15.6%,0.38%
30744W107,FTCHQ,FARFETCH LTD,371656,-78344,776.76K,-163.74K,-17.4%,0.39%
410345102,HBI,HANESBRANDS INC,50000,-50000,198K,-198K,-50%,0.1%
92556V106,VTRS,VIATRIS INC,1550051,-24949,15.28M,-246K,-1.6%,7.7%
670002401,NVAX,NOVAVAX INC,30000,-34371,217.2K,-248.85K,-53.4%,0.11%
00773U108,,ADVERUM BIOTECHNOLOGIES INC,59234,-175766,88.85K,-263.65K,-74.8%,0.04%
00768Y453,MSOS,ADVISORSHARES TR,320447,-44553,2.54M,-353.75K,-12.2%,1.3%
284902509,EGO,ELDORADO GOLD CORP NEW,0,-50000,0,-505K,CLOSE,0%
62955J103,NOV,NOV INC,35000,-25000,731.5K,-522.5K,-41.7%,0.37%
G68707101,PAGS,PAGSEGURO DIGITAL LTD,0,-75000,0,-708K,CLOSE,0%
644535106,NGD,NEW GOLD INC CDA,862084,-926753,784.58K,-843.44K,-51.8%,0.39%
G85158106,STNE,STONECO LTD,632136,-82864,6.74M,-884.16K,-11.6%,3.4%
82575P107,SBSW,SIBANYE STILLWATER LTD,359358,-150000,2.22M,-925.5K,-29.4%,1.1%
008474108,AEM,AGNICO EAGLE MINES LTD,99224,-22496,4.51M,-1.02M,-18.5%,2.3%
056752108,BIDU,BAIDU INC,8000,-8500,1.07M,-1.14M,-51.5%,0.54%
98980L101,ZM,ZOOM VIDEO COMMUNICATIONS IN,158448,-16552,11.08M,-1.16M,-9.5%,5.5%
640268108,NKTR,NEKTAR THERAPEUTICS,4809601,-4451116,2.86M,-2.65M,-48.1%,1.4%
45780L104,INGN,INOGEN INC,0,-254611,0,-2.94M,CLOSE,0%
G9460G101,VAL,VALARIS LTD,10000,-40000,749.8K,-3M,-80%,0.38%
52603B107,TREE,LENDINGTREE INC NEW,0,-151890,0,-3.36M,CLOSE,0%
084310101,,PHENOMEX INC,186439,-3386794,186.09K,-3.38M,-94.8%,0.09%
422704106,HL,HECLA MNG CO,565000,-1235000,2.21M,-4.83M,-68.6%,1.1%
01609W102,BABA,ALIBABA GROUP HLDG LTD,58500,-62500,5.07M,-5.42M,-51.7%,2.5%
H42097107,UBS,UBS GROUP AG,123647,-238803,3.06M,-5.91M,-65.9%,1.5%
Total,,,,,199.74M,23.53M,+12.6%,100%
