CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
267475101,DY,DYCOM INDS INC,3244047,91093,288.72M,8.11M,+2.9%,16.8%
17243V102,CNK,CINEMARK HLDGS INC,300000,300000,5.5M,5.5M,NEW,0.32%
023135106,AMZN,AMAZON COM INC,37915,35000,4.82M,4.45M,+1200.7%,0.28%
87043Q108,SG,SWEETGREEN INC,300000,300000,3.52M,3.52M,NEW,0.21%
95082P105,WCC,WESCO INTL INC,2450348,205,352.41M,29.48K,+0%,20.5%
74762E102,PWR,QUANTA SCVS INC,5528365,0,1.03B,0,NO CHANGE,60.3%
550241103,LUMN,LUMEN TECHNOLOGIES INC,0,-200000,0,-452K,CLOSE,0%
74967X103,RH,RH,0,-3000,0,-988.77K,CLOSE,0%
G8060N102,ST,SENSATA TECHNOLOGIES HLDG PL,0,-40000,0,-1.8M,CLOSE,0%
82509L107,SHOP,SHOPIFY INC,0,-30000,0,-1.94M,CLOSE,0%
18915M107,NET,CLOUDFLARE INC,0,-30000,0,-1.96M,CLOSE,0%
922475108,VEEV,VEEVA SYS INC,0,-10000,0,-1.98M,CLOSE,0%
73278L105,POOL,POOL CORP,0,-6000,0,-2.25M,CLOSE,0%
826919102,SLAB,SILICON LABORATORIES INC,0,-15000,0,-2.37M,CLOSE,0%
90138F102,TWLO,TWILIO INC,0,-105000,0,-6.68M,CLOSE,0%
576323109,MTZ,MASTEC INC,301047,-348953,21.67M,-25.11M,-53.7%,1.3%
294600101,,EQUITRANS MIDSTREAM CORP,0,-4051061,0,-38.73M,CLOSE,0%
90353T100,UBER,UBER TECHNOLOGIES INC,110330,-1070107,5.07M,-49.21M,-90.7%,0.3%
Total,,,,,1.72B,-111.85M,-5.4%,100%
