CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
747525103,QCOM,QUALCOMM INC,2677723,2001847,297.39M,222.33M,+296.2%,55.3%
67066G104,NVDA,NVIDIA CORPORATION,132141,131212,57.48M,57.08M,+14124%,10.7%
595112103,MU,MICRON TECHNOLOGY INC,1507649,649516,102.57M,44.19M,+75.7%,19.1%
458140100,INTC,INTEL CORP,642288,642288,22.83M,22.83M,NEW,4.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,128549,128549,13.22M,13.22M,NEW,2.5%
464287242,LQD,ISHARES TR,66820,66820,6.82M,6.82M,NEW,1.3%
042068205,ARM,ARM HOLDINGS PLC,66667,66667,3.57M,3.57M,NEW,0.66%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,28409,28409,493.46K,493.46K,NEW,0.09%
090040106,BILI,BILIBILI INC,8920,8920,122.83K,122.83K,NEW,0.02%
92206C409,VCSH,VANGUARD SCOTTSDALE FDS,239516,0,18M,0,NO CHANGE,3.3%
722304AC6,PDD,PDD HOLDINGS INC,6000000,0,5.92M,0,NO CHANGE,1.1%
464287440,IEF,ISHARES TR,63650,0,5.83M,0,NO CHANGE,1.1%
92189H300,EMLC,VANECK ETF TRUST,89300,0,2.13M,0,NO CHANGE,0.4%
921937827,BSV,VANGUARD BD INDEX FDS,13000,0,977.21K,0,NO CHANGE,0.18%
46267XAE8,IQ,IQIYI INC,200000,0,192.1K,0,NO CHANGE,0.04%
861012102,STM,STMICROELECTRONICS N V,762,0,32.89K,0,NO CHANGE,<.01%
67421J108,,OATLY GROUP AB,0,-2969,0,-6.09K,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-1354,0,-112.86K,CLOSE,0%
66981J102,MNSO,MINISO GROUP HLDG LTD,0,-56792,0,-964.9K,CLOSE,0%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,0,-26787,0,-1.06M,CLOSE,0%
44332N106,HTHT,H WORLD GROUP LTD,0,-60779,0,-2.36M,CLOSE,0%
874080104,TAL,TAL EDUCATION GROUP,0,-603185,0,-3.59M,CLOSE,0%
81141RAG5,SE,SEA LTD,0,-5000000,0,-4.02M,CLOSE,0%
090040AF3,BILI,BILIBILI INC,0,-7000000,0,-6.13M,CLOSE,0%
Total,,,,,537.57M,352.4M,+188.6%,100%
