CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
38150K103,AAAU,Goldman Sachs Physical Gold (a,367656,335445,7.51M,6.85M,+1041.4%,3.3%
80105N105,SNY,Sanofi-Aventis (sny),81945,51198,4.08M,2.55M,+166.5%,1.8%
46428Q109,SLV,Ishares Silver Trust(slv),195620,80633,4.26M,1.76M,+70.1%,1.9%
60687Y109,MFG,"Mizuho Financial Group, Inc. (",458061,458061,1.58M,1.58M,NEW,0.7%
86562M209,SMFG,Sumitomo Mit Adr Rep 1/5Th Of,161260,161260,1.56M,1.56M,NEW,0.69%
606822104,MUFG,Mitsubishi UFJ ADR (mufg),236727,178998,2.04M,1.54M,+310.1%,0.9%
037833100,AAPL,Apple Inc (aapl),137306,3982,26.44M,766.65K,+3%,11.7%
874039100,TSM,Taiwan Semiconductor (tsm),123907,6094,12.89M,633.78K,+5.2%,5.7%
594918104,MSFT,Microsoft Corp (msft),63733,1269,23.97M,477.19K,+2%,10.6%
45104G104,IBN,Icici Bank (ibn),374374,19526,8.93M,465.5K,+5.5%,4%
89151E109,TTE,TotalEnergies SE ADR (tte),92194,5347,6.21M,360.28K,+6.2%,2.8%
37940X102,GPN,Global Pymts (gpn),50580,2385,6.42M,302.89K,+4.9%,2.8%
G6095L109,,Aptiv (aptv),53620,2747,4.81M,246.46K,+5.4%,2.1%
278865100,ECL,Ecolab Inc (ecl),18722,1086,3.71M,215.41K,+6.2%,1.6%
824596100,SHG,Shinhan Finl Grp Ltd Sp Adr (s,6963,6963,214.32K,214.32K,NEW,0.09%
97717W406,AIVL,WisdomTree US AI Enhanced Valu,2199,2199,210.9K,210.9K,NEW,0.09%
30303M102,META,"Meta Platforms, Inc (meta)",577,577,204.24K,204.24K,NEW,0.09%
55336V100,MPLX,Mplx Lp,5450,5450,200.12K,200.12K,NEW,0.09%
75886F107,REGN,Regeneron Pharmaceuticals (reg,4546,214,3.99M,187.95K,+4.9%,1.8%
654106103,NKE,Nike Inc -Cl B (nke),38182,1622,4.15M,176.1K,+4.4%,1.8%
375558103,GILD,Gilead Sciences Inc (gild),53200,2110,4.31M,170.93K,+4.1%,1.9%
780259305,SHEL,Shell PLC (shel),105333,1878,6.93M,123.57K,+1.8%,3.1%
256135203,RDY,Dr Reddys Labs (rdy),50619,1730,3.52M,120.37K,+3.5%,1.6%
14316J108,CG,The Carlyle Group Inc (cg),61747,2931,2.51M,119.26K,+5%,1.1%
126408103,CSX,Csx Corp (csx),72117,3382,2.5M,117.25K,+4.9%,1.1%
25179M103,DVN,Devon Energy (dvn),7062,1909,319.91K,86.48K,+37%,0.14%
715684106,TLK,Telekomunik Indonesia (tlk),59964,2804,1.54M,72.23K,+4.9%,0.68%
075887109,BDX,Becton Dickinson (bdx),6015,286,1.47M,69.74K,+5%,0.65%
031162100,AMGN,Amgen Inc (amgn),5924,226,1.71M,65.09K,+4%,0.76%
548661107,LOW,Lowes Cos (low),4044,103,899.99K,22.92K,+2.6%,0.4%
464287663,IUSV,iShares Core S&P US Value (ius,3343,220,281.92K,18.55K,+7%,0.12%
09260D107,BX,Blackstone Inc (bx),5604,108,733.68K,14.14K,+2%,0.32%
03027X100,AMT,American Tower Corp (amt),7092,56,1.53M,12.09K,+0.8%,0.68%
023135106,AMZN,Amazon.Com Inc (amzn),4454,57,676.74K,8.66K,+1.3%,0.3%
464287168,DVY,Ishares Select Div (dvy),2193,51,257.04K,5.98K,+2.4%,0.11%
02079K305,GOOGL,Alphabet Inc-Cl A (googl),2404,29,335.81K,4.05K,+1.2%,0.15%
723787107,,Pioneer Natural Res (pxd),1154,12,259.51K,2.7K,+1.1%,0.11%
02079K107,GOOG,Alphabet Inc-Cl C (goog),5360,16,755.38K,2.25K,+0.3%,0.33%
57636Q104,MA,Mastercard Inc - A (ma),1746,3,744.69K,1.28K,+0.2%,0.33%
26614N102,DD,DuPont DeNemour (dd),5324,11,409.57K,846.23,+0.2%,0.18%
949746101,WFC,Wells Fargo (wfc),5073,5,249.69K,246.1,+0.1%,0.11%
78462F103,SPY,Spdr S&P 500 ETF Tr (spy),4822,0,2.29M,0,NO CHANGE,1%
539830109,LMT,Lockheed Martin (lmt),3060,0,1.39M,0,NO CHANGE,0.61%
351858105,FNV,Franco Nevada Corp (fnv),8800,0,975.13K,0,NO CHANGE,0.43%
464288778,IAT,iShares U.S. Regional Banks ET,20000,0,836.8K,0,NO CHANGE,0.37%
12637A103,,CSI Compressco LP (cclp),400000,0,652K,0,NO CHANGE,0.29%
131193104,CALY,TopGolf Callaway (modg),20843,0,298.89K,0,NO CHANGE,0.13%
46432F396,MTUM,Ishares Edge MSCI USA Moment (,1885,0,295.74K,0,NO CHANGE,0.13%
898402102,TRMK,Trustmark Corp (trmk),9644,0,268.88K,0,NO CHANGE,0.12%
127097103,CTRA,Coterra Energy Inc (ctra),11212,-7,286.13K,-178.64,-0.1%,0.13%
35137L204,FOX,Fox Corporation,15000,-7,414.75K,-193.55,-0%,0.18%
02209S103,MO,Altria Group Inc (mo),6143,-11,247.81K,-443.74,-0.2%,0.11%
67066G104,NVDA,Nvidia Corp (nvda),955,-1,472.94K,-495.22,-0.1%,0.21%
595112103,MU,Micron Technology Inc (mu),8967,-34,765.24K,-2.9K,-0.4%,0.34%
71654V101,PBRA,Petroleo Brasil-Sp Pref ADR (p,10263,-206,156.82K,-3.15K,-2%,0.07%
97651M109,WIT,Wipro Ltd-ADR (wit),33003,-650,183.83K,-3.62K,-1.9%,0.08%
