CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81141R100,SE,SEA LTD,700001,500001,28.35M,20.25M,+250%,6.2%
199908104,FIX,COMFORT SYS USA INC,85819,85819,17.65M,17.65M,NEW,3.9%
369604301,GE,GENERAL ELECTRIC CO,100000,100000,12.76M,12.76M,NEW,2.8%
922417100,VECO,VEECO INSTRS INC DEL,369836,369836,11.48M,11.48M,NEW,2.5%
92826C839,V,VISA INC,30000,30000,7.81M,7.81M,NEW,1.7%
01609W102,BABA,ALIBABA GROUP HLDG LTD,80000,80000,6.2M,6.2M,NEW,1.4%
31620R303,FNF,FIDELITY NATIONAL FINANCIAL,100000,100000,5.1M,5.1M,NEW,1.1%
52603B107,TREE,LENDINGTREE INC NEW,162592,162592,4.93M,4.93M,NEW,1.1%
127190304,CACI,CACI INTL INC,94348,8239,30.56M,2.67M,+9.6%,6.7%
70450Y103,PYPL,PAYPAL HLDGS INC,430255,29276,26.42M,1.8M,+7.3%,5.8%
92511U102,VRRM,VERRA MOBILITY CORP,850000,40556,19.58M,934K,+5%,4.3%
30212P303,EXPE,EXPEDIA GROUP INC,106576,4694,16.18M,712.5K,+4.6%,3.5%
007903107,AMD,ADVANCED MICRO DEVICES INC,100000,0,14.74M,0,NO CHANGE,3.2%
577081102,MAT,MATTEL INC,581909,-36491,10.99M,-688.95K,-5.9%,2.4%
353469109,FC,FRANKLIN COVEY CO,143562,-21004,6.25M,-914.3K,-12.8%,1.4%
30303M102,META,META PLATFORMS INC,100000,-2834,35.4M,-1M,-2.8%,7.8%
65249B109,NWSA,NEWS CORP NEW,920642,-44746,22.6M,-1.1M,-4.6%,4.9%
92552R406,PRSU,VIAD CORP,822464,-62216,29.77M,-2.25M,-7%,6.5%
606710200,MITK,MITEK SYS INC,3460413,-192747,45.12M,-2.51M,-5.3%,9.9%
71375U101,PRFT,PERFICIENT INC,250625,-46403,16.5M,-3.05M,-15.6%,3.6%
87615L107,TH,TARGET HOSPITALITY CORP,0,-270000,0,-4.29M,CLOSE,0%
00091G104,ACVA,ACV AUCTIONS INC,95000,-285000,1.44M,-4.32M,-75%,0.32%
G5784H106,MANU,MANCHESTER UTD PLC NEW,0,-330696,0,-6.54M,CLOSE,0%
778296103,ROST,ROSS STORES INC,0,-70000,0,-7.91M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,192706,-56124,27.16M,-7.91M,-22.6%,5.9%
N14506104,ESTC,ELASTIC N V,0,-100000,0,-8.12M,CLOSE,0%
136385101,CNQ,CANADIAN NAT RES LTD,211950,-148033,13.89M,-9.7M,-41.1%,3%
023135106,AMZN,AMAZON COM INC,97700,-86685,14.84M,-13.17M,-47%,3.3%
04271T100,ARRY,ARRAY TECHNOLOGIES INC,0,-631252,0,-14.01M,CLOSE,0%
29260Y109,EDR,ENDEAVOR GROUP HLDGS INC,0,-861528,0,-17.14M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,645000,-361342,30.98M,-17.36M,-35.9%,6.8%
Total,,,,,456.69M,-29.7M,-7%,100%
