CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,33053,33053,31.33M,31.33M,NEW,24%
369604301,GE,GENERAL ELECTRIC CO,65167,65167,10.38M,10.38M,NEW,7.9%
023135106,AMZN,AMAZON COM INC,50350,50350,9.24M,9.24M,NEW,7.1%
30303M102,META,META PLATFORMS INC,19383,19383,9.09M,9.09M,NEW,6.9%
038222105,AMAT,APPLIED MATLS INC,39016,39016,8.58M,8.58M,NEW,6.6%
697435105,PANW,PALO ALTO NETWORKS INC,26128,26128,8.46M,8.46M,NEW,6.5%
594918104,MSFT,MICROSOFT CORP,17323,17323,7.37M,7.37M,NEW,5.6%
007903107,AMD,ADVANCED MICRO DEVICES INC,43370,43370,7.21M,7.21M,NEW,5.5%
86800U104,SUPER,SUPER MICRO COMPUTER INC,6512,6512,5.89M,5.89M,NEW,4.5%
871607107,SNPS,SYNOPSYS INC,7620,7620,4.38M,4.38M,NEW,3.3%
670100205,NVO,NOVO-NORDISK A S,26301,26301,3.5M,3.5M,NEW,2.7%
609839105,MPWR,MONOLITHIC PWR SYS INC,3996,3996,3.02M,3.02M,NEW,2.3%
74762E102,PWR,QUANTA SVCS INC,9773,9773,2.62M,2.62M,NEW,2%
836100107,SOUN,SOUNDHOUND AI INC,420845,420845,2.31M,2.31M,NEW,1.8%
02079K305,GOOGL,ALPHABET INC,12397,12397,2.19M,2.19M,NEW,1.7%
037833100,AAPL,APPLE INC,10590,10590,2.02M,2.02M,NEW,1.5%
00724F101,ADBE,ADOBE INC,3815,3815,1.85M,1.85M,NEW,1.4%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,5137,5137,1.79M,1.79M,NEW,1.4%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,2348,2348,1.39M,1.39M,NEW,1.1%
512807108,LRCX.MX,LAM RESEARCH CORP,1361,1361,1.28M,1.28M,NEW,0.98%
18915M107,NET,CLOUDFLARE INC,15409,15409,1.17M,1.17M,NEW,0.89%
57636Q104,MA,MASTERCARD INCORPORATED,2273,2273,1.04M,1.04M,NEW,0.8%
573874104,MRVL,MARVELL TECHNOLOGY INC,12489,12489,930.06K,930.06K,NEW,0.71%
92826C839,V,VISA INC,2237,2237,623.09K,623.09K,NEW,0.48%
91324P102,UNH,UNITEDHEALTH GROUP INC,1002,1002,518.26K,518.26K,NEW,0.4%
87265H109,TPH,TRI POINTE HOMES INC,11600,11600,460.98K,460.98K,NEW,0.35%
36828A101,GEV,GE VERNOVA LLC,2790,2790,449.05K,449.05K,NEW,0.34%
64110W102,NTES,NETEASE INC,2900,2900,303.72K,303.72K,NEW,0.23%
22160K105,COST,COSTCO WHSL CORP NEW,376,376,298.17K,298.17K,NEW,0.23%
03073E105,COR,CENCORA INC,1314,1314,290.39K,290.39K,NEW,0.22%
90353T100,UBER,UBER TECHNOLOGIES INC,3855,3855,249.23K,249.23K,NEW,0.19%
893529107,TRNS,TRANSCAT INC,1836,1836,227.88K,227.88K,NEW,0.17%
69331C108,PCG,PG&E CORP,12216,12216,227.83K,227.83K,NEW,0.17%
83406F102,SOFI,SOFI TECHNOLOGIES INC,13900,13900,99.94K,99.94K,NEW,0.08%
Total,,,,,130.78M,130.78M,+100%,100%
