CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78462F103,SPY,SPDR S&P 500 ETF TR,1322,1322,628.14K,628.14K,NEW,3.4%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,1035,1035,369.29K,369.29K,NEW,2%
00370M103,ABVX,ABIVAX SA,16743,16743,179.15K,179.15K,NEW,0.97%
52886X107,LXEO,LEXEO THERAPEUTICS INC,10319,10319,138.48K,138.48K,NEW,0.75%
41358P205,,HARPOON THERAPEUTICS INC,13176,13176,129.29K,129.29K,NEW,0.7%
98422E103,XERS,XERIS BIOPHARMA HOLDINGS INC,5641920,0,13.26M,0,NO CHANGE,71.6%
76200L309,RZLT,REZOLUTE INC,1318967,0,1.31M,0,NO CHANGE,7.1%
608550208,MTEMQ,MOLECULAR TEMPLATES INC,136866,0,510.51K,0,NO CHANGE,2.8%
28623U101,ELEV,ELEVATION ONCOLOGY INC,0,-21813,0,-14.45K,CLOSE,0%
01671P100,ALLK,ALLAKOS INC,24710,-24619,67.46K,-67.21K,-49.9%,0.36%
20454B104,CMPX,COMPASS THERAPEUTICS INC,43465,-43308,67.81K,-67.56K,-49.9%,0.37%
00461U105,ACRS,ACLARIS THERAPEUTICS INC,0,-19473,0,-133.39K,CLOSE,0%
03770N101,APGE,APOGEE THERAPEUTICS INC,7353,-5119,205.44K,-143.02K,-41%,1.1%
805111101,SVRA,SAVARA INC,353441,-2960161,1.66M,-13.91M,-89.3%,9%
Total,,,,,18.52M,-12.89M,-49%,100%
