CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,451600,451600,46.97M,46.97M,NEW,6.7%
19260Q107,COIN,COINBASE GLOBAL INC,243000,243000,42.26M,42.26M,NEW,6%
458140100,INTC,INTEL CORP,613000,613000,30.8M,30.8M,NEW,4.4%
20717M103,CFLT,CONFLUENT INC,1274927,1274927,29.83M,29.83M,NEW,4.3%
00724F101,ADBE,ADOBE INC,64275,41275,38.35M,24.62M,+179.5%,5.5%
88160R101,TSLA,TESLA INC,402943,66739,100.12M,16.58M,+19.9%,14.3%
91332U101,U,UNITY SOFTWARE INC,743891,379891,30.42M,15.53M,+104.4%,4.3%
37637K108,GTLB,GITLAB INC,388700,202200,24.47M,12.73M,+108.4%,3.5%
81762P102,NOW,SERVICENOW INC,15550,14550,10.99M,10.28M,+1455%,1.6%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,40000,40000,10.21M,10.21M,NEW,1.5%
79466L302,CRM,SALESFORCE INC,38000,38000,10M,10M,NEW,1.4%
697435105,PANW,PALO ALTO NETWORKS INC,33500,33500,9.88M,9.88M,NEW,1.4%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,637200,504610,12.31M,9.75M,+380.6%,1.8%
60937P106,MDB,MONGODB INC,25400,20300,10.38M,8.3M,+398%,1.5%
98980G102,ZS,ZSCALER INC,30000,30000,6.65M,6.65M,NEW,0.95%
55024U109,LITE,LUMENTUM HLDGS INC,105000,105000,5.5M,5.5M,NEW,0.79%
23804L103,DDOG,DATADOG INC,52200,42300,6.34M,5.13M,+427.3%,0.9%
418100103,HCP,HASHICORP INC,109005,109005,2.58M,2.58M,NEW,0.37%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,121600,121600,1.2M,1.2M,NEW,0.17%
880770102,TER,TERADYNE INC,9600,9600,1.04M,1.04M,NEW,0.15%
N07059210,ASML,ASML HOLDING N V,1350,1350,1.02M,1.02M,NEW,0.15%
G39387108,GFS,GLOBALFOUNDRIES INC,16100,16100,975.66K,975.66K,NEW,0.14%
565788106,MARA,MARATHON DIGITAL HOLDINGS IN,24300,24300,570.81K,570.81K,NEW,0.08%
134748102,CAN,CANAAN INC,193000,193000,445.83K,445.83K,NEW,0.06%
N14506104,ESTC,ELASTIC N V,10317,0,1.16M,0,NO CHANGE,0.17%
30303M102,META,META PLATFORMS INC,48848,-452,17.29M,-159.99K,-0.9%,2.5%
63942X106,NVTS,NAVITAS SEMICONDUCTOR CORP,0,-62500,0,-434.38K,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-16600,0,-898.56K,CLOSE,0%
G3323L100,FN,FABRINET,0,-8500,0,-1.42M,CLOSE,0%
15101Q108,,CELESTICA INC,0,-58000,0,-1.42M,CLOSE,0%
M20791105,CAMT,CAMTEK LTD,0,-24500,0,-1.53M,CLOSE,0%
19247G107,COHR,COHERENT CORP,0,-48000,0,-1.57M,CLOSE,0%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,0,-133000,0,-2.03M,CLOSE,0%
443573100,HUBS,HUBSPOT INC,0,-4510,0,-2.22M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-2835,0,-2.35M,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,0,-438000,0,-7.01M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,94700,-58514,18.85M,-11.64M,-38.2%,2.7%
023135106,AMZN,AMAZON COM INC,80384,-79116,12.21M,-12.02M,-49.6%,1.7%
037833100,AAPL,APPLE INC,0,-105925,0,-18.14M,CLOSE,0%
86800U104,SUPER,SUPER MICRO COMPUTER INC,0,-92000,0,-25.23M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,65400,-85450,32.39M,-42.32M,-56.6%,4.6%
98980L101,ZM,ZOOM VIDEO COMMUNICATIONS IN,504900,-682461,36.31M,-49.08M,-57.5%,5.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,844090,-354810,124.43M,-52.3M,-29.6%,17.8%
68389X105,ORCL,ORACLE CORP,6800,-540700,716.92K,-57.01M,-98.8%,0.1%
02079K305,GOOGL,ALPHABET INC,86000,-599400,12.01M,-83.73M,-87.5%,1.7%
594918104,MSFT,MICROSOFT CORP,30810,-248650,11.59M,-93.5M,-89%,1.7%
Total,,,,,700.27M,-163.12M,-21.7%,100%
