CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
74736L109,QTWO,Q2 HOLDINGS INC,391834,391834,17.01M,17.01M,NEW,0.73%
45258J102,IMVT,IMMUNOVANT INC,306265,306265,12.9M,12.9M,NEW,0.55%
45780R101,IBP,INSTALLED BUILDING PRODUCTS,67645,67645,12.37M,12.37M,NEW,0.53%
15118V207,CELH,CELSIUS HOLDINGS INC,326714,215280,17.81M,11.74M,+193.2%,0.76%
05990K106,BANC,BANC OF CALIFORNIA INC,817901,817901,10.98M,10.98M,NEW,0.47%
683344105,ONTO,ONTO INNOVATION INC,153599,71329,23.49M,10.91M,+86.7%,1%
558868105,MDGL,MADRIGAL PHARMACEUTICALS INC,47722,46844,11.04M,10.84M,+5335.3%,0.47%
24344T101,DCPH,DECIPHERA PHARMACEUTICALS INC,671255,671255,10.83M,10.83M,NEW,0.46%
05465C100,AX,AXOS FINANCIAL INC,356525,180129,19.47M,9.84M,+102.1%,0.83%
501242101,KLIC,KULICKE AND SOFFA INDUSTRIES,148591,148591,8.13M,8.13M,NEW,0.35%
80874P109,LNWO,LIGHT & WONDER INC,94292,94292,7.74M,7.74M,NEW,0.33%
681116109,OLLI,OLLIES BARGAIN OUTLET HOLDINGS,161822,98709,12.28M,7.49M,+156.4%,0.53%
02081G201,ATEC,ALPHATEC HOLDINGS INC,485772,485772,7.34M,7.34M,NEW,0.31%
453204109,PI,IMPINJ INC,120689,72594,10.87M,6.54M,+150.9%,0.47%
693282105,PDFS,PDF SOLUTIONS INC,754856,193936,24.26M,6.23M,+34.6%,1%
87157D109,SYNA,SYNAPTICS INC,53250,53250,6.07M,6.07M,NEW,0.26%
89377M109,TMDX,TRANSMEDICS GROUP INC,516353,73807,40.76M,5.83M,+16.7%,1.7%
74766Q101,QTRX,QUANTERIX CORP,574454,188958,15.71M,5.17M,+49%,0.67%
80517M109,SVV,SAVERS VALUE VILLAGE INC,1166476,295799,20.27M,5.14M,+34%,0.87%
31846B108,FA,FIRST ADVANTAGE CORP,1183116,247776,19.6M,4.11M,+26.5%,0.84%
88642R109,TDW,TIDEWATER INC,182426,50857,13.15M,3.67M,+38.7%,0.56%
750491102,RDNT,RADNET INC,548631,105093,19.08M,3.65M,+23.7%,0.82%
358039105,FRPT,FRESHPET INC,562468,41707,48.8M,3.62M,+8%,2.1%
433537107,,HIRERIGHT GIS GROUP HOLDINGS,251401,251401,3.38M,3.38M,NEW,0.14%
346375108,FORM,FORMFACTOR INC,561893,79982,23.44M,3.34M,+16.6%,1%
00973Y108,AKRO,AKERO THERAPEUTCS INC,139690,139690,3.26M,3.26M,NEW,0.14%
86800U104,SUPER,SUPER MICRO COMPUTER INC,153999,10519,43.78M,2.99M,+7.3%,1.9%
733174700,BPOP,POPULAR INC,102033,34030,8.37M,2.79M,+50%,0.36%
74982T103,RXO,RXO INC,436311,116594,10.15M,2.71M,+36.5%,0.43%
68752M108,OFIX,ORTHOFIX MEDICAL INC,757186,195704,10.21M,2.64M,+34.9%,0.44%
88025T102,TENB,TENABLE HOLDING,846202,51004,38.98M,2.35M,+6.4%,1.7%
88146M101,TRNO,TERRENO REALTY CORP,215050,32767,13.48M,2.05M,+18%,0.58%
23257D103,,CYMABAY THERAPEUTICS INC,1068661,84886,25.24M,2.01M,+8.6%,1.1%
74276R102,PRVA,PRIVIA HEALTH GROUP INC,983506,74648,22.65M,1.72M,+8.2%,0.97%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDINGS,1190011,86727,23.17M,1.69M,+7.9%,0.99%
73642K106,PTLO,PORTILLOS INC,935007,93610,14.89M,1.49M,+11.1%,0.64%
413160102,HLIT,HARMONIC INC,1131862,114175,14.76M,1.49M,+11.2%,0.63%
63845R107,EYE,NATIONAL VISION HOLDINGS,875630,57426,18.33M,1.2M,+7%,0.78%
04035M102,ARHS,ARHAUS INC,1377134,99130,16.32M,1.17M,+7.8%,0.7%
644393100,NFE,NEW FORTRESS ENERGY INC,36220,20942,1.37M,790.14K,+137.1%,0.06%
830940102,SKWD,SKYWARD SPECIALTY INSURANCE,789573,23055,26.75M,781.1K,+3%,1.1%
031162100,AMGN,AMGEN INC,2702,2702,778.23K,778.23K,NEW,0.03%
466367109,JACK,JACK IN THE BOX INC,251618,6806,20.54M,555.57K,+2.8%,0.88%
532457108,LLY,ELI LILLY & CO,797,797,464.59K,464.59K,NEW,0.02%
443573100,HUBS,HUBSPOT INC,785,785,455.72K,455.72K,NEW,0.02%
64110L106,NFLX,NETFLIX INC,873,873,425.05K,425.05K,NEW,0.02%
P73684113,OSW,ONESPAWORLD HOLDINGS LIMITED,29989,29989,422.85K,422.85K,NEW,0.02%
49714P108,KNSL,KINSALE CAPITAL GROUP INC,1237,1158,414.28K,387.83K,+1465.8%,0.02%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,19183,19183,329.37K,329.37K,NEW,0.01%
761152107,RMD,RESMED INC,5015,1864,862.68K,320.65K,+59.2%,0.04%
00130H105,AES,THE AES CORPORATION,14972,14972,288.21K,288.21K,NEW,0.01%
03769M106,APO,APOLLO GLOBAL MANAGEMENT LLC,2831,2831,263.82K,263.82K,NEW,0.01%
60770K107,MRNA,MODERNA INC,5136,2615,510.77K,260.06K,+103.7%,0.02%
00724F101,ADBE,ADOBE INC,1273,431,759.47K,257.13K,+51.2%,0.03%
03753U106,APLS,APELLIS PHARMACEUTICALS INC,4236,4236,253.57K,253.57K,NEW,0.01%
92345Y106,VRSK,VERISK ANALYTICS INC,1038,1038,247.94K,247.94K,NEW,0.01%
60937P106,MDB,MONGODB INC,4769,593,1.95M,242.45K,+14.2%,0.08%
122017106,BURL,BURLINGTON STORES INC,1179,1179,229.29K,229.29K,NEW,<.01%
592688105,MTD,METTLER-TOLEDO INTERNATIONAL INC,609,180,738.69K,218.33K,+42%,0.03%
04041L106,WES,ARIS WATER SOLUTION INC,25889,25889,217.21K,217.21K,NEW,<.01%
452327109,ILMN,ILLUMINA INC,3659,1542,509.48K,214.71K,+72.8%,0.02%
51819L107,SWIM,LATHAM GROUP INC,69978,69978,184.04K,184.04K,NEW,<.01%
09061G101,BMRN,BIOMARIN PHARMACEUTICAL INC,14450,1908,1.39M,183.97K,+15.2%,0.06%
33829M101,FIVE,FIVE BELOW,944,796,201.22K,169.68K,+537.8%,<.01%
217204106,CPRT,COPART INC,8959,2935,438.99K,143.81K,+48.7%,0.02%
957638109,WAL,WESTERN ALLIANCE BANCORP,23455,2134,1.54M,140.4K,+10%,0.07%
834203309,SLNO,SOLENO THERAPEUTICS INC,252153,3479,10.15M,140.03K,+1.4%,0.43%
G4705A100,ICLR,ICON PLC,2256,480,638.61K,135.87K,+27%,0.03%
302520101,FNB,F N B CORP PA,7699,7699,106.02K,106.02K,NEW,<.01%
071705107,BLCO,BAUSCH LOMB CORP,17082,5662,291.42K,96.59K,+49.6%,0.01%
553368101,MP,MP MATERIALS CORP,84641,4845,1.68M,96.17K,+6.1%,0.07%
30303M102,META,META PLATFORMS INC,6722,265,2.38M,93.8K,+4.1%,0.1%
808513105,SCHW,CHARLES SCHWAB CORP,11299,1358,777.37K,93.43K,+13.7%,0.03%
002824100,ABT,ABBOTT LABS,7837,239,862.62K,26.31K,+3.1%,0.04%
237266101,DAR,DARLING INGREDIENTS INC,27835,462,1.39M,23.03K,+1.7%,0.06%
57667L107,MTCH,MATCH GROUP INC,33168,502,1.21M,18.32K,+1.5%,0.05%
02361E108,AMRC,AMERESCO INC,369732,301,11.71M,9.53K,+0.1%,0.5%
G63365103,MURA,MURAL ONCOLOGY PLC,98,98,580,580,NEW,<.01%
126128107,CCNE,CNB FINL CORP PA,165569,0,3.74M,0,NO CHANGE,0.16%
589378108,MRCY,MERCURY SYSTEMS INC,5223,0,191K,0,NO CHANGE,<.01%
67576A100,OCUL,OCULAR THERAPEUTIX INC,20768,0,92.62K,0,NO CHANGE,<.01%
293712105,EFSC,ENTERPRISE FINL SVCS CORP,1783,0,79.61K,0,NO CHANGE,<.01%
319829107,FCF,FIRST COMMONWEALTH FINANCIAL CORPORATION,4044,0,62.44K,0,NO CHANGE,<.01%
79466L302,CRM,SALESFORCE.COM INC,200,0,52.63K,0,NO CHANGE,<.01%
172922106,CZNC,CITIZENS & NORTHERN CORP,2300,0,51.59K,0,NO CHANGE,<.01%
78410G104,SBAC,SBA COMMUNICATIONS CORP CL A,155,0,39.39K,0,NO CHANGE,<.01%
03027X100,AMT,AMERICAN TOWER CORP,175,0,37.78K,0,NO CHANGE,<.01%
72346Q104,PNFP,PINNACLE FINL PARTNERS INC,407,0,35.5K,0,NO CHANGE,<.01%
G01767105,ALKS,ALKERMES PLC,980,0,27.18K,0,NO CHANGE,<.01%
03662Q105,ANSS,ANSYS INC,64,0,23.22K,0,NO CHANGE,<.01%
77543R102,ROKU,ROKU INC,250,0,22.91K,0,NO CHANGE,<.01%
29275Y102,ENS,ENERSYS,202,0,20.39K,0,NO CHANGE,<.01%
59540G107,MPB,MID PENN BANCORP INC,190,0,4.61K,0,NO CHANGE,<.01%
38246G108,GDRX,GOODRX HOLDINGS INC,310,0,2.08K,0,NO CHANGE,<.01%
L6388F110,TIGO,MILLICOM INTL CELLULAR S A SHS NEW,22,0,396,0,NO CHANGE,<.01%
82669G104,SBNY,SIGNATURE BK NEW YORK N Y,181,0,290,0,NO CHANGE,<.01%
78377T107,RHP,RYMAN HOSPITALITY PROPERTIES,139045,-6,15.3M,-660.36,-0%,0.65%
G8473T100,STE,STERIS PUBLIC LIMITED COMPANY,779,-4,171.26K,-879.4,-0.5%,<.01%
29414B104,EPAM,EPAM SYSTEMS INC,437,-3,129.94K,-892.02,-0.7%,<.01%
773903109,ROK,ROCKWELL AUTOMATION INC,935,-3,290.24K,-931.24,-0.3%,0.01%
73278L105,POOL,POOL CORP,774,-4,308.6K,-1.59K,-0.5%,0.01%
016255101,ALGN,ALIGN TECHNOLOGY INC,1277,-8,349.9K,-2.19K,-0.6%,0.01%
609839105,MPWR,MONOLITHICPOWER SYSTEMS INC,716,-4,451.64K,-2.52K,-0.6%,0.02%
78409V104,SPGI,S&P GLOBAL INC,1023,-6,450.65K,-2.64K,-0.6%,0.02%
55354G100,MSCI,MSCI INC,1082,-6,612.03K,-3.39K,-0.6%,0.03%
252131107,DXCM,DEXCOM INC,2107,-28,261.46K,-3.47K,-1.3%,0.01%
87612G101,TRGP,TARGA RESOURCES CORP,2612,-44,226.9K,-3.82K,-1.7%,<.01%
518415104,LSCC,LATTICE SEMICONDUCTOR CORPORATION,3194,-56,220.35K,-3.86K,-1.7%,<.01%
29786A106,ETSY,ETSY INC,3012,-53,244.12K,-4.3K,-1.7%,0.01%
74144T108,TROW,T ROWE PRICE GROUP INC,3009,-52,324.04K,-5.6K,-1.7%,0.01%
91332U101,U,UNTIY SOFTWARE INC,7814,-138,319.51K,-5.64K,-1.7%,0.01%
880770102,TER,TERADYNE INC,3003,-52,325.89K,-5.64K,-1.7%,0.01%
25278X109,FANG,DIAMONDBACK ENERGY INC,2390,-41,370.64K,-6.36K,-1.7%,0.02%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S.A.,2331,-40,438.02K,-7.52K,-1.7%,0.02%
247361702,DAL,DELTA AIR LINES INC,10451,-194,420.44K,-7.8K,-1.8%,0.02%
G87110105,FTI,TECHNIPFMC PLC,21191,-396,426.79K,-7.98K,-1.8%,0.02%
29415F104,NVST,ENVISTA HOLDINGS CORP,20143,-372,484.64K,-8.95K,-1.8%,0.02%
88339J105,TTD,THE TRADE DESK,6990,-126,503K,-9.07K,-1.8%,0.02%
30212P303,EXPE,EXPEDIA GROUP INC,3594,-64,545.53K,-9.71K,-1.7%,0.02%
032095101,APH,AMPHENOL CORP NEW CL A,6197,-112,614.31K,-11.1K,-1.8%,0.03%
922475108,VEEV,VEEVA SYSTEMS INC,3682,-63,708.86K,-12.13K,-1.7%,0.03%
49338L103,KEYS,KEYSIGHT TECHNO,4298,-78,683.77K,-12.41K,-1.8%,0.03%
881624209,TEVA,TEVA PHARMACEUTICAL INDUSTRIES LIMITED,66214,-1238,691.27K,-12.92K,-1.8%,0.03%
50212V100,LPLA,LPL FINANCIAL HOLDINGS INC,3282,-57,747.05K,-12.97K,-1.7%,0.03%
502431109,LHX,L3 HARRIS TECHNOLOGIES INC,3792,-66,798.67K,-13.9K,-1.7%,0.03%
89531P105,TREX,TREX INC,10087,-175,835.1K,-14.49K,-1.7%,0.04%
16115Q308,GTLS,CHART INDS INC,252030,-144,34.36M,-19.63K,-0.1%,1.5%
22160N109,CSGP,COSTAR GROUP INC,12986,-240,1.13M,-20.97K,-1.8%,0.05%
695263103,,PACWEST BANCORP DEL,0,-3026,0,-23.94K,CLOSE,0%
437076102,HD,HOME DEPOT INC,905,-100,313.63K,-34.66K,-10%,0.01%
98955K104,ZVIA,ZEVIA PBC,1208028,-20363,2.43M,-40.93K,-1.7%,0.1%
26884L109,EQT,EQT CORP,20484,-1123,791.91K,-43.42K,-5.2%,0.03%
169656105,CMG,CHIPOTLE MEXICAN GRILL,702,-20,1.61M,-45.74K,-2.8%,0.07%
01741R102,ATI,ALLEGHENY TECHNOLOGIES INC,557389,-1116,25.34M,-50.74K,-0.2%,1.1%
448579102,H,HYATT HOTELS CORPORATION,7888,-427,1.03M,-55.69K,-5.1%,0.04%
75886F107,REGN,REGENERAN PHARM,612,-65,537.51K,-57.09K,-9.6%,0.02%
630402105,NSSC,NAPCO SECURITY,222443,-1745,7.62M,-59.77K,-0.8%,0.33%
72352L106,PINS,PINTEREST INC,29254,-1659,1.08M,-61.45K,-5.4%,0.05%
18915M107,NET,CLOUDFLARE INC,5145,-861,428.37K,-71.69K,-14.3%,0.02%
053332102,AZO,AUTOZONE INC,776,-28,2.01M,-72.4K,-3.5%,0.09%
117043109,BC,BRUNSWICK CORP,3047,-757,294.8K,-73.24K,-19.9%,0.01%
21036P108,STZ,CONSTELLATION BRANDS INC,5103,-340,1.23M,-82.19K,-6.2%,0.05%
22160K105,COST,COSTCO WHOLESALE CORP,1169,-131,771.63K,-86.47K,-10.1%,0.03%
45826H109,ITGR,INTEGER HOLDINGS CORP,17955,-928,1.78M,-91.95K,-4.9%,0.08%
874054109,TTWO,TAKE TWO INTERACTIVE SOFTWARE,10541,-626,1.7M,-100.75K,-5.6%,0.07%
91324P102,UNH,UNITEDHEALTH GROUP INC,1850,-205,973.97K,-107.93K,-10%,0.04%
127387108,CDNS,CADENCE DESIGN SYS INC,5991,-460,1.63M,-125.29K,-7.1%,0.07%
16411R208,LNG,CHENIERE ENERGY INC,13175,-735,2.25M,-125.47K,-5.3%,0.1%
89422G107,TVTX,TRAVERE THERAPEUTICS INC,1046149,-14153,9.4M,-127.24K,-1.3%,0.4%
71375U101,PRFT,PERFICIENT INC,130152,-2031,8.57M,-133.68K,-1.5%,0.37%
83089J108,SKYT,SKYWATER TECHNOLOGY INC,1115031,-14476,10.73M,-139.26K,-1.3%,0.46%
88160R101,TSLA,"TESLA MOTORS, INC",5288,-587,1.31M,-145.86K,-10%,0.06%
872540109,TJX,TJX COS.,14216,-1582,1.33M,-148.41K,-10%,0.06%
406216101,HAL,HALLIBURTON CO,13346,-4269,482.46K,-154.32K,-24.2%,0.02%
22788C105,CRWD,CROWDSTRIKE HOLDINGS INC,10237,-632,2.61M,-161.36K,-5.8%,0.11%
57060D108,MKTX,MARKETAXESS HOLDINGS INC,0,-768,0,-164.08K,CLOSE,0%
896442308,TRIN,TRINITY CAPITAL INC,743706,-11856,10.81M,-172.27K,-1.6%,0.46%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,2094,-925,400.81K,-177.05K,-30.6%,0.02%
02079K305,GOOGL,ALPHABET INC CLA A,25525,-1356,3.57M,-189.42K,-5%,0.15%
82452J109,FOUR,SHIFT4 PAYMENTS INC,500857,-2641,37.23M,-196.33K,-0.5%,1.6%
98983V106,ZUO,ZUORA INC,1270305,-21750,11.94M,-204.45K,-1.7%,0.51%
457669307,INSM,INSMED INC,930849,-6667,28.85M,-206.61K,-0.7%,1.2%
G3323L100,FN,FABRINET,0,-1304,0,-217.27K,CLOSE,0%
576323109,MTZ,MASTEC INC,9420,-3099,713.28K,-234.66K,-24.8%,0.03%
256086109,DCGO,DOCGO INC,2362834,-43880,13.21M,-245.29K,-1.8%,0.57%
896239100,TRMB,TRIMBLE NAVIGA,3965,-4761,210.94K,-253.29K,-54.6%,<.01%
253393102,DKS,DICKS SPORTING GOODS INC,0,-2370,0,-257.33K,CLOSE,0%
008073108,AVAV,AEROVIRONMENT INC,229044,-2050,28.87M,-258.38K,-0.9%,1.2%
34959E109,FTNT,FORTINET INC,0,-4527,0,-265.64K,CLOSE,0%
983793100,XPO,XPO LOGISTICS,13383,-3140,1.17M,-275.03K,-19%,0.05%
18467V109,YOU,CLEAR SECURE INC,274884,-13346,5.68M,-275.59K,-4.6%,0.24%
278715206,AAPL,EBIX INC,0,-27898,0,-275.63K,CLOSE,0%
09180C106,BJRI,BJS RESTAURANT INC,586412,-7714,21.12M,-277.78K,-1.3%,0.9%
753422104,RPD,RAPID7 INC,346024,-4897,19.76M,-279.62K,-1.4%,0.85%
19247G107,COHR,COHERENT CORP,235877,-6445,10.27M,-280.55K,-2.7%,0.44%
92826C839,V,VISA INC-CLASS A,4914,-1115,1.28M,-290.29K,-18.5%,0.05%
36262G101,GXO,GXO LOGISTICS INC,44825,-4880,2.74M,-298.46K,-9.8%,0.12%
02156B103,AYX,ALTERYX INC,0,-8072,0,-304.23K,CLOSE,0%
19239V302,CCOI,COGENT COMMUNICATIONS HOLDINGS,236031,-4080,17.95M,-310.33K,-1.7%,0.77%
91307C102,UTHR,UNITED THERAPEUTICS CORP DEL,0,-1376,0,-310.8K,CLOSE,0%
89455T109,TMCI,TREACE MEDICAL CONCEPTS INC,1447589,-25692,18.46M,-327.57K,-1.7%,0.79%
441593100,HLI,HOULIHAN LOKEY,164212,-2757,19.69M,-330.59K,-1.7%,0.84%
690742101,OC,OWENS CORNING,0,-2484,0,-338.84K,CLOSE,0%
10806X102,BBIO,BRIDGEBIO PHARMA INC,685539,-8461,27.68M,-341.57K,-1.2%,1.2%
69753M105,PLMR,PALOMAR HOLDINGS INC,445331,-6207,24.72M,-344.49K,-1.4%,1.1%
92839U206,VC,VISTEON CORP,101682,-2811,12.7M,-351.09K,-2.7%,0.54%
405024100,HAE,HAEMONETICS CORPORATION,147314,-4149,12.6M,-354.78K,-2.7%,0.54%
90353T100,UBER,UBER TECHNOLOGIES INC,14050,-5917,865.06K,-364.31K,-29.6%,0.04%
750917106,RMBS,RAMBUS INC,358693,-5586,24.48M,-381.24K,-1.5%,1%
00847J105,AGYS,AGILYSYS INC,203745,-4643,17.28M,-393.82K,-2.2%,0.74%
55405Y100,MTSI,MACOM TECHNOLOGY SOLUTIONS,280095,-4349,26.03M,-404.24K,-1.5%,1.1%
60786M105,MC,MOELIS & CO,451043,-7259,25.32M,-407.45K,-1.6%,1.1%
42330P107,HLX,HELIX ENERGY SOLUTIONS GROUP INC,0,-36788,0,-410.92K,CLOSE,0%
000361105,AIR,AAR CORPORATION,394734,-6706,24.63M,-418.45K,-1.7%,1.1%
803607100,SRPT,SAREPTA THERAPEUTICS INC,0,-3454,0,-418.69K,CLOSE,0%
023135106,AMZN,"AMAZON.COM, INC",25750,-2853,3.91M,-433.48K,-10%,0.17%
90400D108,RARE,ULTRAGENYX PHARMACEUTICAL INC,482138,-9551,23.06M,-456.73K,-1.9%,0.99%
64049M209,NEO,NEOGENOMICS INC,1897814,-29260,30.71M,-473.43K,-1.5%,1.3%
88162F105,TTI,TETRA TECHNOLOGIES,3077688,-104814,13.91M,-473.76K,-3.3%,0.6%
45569U101,INDI,INDIE SEMICONDUCTOR INC,2709403,-59179,21.97M,-479.94K,-2.1%,0.94%
589889104,MMSI,MERIT MED SYS INC,371611,-6324,28.23M,-480.37K,-1.7%,1.2%
550021109,LULU,LULULEMON ATHLETICA INC,2508,-999,1.28M,-510.78K,-28.5%,0.05%
