CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
19247G107,COHR,COHERENT CORP,2647526,1291488,115.25M,56.22M,+95.2%,20.2%
977852102,WOLF,WOLFSPEED INC,1431200,1165600,62.27M,50.72M,+438.9%,10.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,732993,271700,108.05M,40.05M,+58.9%,19%
747525103,QCOM,QUALCOMM INC,215984,215984,31.24M,31.24M,NEW,5.5%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,281100,281100,29.23M,29.23M,NEW,5.1%
722304102,PDD,PDD HOLDINGS INC,189400,189400,27.71M,27.71M,NEW,4.9%
55024U109,LITE,LUMENTUM HLDGS INC,372900,372900,19.55M,19.55M,NEW,3.4%
595112103,MU,MICRON TECHNOLOGY INC,351700,194800,30.01M,16.62M,+124.2%,5.3%
23703Q203,DQ,DAQO NEW ENERGY CORP,431586,431586,11.48M,11.48M,NEW,2%
24703L202,DELL,DELL TECHNOLOGIES INC,134946,134946,10.32M,10.32M,NEW,1.8%
464287655,IWM,ISHARES TR,30900,30900,6.2M,6.2M,NEW,1.1%
91347P105,OLED,UNIVERSAL DISPLAY CORP,28500,28500,5.45M,5.45M,NEW,0.96%
042068205,ARM,ARM HOLDINGS PLC,426914,56351,32.08M,4.23M,+15.2%,5.6%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,27800,27800,2.04M,2.04M,NEW,0.36%
874080104,TAL,TAL EDUCATION GROUP,2487186,0,31.41M,0,NO CHANGE,5.5%
254687106,DIS,DISNEY WALT CO,162800,0,14.7M,0,NO CHANGE,2.6%
594918104,MSFT,MICROSOFT CORP,12070,0,4.54M,0,NO CHANGE,0.8%
949746101,WFC,WELLS FARGO CO NEW,0,-92200,0,-3.77M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO,0,-26800,0,-3.89M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,0,-35300,0,-4.65M,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,0,-187900,0,-5.9M,CLOSE,0%
86800U104,SUPER,SUPER MICRO COMPUTER INC,0,-38500,0,-10.56M,CLOSE,0%
958102105,WDC,WESTERN DIGITAL CORP.,202400,-220793,10.6M,-11.56M,-52.2%,1.9%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-713000,0,-38.59M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,35300,-337900,17.48M,-167.33M,-90.5%,3.1%
Total,,,,,569.62M,64.81M,+15.4%,100%
