CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
770700102,HOOD,ROBINHOOD MKTS INC,706800,706800,9M,9M,NEW,5%
28852N109,EFC,ELLINGTON FINANCIAL INC,281403,281403,3.58M,3.58M,NEW,2%
78442P106,SLM,SLM CORP,380150,177400,7.27M,3.39M,+87.5%,4%
680277100,OSBC,OLD SECOND BANCORP INC ILL,318200,132685,4.91M,2.05M,+71.5%,2.7%
06738E204,BCS,BARCLAYS PLC,513435,233500,4.05M,1.84M,+83.4%,2.2%
05990K106,BANC,BANC OF CALIFORNIA INC,324700,78900,4.36M,1.06M,+32.1%,2.4%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,10200,10200,845.58K,845.58K,NEW,0.47%
860630102,SF,STIFEL FINL CORP,12000,12000,829.8K,829.8K,NEW,0.46%
67109R109,OPBK,OP BANCORP,252071,58929,2.76M,645.27K,+30.5%,1.5%
92645B103,VCTR,VICTORY CAP HLDGS INC,90296,10494,3.11M,361.41K,+13.2%,1.7%
032037103,AP,AMPCO-PITTSBURG CORP,231,231,257.85K,257.85K,NEW,0.14%
902788108,UMBF,UMB FINL CORP,102950,2218,8.6M,185.31K,+2.2%,4.8%
07279B104,BAFN,BAYFIRST FINANCIAL CORP,62000,10474,808.79K,136.63K,+20.3%,0.45%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC N,8649,82,12.27M,116.36K,+1%,6.8%
320557101,INBK,FIRST INTERNET BANCORP,60482,2592,1.46M,62.7K,+4.5%,0.81%
72346Q104,PNFP,PINNACLE FINL PARTNERS INC,87280,300,7.61M,26.17K,+0.3%,4.2%
69346J106,GHY,PGIM GLOBAL HIGH YIELD FD FO,19000,2200,215.84K,24.99K,+13.1%,0.12%
92828Q109,VRTS,VIRTUS INVT PARTNERS INC,19125,100,4.62M,24.18K,+0.5%,2.6%
20786W107,CNOB,CONNECTONE BANCORP INC,91667,600,2.1M,13.75K,+0.7%,1.2%
14316J108,CG,CARLYLE GROUP INC,165800,225,6.75M,9.16K,+0.1%,3.7%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,19078,35,3.01M,5.52K,+0.2%,1.7%
05465C100,AX,AXOS FINANCIAL INC,146680,0,8.01M,0,NO CHANGE,4.4%
67103X102,OFG,OFG BANCORP,207765,0,7.79M,0,NO CHANGE,4.3%
66405S100,NBN,NORTHEAST BK LEWISTON ME,109395,0,6.04M,0,NO CHANGE,3.3%
947890109,WBS,WEBSTER FINL CORP,76400,0,3.88M,0,NO CHANGE,2.1%
29667J101,ESQ,ESQUIRE FINL HLDGS INC,72197,0,3.61M,0,NO CHANGE,2%
89832Q109,TFC,TRUIST FINL CORP,67099,0,2.48M,0,NO CHANGE,1.4%
25432X102,DCOM,DIME CMNTY BANCSHARES INC,89163,0,2.4M,0,NO CHANGE,1.3%
317585404,FISI,FINANCIAL INSTNS INC,108723,0,2.32M,0,NO CHANGE,1.3%
023139884,OSG,AMBAC FINL GROUP INC,121435,0,2M,0,NO CHANGE,1.1%
83600C103,SOHO,SOTHERLY HOTELS INC,954804,0,1.42M,0,NO CHANGE,0.79%
126128107,CCNE,CNB FINL CORP PA,58017,0,1.31M,0,NO CHANGE,0.72%
12326C105,BFST,BUSINESS FIRST BANCSHARES IN,42282,0,1.04M,0,NO CHANGE,0.58%
03076C106,AMP,AMERIPRISE FINL INC,2600,0,987.56K,0,NO CHANGE,0.55%
319390100,FBIZ,FIRST BUSINESS FINL SVCS INC,23850,0,956.38K,0,NO CHANGE,0.53%
46137V308,PKW,INVESCO EXCHANGE TRADED FD T,9376,0,928.41K,0,NO CHANGE,0.51%
78467Y107,MDY,SPDR S&P MIDCAP 400 ETF TR,1607,0,815.36K,0,NO CHANGE,0.45%
496719105,KINS,KINGSTONE COS INC,363682,0,774.64K,0,NO CHANGE,0.43%
30303M102,META,META PLATFORMS INC,2030,0,718.54K,0,NO CHANGE,0.4%
913290102,UNTY,UNITY BANCORP INC,23305,0,689.6K,0,NO CHANGE,0.38%
63938C108,NAVI,NAVIENT CORPORATION,32195,0,599.47K,0,NO CHANGE,0.33%
92826C839,V,VISA INC,2286,0,595.16K,0,NO CHANGE,0.33%
464287630,IWN,ISHARES TR,3540,0,549.87K,0,NO CHANGE,0.3%
87165B103,SYF,SYNCHRONY FINANCIAL,12690,0,484.63K,0,NO CHANGE,0.27%
97650W108,WTFC,WINTRUST FINL CORP,5101,0,473.12K,0,NO CHANGE,0.26%
48249T106,KIO,KKR INCOME OPPORTUNITIES FD,27541,0,346.19K,0,NO CHANGE,0.19%
24703L202,DELL,DELL TECHNOLOGIES INC,4000,0,306K,0,NO CHANGE,0.17%
934423104,WBD,WARNER BROS DISCOVERY INC,26500,0,301.57K,0,NO CHANGE,0.17%
517834107,LVS,LAS VEGAS SANDS CORP,6000,0,295.26K,0,NO CHANGE,0.16%
585464100,MLCO,MELCO RESORTS AND ENTMNT LTD,12000,0,106.44K,0,NO CHANGE,0.06%
032037111,,AMPCO-PITTSBURG CORP,110279,0,13.23K,0,NO CHANGE,<.01%
302462106,,FG GROUP HOLDINGS INC,26260,-173,38.6K,-254.31,-0.7%,0.02%
258622109,DSL,DOUBLELINE INCOME SOLUTIONS,10230,-450,125.22K,-5.51K,-4.2%,0.07%
86722A103,SXC,SUNCOKE ENERGY INC,25177,-4000,270.4K,-42.96K,-13.7%,0.15%
48203R104,JNPR,JUNIPER NETWORKS INC,7000,-3000,206.36K,-88.44K,-30%,0.11%
68268W103,OMF,ONEMAIN HLDGS INC,109501,-5244,5.39M,-258K,-4.6%,3%
928563402,,VMWARE INC,0,-1762,0,-293.34K,CLOSE,0%
58958P104,MRBK,MERIDIAN CORPORATION,93898,-22714,1.31M,-315.72K,-19.5%,0.72%
318672706,FBP,FIRST BANCORP P R,454820,-20800,7.48M,-342.16K,-4.4%,4.1%
912909108,X,UNITED STATES STL CORP NEW,0,-11250,0,-365.4K,CLOSE,0%
733174700,BPOP,POPULAR INC,0,-7000,0,-441.07K,CLOSE,0%
33751L105,MYFW,FIRST WESTN FINL INC,0,-26000,0,-471.9K,CLOSE,0%
108621103,BWB,BRIDGEWATER BANCSHARES INC,101675,-42153,1.37M,-569.91K,-29.3%,0.76%
46817M107,JXN,JACKSON FINANCIAL INC,151500,-27000,7.76M,-1.38M,-15.1%,4.3%
957638109,WAL,WESTERN ALLIANCE BANCORP,127300,-23600,8.38M,-1.55M,-15.6%,4.6%
37247D106,GNW,GENWORTH FINL INC,1045075,-278900,6.98M,-1.86M,-21.1%,3.9%
041356205,,ARLINGTON ASSET INVST CORP,0,-777575,0,-3.33M,CLOSE,0%
75605Y106,HOUS,ANYWHERE REAL ESTATE INC,125656,-631209,1.02M,-5.12M,-83.4%,0.56%
Total,,,,,180.98M,8.03M,+5.7%,100%
