CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88339J105,TTD,THE TRADE DESK INC,2319355,2319355,166.9M,166.9M,NEW,5.1%
49177J102,KVUE,KENVUE INC,6827815,6827815,147M,147M,NEW,4.5%
771049103,RBLX,ROBLOX CORP,2984075,2984075,136.43M,136.43M,NEW,4.2%
531229755,FWONK,LIBERTY MEDIA CORP DEL,1536000,1536000,96.97M,96.97M,NEW,3%
20717M103,CFLT,CONFLUENT INC,3353690,3353690,78.48M,78.48M,NEW,2.4%
02156B103,AYX,ALTERYX INC,2615056,1284000,123.33M,60.55M,+96.5%,3.8%
67059N108,NTNX,NUTANIX INC,3526923,1163923,168.2M,55.51M,+49.3%,5.1%
03831W108,APP,APPLOVIN CORP,1365327,1365327,54.41M,54.41M,NEW,1.7%
92537N108,VRT,VERTIV HOLDINGS CO,1093261,1093261,52.51M,52.51M,NEW,1.6%
418100103,HCP,HASHICORP INC,2177351,2177351,51.47M,51.47M,NEW,1.6%
256163106,DOCU,DOCUSIGN INC,820419,820419,48.77M,48.77M,NEW,1.5%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,2395062,347000,283.46M,41.07M,+16.9%,8.7%
63947X101,NCNO,NCINO INC,1099000,1099000,36.96M,36.96M,NEW,1.1%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,2436214,737412,82.73M,25.04M,+43.4%,2.5%
558256103,MSGE,MADISON SQUARE GARDEN ENTMT,2303724,400000,73.24M,12.72M,+21%,2.2%
911684108,AD,UNITED STATES CELLULAR CORP,1408792,204400,58.52M,8.49M,+17%,1.8%
848637104,,SPLUNK INC,1394000,0,212.38M,0,NO CHANGE,6.5%
212873111,CNXXW,CONX CORP,1000000,0,306K,0,NO CHANGE,<.01%
535919401,LGFA,LIONS GATE ENTMNT CORP,2505000,-495000,27.3M,-5.4M,-16.5%,0.84%
79466L302,CRM,SALESFORCE INC,239000,-100000,62.89M,-26.31M,-29.5%,1.9%
67066G104,NVDA,NVIDIA CORPORATION,319079,-59000,158.01M,-29.22M,-15.6%,4.8%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,534052,-126999,145.46M,-34.59M,-19.2%,4.5%
02079K305,GOOGL,ALPHABET INC,880000,-256000,122.93M,-35.76M,-22.5%,3.8%
55087P104,LYFT,LYFT INC,0,-3643592,0,-38.4M,CLOSE,0%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,1500000,-600000,140.4M,-56.16M,-28.6%,4.3%
H5919C104,ONON,ON HLDG AG,0,-2140144,0,-59.54M,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,0,-396116,0,-69.36M,CLOSE,0%
26142V105,DKNG,DRAFTKINGS INC NEW,5000000,-2153967,176.25M,-75.93M,-30.1%,5.4%
577081102,MAT,MATTEL INC,0,-3487000,0,-76.82M,CLOSE,0%
872590104,TMUS,T-MOBILE US INC,1846135,-690000,295.99M,-110.63M,-27.2%,9.1%
30303M102,META,META PLATFORMS INC,748858,-336105,265.07M,-118.97M,-31%,8.1%
00724F101,ADBE,ADOBE INC,0,-288400,0,-147.06M,CLOSE,0%
90353T100,UBER,UBER TECHNOLOGIES INC,0,-4068505,0,-187.11M,CLOSE,0%
Total,,,,,3.27B,2.04M,+0.1%,100%
