CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88160R101,TSLA,TESLA INC,150350,150350,37.36M,37.36M,NEW,6.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,1186400,286600,123.39M,29.81M,+31.9%,20.3%
722304102,PDD,PDD HOLDINGS INC,474600,134900,69.44M,19.74M,+39.7%,11.4%
66981J102,MNSO,MINISO GROUP HLDG LTD,3789500,565300,77.31M,11.53M,+17.5%,12.7%
91332U101,U,UNITY SOFTWARE INC,879400,0,35.96M,0,NO CHANGE,5.9%
02079K305,GOOGL,ALPHABET INC,239450,0,33.45M,0,NO CHANGE,5.5%
05278C107,ATHM,AUTOHOME INC,487700,0,13.68M,0,NO CHANGE,2.2%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,5246000,-39700,90.07M,-681.65K,-0.8%,14.8%
594918104,MSFT,MICROSOFT CORP,4550,-83200,1.71M,-31.29M,-94.8%,0.28%
67066G104,NVDA,NVIDIA CORPORATION,52150,-131650,25.83M,-65.2M,-71.6%,4.2%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,1374740,-1065900,100.74M,-78.11M,-43.7%,16.5%
Total,,,,,608.93M,-76.84M,-12.7%,100%
