CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46090E103,QQQ,INVESCO QQQ TR,26618,26618,10.9M,10.9M,NEW,5.5%
594918104,MSFT,MICROSOFT CORP,28326,28326,10.65M,10.65M,NEW,5.4%
78464A862,XSD,SPDR SER TR,30639,30639,6.9M,6.9M,NEW,3.5%
037833100,AAPL,APPLE INC,31808,31808,6.13M,6.13M,NEW,3.1%
78462F103,SPY,SPDR S&P 500 ETF TR,11203,11203,5.32M,5.32M,NEW,2.7%
11135F101,AVGO,BROADCOM INC,3718,3718,4.15M,4.15M,NEW,2.1%
136385101,CNQ,CANADIAN NAT RES LTD,55351,55351,3.63M,3.63M,NEW,1.8%
337345102,QTEC,FIRST TR NASDAQ 100 TECH IND,19426,19426,3.41M,3.41M,NEW,1.7%
56585A102,MPC,MARATHON PETE CORP,22575,22575,3.35M,3.35M,NEW,1.7%
67066G104,NVDA,NVIDIA CORPORATION,6204,6204,3.07M,3.07M,NEW,1.5%
33733E302,FDN,FIRST TR EXCHANGE-TRADED FD,15358,15358,2.87M,2.87M,NEW,1.4%
032108409,DIVO,AMPLIFY ETF TR,75494,75494,2.76M,2.76M,NEW,1.4%
922908736,VUG,VANGUARD INDEX FDS,8765,8765,2.72M,2.72M,NEW,1.4%
437076102,HD,HOME DEPOT INC,7362,7362,2.55M,2.55M,NEW,1.3%
682680103,OKE,ONEOK INC NEW,33900,33900,2.38M,2.38M,NEW,1.2%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,6445,6445,2.3M,2.3M,NEW,1.2%
G29183103,ETN,EATON CORP PLC,9361,9361,2.25M,2.25M,NEW,1.1%
69374H857,CALF,PACER FDS TR,45430,45430,2.19M,2.19M,NEW,1.1%
46429B697,USMV,ISHARES TR,27032,27032,2.11M,2.11M,NEW,1.1%
91324P102,UNH,UNITEDHEALTH GROUP INC,3908,3908,2.06M,2.06M,NEW,1%
00287Y109,ABBV,ABBVIE INC,13235,13235,2.05M,2.05M,NEW,1%
02079K305,GOOGL,ALPHABET INC,14096,14096,1.97M,1.97M,NEW,0.99%
33733E807,FCG,FIRST TR EXCHANGE-TRADED FD,77662,77662,1.89M,1.89M,NEW,0.95%
74348A467,NOBL,PROSHARES TR,19375,19375,1.84M,1.84M,NEW,0.93%
464287515,IGV,ISHARES TR,4518,4518,1.83M,1.83M,NEW,0.92%
56035L104,MAIN,MAIN STR CAP CORP,40819,40819,1.76M,1.76M,NEW,0.89%
023135106,AMZN,AMAZON COM INC,11480,11480,1.75M,1.75M,NEW,0.88%
316500107,FDUS,FIDUS INVT CORP,87456,87456,1.72M,1.72M,NEW,0.87%
46625H100,JPM,JPMORGAN CHASE & CO,10099,10099,1.72M,1.72M,NEW,0.86%
931142103,WMT,WALMART INC,10634,10634,1.68M,1.68M,NEW,0.84%
907818108,UNP,UNION PAC CORP,6803,6803,1.67M,1.67M,NEW,0.84%
00162Q452,AMLP,ALPS ETF TR,39185,39185,1.67M,1.67M,NEW,0.84%
91913Y100,VLO,VALERO ENERGY CORP,12525,12525,1.63M,1.63M,NEW,0.82%
92826C839,V,VISA INC,6184,6184,1.61M,1.61M,NEW,0.81%
46137V662,PJP,INVESCO EXCHANGE TRADED FD T,19628,19628,1.49M,1.49M,NEW,0.75%
46137V837,PDP,INVESCO EXCHANGE TRADED FD T,17387,17387,1.49M,1.49M,NEW,0.75%
78464A631,XAR,SPDR SER TR,10711,10711,1.45M,1.45M,NEW,0.73%
46138E388,XRLV,INVESCO EXCH TRADED FD TR II,30598,30598,1.45M,1.45M,NEW,0.73%
37954Y673,PAVE,GLOBAL X FDS,41280,41280,1.42M,1.42M,NEW,0.72%
882508104,TXN,TEXAS INSTRS INC,8317,8317,1.42M,1.42M,NEW,0.71%
46137Y500,CVY,INVESCO EXCHANGE TRADED FD T,59488,59488,1.41M,1.41M,NEW,0.71%
682189105,ON,ON SEMICONDUCTOR CORP,16681,16681,1.39M,1.39M,NEW,0.7%
