CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
29269R105,EFXT,ENERFLEX LTD,4063281,1123103,18.81M,5.2M,+38.2%,5.7%
67077M108,NTR,NUTRIEN LTD,528205,42831,29.75M,2.41M,+8.8%,9%
47233W109,JEF,JEFFERIES FINANCIAL GROUP IN,1179152,48663,47.65M,1.97M,+4.3%,14.3%
399909100,GGAL,GRUPO FINANCIERO GALICIA-ADR,186077,59904,3.21M,1.03M,+47.5%,0.97%
878742204,TECK,TECK RESOURCES LTD-CLS B,61412,6029,2.6M,254.85K,+10.9%,0.78%
962879102,WPM,WHEATON PRECIOUS METALS CORP,797854,0,39.37M,0,NO CHANGE,11.9%
113004105,BAM,BROOKFIELD ASSET MGMT-A,47197,0,1.9M,0,NO CHANGE,0.57%
P31076105,CPA,COPA HOLDINGS SA-CLASS A,13902,0,1.48M,0,NO CHANGE,0.44%
G16250105,,BROOKFIELD REINSURANCE LTD,971,0,39.2K,0,NO CHANGE,0.01%
11271J107,BN,BROOKFIELD CORP,185560,-2300,7.44M,-92.28K,-1.2%,2.2%
84790A105,SPB,SPECTRUM BRANDS HOLDINGS INC,480314,-1437,38.31M,-114.63K,-0.3%,11.5%
88642R109,TDW,TIDEWATER INC,527964,-2549,38.07M,-183.81K,-0.5%,11.5%
140501107,CSWC,CAPITAL SOUTHWEST CORP,95730,-10540,2.27M,-249.8K,-9.9%,0.68%
126402106,CSW,CSW INDUSTRIALS INC,12228,-3396,2.54M,-704.36K,-21.7%,0.76%
13321L108,CCJ,CAMECO CORP,807413,-25550,34.83M,-1.1M,-3.1%,10.5%
G0457F107,ARCO,ARCOS DORADOS HOLDINGS INC-A,2243376,-368533,28.47M,-4.68M,-14.1%,8.6%
G27358103,DESP,DESPEGAR.COM CORP,3748523,-558417,35.46M,-5.28M,-13%,10.7%
Total,,,,,332.2M,-1.54M,-0.5%,100%
