CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
47103N106,JBI,Janus International Group Inc,688958,549515,8.99M,7.17M,+394.1%,5.9%
097023105,BA,Boeing Co,21700,21700,5.66M,5.66M,NEW,3.7%
38141G104,GS,Goldman Sachs Group Inc,12500,12500,4.82M,4.82M,NEW,3.1%
46266C105,IQV,IQVIA Holdings Inc,21342,18000,4.94M,4.16M,+538.6%,3.2%
852234103,XYZ,Block Inc,44785,44785,3.46M,3.46M,NEW,2.3%
049468101,TEAM,Atlassian Corporation Plc,17309,13109,4.12M,3.12M,+312.1%,2.7%
46090E103,QQQ,Invesco QQQ Trust Series 1,5316,5316,2.18M,2.18M,NEW,1.4%
88023U101,SGI,Tempur Sealy International Inc,40000,40000,2.04M,2.04M,NEW,1.3%
617446448,MS,Morgan Stanley,21000,21000,1.96M,1.96M,NEW,1.3%
12769G100,CZR,Caesars Entertainment Inc,40000,40000,1.88M,1.88M,NEW,1.2%
060505104,BAC,Bank of America Corp,55000,55000,1.85M,1.85M,NEW,1.2%
98954M200,Z,Zillow Group Inc,22000,22000,1.27M,1.27M,NEW,0.83%
30233G209,EYPT,EyePoint Pharmaceuticals Inc,45000,45000,1.04M,1.04M,NEW,0.68%
073685109,BECN,Beacon Roofing Supply Inc,11000,11000,957.22K,957.22K,NEW,0.62%
47580P103,JELD,Jeld-wen Holding Inc,50000,50000,944K,944K,NEW,0.62%
89055F103,BLD,TopBuild Corp,2500,2500,935.65K,935.65K,NEW,0.61%
771049103,RBLX,Roblox Corp,20000,20000,914.4K,914.4K,NEW,0.6%
575385109,,Masonite International Corp,10000,10000,846.6K,846.6K,NEW,0.55%
687793109,OSCR,Oscar Health Inc,203114,63028,1.86M,576.71K,+45%,1.2%
92338C103,VLTO,VERALTOCORP,1866,1866,153.5K,153.5K,NEW,0.1%
81762P102,NOW,ServiceNow Inc,9122,120,6.44M,84.78K,+1.3%,4.2%
071705107,BLCO,Bausch and Lomb Corp,121471,0,2.07M,0,NO CHANGE,1.4%
60471A119,,Mirion Technologies Inc,701820,0,1.42M,0,NO CHANGE,0.93%
57636Q104,MA,MASTERCARD INC,3100,0,1.32M,0,NO CHANGE,0.86%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,3650,0,580.68K,0,NO CHANGE,0.38%
40415F101,HDB,HDFC BANK LTD,6500,0,436.21K,0,NO CHANGE,0.28%
75513E101,RTX,RAYTHEON TECHNOLOGIES CORP,5000,0,420.7K,0,NO CHANGE,0.27%
80359A114,PDYNW,SARCOS TECHN AND ROBOTICS CO,0,-20407,0,-1000,CLOSE,0%
051774115,AUROW,AURORA INNOVATION INC,0,-11494,0,-4K,CLOSE,0%
G29018101,DLO,Dlocal Ltd,79500,-20500,1.41M,-362.64K,-20.5%,0.92%
23804L103,DDOG,DATADOG INC,0,-4000,0,-364K,CLOSE,0%
60937P106,MDB,Mongodb Inc,7532,-1468,3.08M,-600.19K,-16.3%,2%
55405Y100,MTSI,MACOM Technology Solutions Holdings Inc,11513,-6623,1.07M,-615.61K,-36.5%,0.7%
883556102,TMO,Thermo Fisher Scientific Inc,8350,-1700,4.43M,-902.34K,-16.9%,2.9%
92537N108,VRT,Vertiv Holdings Co,433879,-20400,20.84M,-979.81K,-4.5%,13.6%
874054109,TTWO,Take-Two Interactive Software Inc,25600,-6400,4.12M,-1.03M,-20%,2.7%
235851102,DHR,Danaher Corp,25600,-5000,5.92M,-1.16M,-16.3%,3.9%
023135106,AMZN,Amazon.Com Inc,81605,-10500,12.4M,-1.6M,-11.4%,8.1%
82509L107,SHOP,Shopify Inc,27200,-22800,2.12M,-1.78M,-45.6%,1.4%
007903107,AMD,Advanced Micro Devices Inc,18450,-12550,2.72M,-1.85M,-40.5%,1.8%
82452J109,FOUR,Shift4 Payments Inc,70902,-32800,5.27M,-2.44M,-31.6%,3.4%
02079K305,GOOGL,ALPHABET INC,0,-20000,0,-2.62M,CLOSE,0%
594918104,MSFT,Microsoft Corp,26265,-6985,9.88M,-2.63M,-21%,6.4%
759916109,RGEN,REPLIGEN CORP,0,-17000,0,-2.7M,CLOSE,0%
00724F101,ADBE,ADOBE INC,0,-6400,0,-3.26M,CLOSE,0%
31428X106,FDX,FedEx Corp,3280,-16320,829.74K,-4.13M,-83.3%,0.54%
67066G104,NVDA,NVIDIA Corp,19260,-13242,9.54M,-6.56M,-40.7%,6.2%
30303M102,META,Meta Platforms Inc,17106,-32900,6.05M,-11.65M,-65.8%,4%
Total,,,,,153.19M,-1.19M,-0.9%,100%
