CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,78068,0,38.66M,0,NO CHANGE,18.5%
023135106,AMZN,AMAZON COM INC,145908,0,22.17M,0,NO CHANGE,10.6%
594918104,MSFT,MICROSOFT CORP,58615,0,22.04M,0,NO CHANGE,10.6%
02079K305,GOOGL,ALPHABET INC,150295,0,20.99M,0,NO CHANGE,10.1%
81762P102,NOW,SERVICENOW INC,28420,0,20.08M,0,NO CHANGE,9.6%
833445109,SNOW,SNOWFLAKE INC,94174,0,18.74M,0,NO CHANGE,9%
79466L302,CRM,SALESFORCE INC,68871,0,18.12M,0,NO CHANGE,8.7%
879360105,TDY,TELEDYNE TECHNOLOGIES INC,38658,0,17.25M,0,NO CHANGE,8.3%
14448C104,CARR,CARRIER GLOBAL CORPORATION,270844,0,15.56M,0,NO CHANGE,7.5%
037833100,AAPL,APPLE INC,78650,0,15.14M,0,NO CHANGE,7.3%
Total,,,,,208.76M,0,+0%,100%
