CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
86800U104,SUPER,SUPER MICRO COMPUTER INC,52690,52690,14.98M,14.98M,NEW,3.8%
007903107,AMD,ADVANCED MICRO DEVICES INC,361563,98845,53.3M,14.57M,+37.6%,13.5%
880770102,TER,TERADYNE INC,27473,27473,2.98M,2.98M,NEW,0.75%
573874104,MRVL,MARVELL TECHNOLOGY INC,387241,31761,23.35M,1.92M,+8.9%,5.9%
19247G107,COHR,COHERENT CORP,77579,42127,3.38M,1.83M,+118.8%,0.85%
683344105,ONTO,ONTO INNOVATION INC,26813,10435,4.1M,1.6M,+63.7%,1%
M20791105,CAMT,CAMTEK LTD,10829,10829,751.32K,751.32K,NEW,0.19%
609839105,MPWR,MONOLITHIC PWR SYS INC,14222,559,8.97M,352.61K,+4.1%,2.3%
482480100,KLAC,KLA CORP,45331,326,26.35M,189.5K,+0.7%,6.7%
G3323L100,FN,FABRINET,2679,821,509.89K,156.26K,+44.2%,0.13%
92537N108,VRT,VERTIV HOLDINGS CO,203882,0,9.79M,0,NO CHANGE,2.5%
051774107,AUR,AURORA INNOVATION INC,92302,0,403.36K,0,NO CHANGE,0.1%
871607107,SNPS,SYNOPSYS INC,49072,-663,25.27M,-341.39K,-1.3%,6.4%
040413106,,ARISTA NETWORKS INC,196916,-3264,46.38M,-768.7K,-1.6%,11.7%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,129166,-5004,35.18M,-1.36M,-3.7%,8.9%
038222105,AMAT,APPLIED MATLS INC,257130,-9771,41.67M,-1.58M,-3.7%,10.5%
595112103,MU,MICRON TECHNOLOGY INC,128501,-23102,10.97M,-1.97M,-15.2%,2.8%
750917106,RMBS,RAMBUS INC DEL,0,-62790,0,-3.5M,CLOSE,0%
458140100,INTC,INTEL CORP,809540,-70782,40.68M,-3.56M,-8%,10.3%
G39387108,GFS,GLOBALFOUNDRIES INC,0,-79174,0,-4.61M,CLOSE,0%
512807108,LRCX.MX,LAM RESEARCH CORP,59571,-6853,46.66M,-5.37M,-10.3%,11.8%
37045V100,GM,GENERAL MTRS CO,0,-406456,0,-13.4M,CLOSE,0%
Total,,,,,395.67M,2.86M,+0.9%,100%
