CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
651639106,NEM,Newmont Corp,51290469,18664614,2.12B,772.53M,+57.2%,3.9%
49338L103,KEYS,Keysight Technologies Inc,2383143,1223694,379.13M,194.68M,+105.5%,0.69%
75513E101,RTX,RTX Corp,4061202,2294908,341.71M,193.09M,+129.9%,0.62%
110122108,BMY,Bristol-Myers Squibb Co,4030939,3579324,206.83M,183.66M,+792.6%,0.38%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,352217,339013,186.95M,179.95M,+2567.5%,0.34%
446413106,HII,Huntington Ingalls Industries Inc,684235,672353,177.66M,174.57M,+5658.6%,0.32%
67066G104,NVDA,NVIDIA Corp,5325750,317082,2.64B,157.03M,+6.3%,4.8%
02209S103,MO,Altria Group Inc,3972259,3888907,160.24M,156.88M,+4665.6%,0.29%
134429109,CPB,Campbell Soup Co,7329256,3613495,316.84M,156.21M,+97.2%,0.58%
067901108,B,Barrick Gold Corp,80933517,7150142,1.46B,129.34M,+9.7%,2.7%
008474108,AEM,Agnico Eagle Mines Ltd,23059010,1995127,1.26B,109.43M,+9.5%,2.3%
880770102,TER,Teradyne Inc,4361091,923612,473.26M,100.23M,+26.9%,0.86%
871607107,SNPS,SYNOPSYS INC,929376,190330,478.55M,98M,+25.8%,0.87%
717081103,PFE,Pfizer Inc,12984150,3265276,373.81M,94.01M,+33.6%,0.68%
962879102,WPM,Wheaton Precious Metals Corp,20521065,1856031,1.01B,91.58M,+9.9%,1.8%
351858105,FNV,Franco-Nevada Corp,8778127,789070,972.71M,87.44M,+9.9%,1.8%
595112103,MU,Micron Technology Inc,5870696,951286,501M,81.18M,+19.3%,0.91%
697900108,PAAS,Pan American Silver Corp,45833375,4842547,748.46M,79.08M,+11.8%,1.4%
29786A106,ETSY,Etsy Inc,4616990,967777,374.21M,78.44M,+26.5%,0.68%
518439104,EL,Estee Lauder Cos Inc/The,2237975,502235,327.3M,73.45M,+28.9%,0.6%
127387108,CDNS,Cadence Design Systems Inc,1583529,265943,431.31M,72.43M,+20.2%,0.78%
482480100,KLAC,KLA Corp,820790,122886,477.12M,71.43M,+17.6%,0.87%
032654105,ADI,Analog Devices Inc,2890824,358697,574M,71.22M,+14.2%,1%
89400J107,TRU,TransUnion,4744770,1035634,326.01M,71.16M,+27.9%,0.59%
512807108,LRCX.MX,Lam Research Corp,776885,85102,608.5M,66.66M,+12.3%,1.1%
98956P102,ZBH,Zimmer Biomet Holdings Inc,2838558,543344,345.45M,66.12M,+23.7%,0.63%
595017104,MCHP,Microchip Technology Inc,5177014,714376,466.86M,64.42M,+16%,0.85%
922475108,VEEV,Veeva Systems Inc,1775065,327662,341.74M,63.08M,+22.6%,0.62%
09062X103,BIIB,Biogen Inc,1421196,231650,367.76M,59.94M,+19.5%,0.67%
H11356104,BG,Bunge Global SA,589331,589331,59.49M,59.49M,NEW,0.11%
882508104,TXN,Texas Instruments Inc,3634521,348014,619.54M,59.32M,+10.6%,1.1%
G0176J109,ALLE,Allegion PLC,3215649,441882,407.39M,55.98M,+15.9%,0.74%
294429105,EFX,Equifax Inc,1572846,206037,388.95M,50.95M,+15.1%,0.71%
038222105,AMAT,Applied Materials Inc,3838268,308579,622.07M,50.01M,+8.7%,1.1%
30231G102,XOM,Exxon Mobil Corp,556032,476983,55.59M,47.69M,+603.4%,0.1%
012653101,ALB,Albemarle Corp,332100,324836,47.98M,46.93M,+4471.9%,0.09%
742718109,PG,Procter & Gamble Co/The,337261,318748,49.42M,46.71M,+1721.8%,0.09%
G5960L103,MDT,Medtronic PLC,4139361,553173,341M,45.57M,+15.4%,0.62%
22052L104,CTVA,Corteva Inc,8528252,883161,408.67M,42.32M,+11.6%,0.74%
902252105,TYL,Tyler Technologies Inc,868016,100788,362.94M,42.14M,+13.1%,0.66%
N6596X109,NXPI,NXP Semiconductors NV,1319509,180999,303.06M,41.57M,+15.9%,0.55%
459506101,IFF,International Flavors & Fragrances Inc,4434301,507193,359.05M,41.07M,+12.9%,0.65%
375558103,GILD,Gilead Sciences Inc,4992415,457576,404.44M,37.07M,+10.1%,0.74%
573874104,MRVL,Marvell Technology Inc,3882696,610631,234.17M,36.83M,+18.7%,0.43%
654106103,NKE,NIKE Inc,3318959,332518,360.34M,36.1M,+11.1%,0.66%
767204100,RIO,Rio Tinto PLC,715829,470073,53.3M,35M,+191.3%,0.1%
11777Q209,BTG,B2Gold Corp,165894403,9971331,524.23M,31.51M,+6.4%,0.95%
278865100,ECL,Ecolab Inc,1855130,155151,367.96M,30.77M,+9.1%,0.67%
02079K305,GOOGL,Alphabet Inc,3117971,214420,435.55M,29.95M,+7.4%,0.79%
57060D108,MKTX,MarketAxess Holdings Inc,1367613,101829,400.51M,29.82M,+8%,0.73%
682189105,ON,ON Semiconductor Corp,2040468,344970,170.44M,28.82M,+20.3%,0.31%
458140100,INTC,Intel Corp,14883148,571966,747.88M,28.74M,+4%,1.4%
45866F104,ICE,Intercontinental Exchange Inc,2957966,203228,379.89M,26.1M,+7.4%,0.69%
20030N101,CMCSA,Comcast Corp,7890552,586449,346M,25.72M,+8%,0.63%
204448104,BVN,Cia de Minas Buenaventura SAA,27152986,1685253,413.81M,25.68M,+6.6%,0.75%
34959E109,FTNT,Fortinet Inc,2926924,438476,171.31M,25.66M,+17.6%,0.31%
413216300,HMY,Harmony Gold Mining Co Ltd,57717855,4163528,354.96M,25.61M,+7.8%,0.65%
254687106,DIS,Walt Disney Co/The,3808061,272591,343.83M,24.61M,+7.7%,0.63%
861012102,STM,STMicroelectronics NV,3735524,448978,187.26M,22.51M,+13.7%,0.34%
149123101,CAT,Caterpillar Inc,75101,75101,22.2M,22.2M,NEW,0.04%
00846U101,A,Agilent Technologies Inc,2749857,153630,382.31M,21.36M,+5.9%,0.7%
35671D857,FCX,Freeport-McMoRan Inc,2621704,414140,111.61M,17.63M,+18.8%,0.2%
574599106,MAS,MASCO CORP,5574976,254040,373.41M,17.02M,+4.8%,0.68%
04010L103,ARCC,Ares Capital Corp,8282079,840823,165.89M,16.84M,+11.3%,0.3%
G0378L100,AU,Anglogold Ashanti Plc,25798967,898196,482.18M,16.79M,+3.6%,0.88%
83088M102,SWKS,Skyworks Solutions Inc,960348,144357,107.96M,16.23M,+17.7%,0.2%
41068X100,HASI,Hannon Armstrong Sustainable Infrastruc,1883537,583665,51.95M,16.1M,+44.9%,0.09%
53681K100,,Lithium Americas Argentina Corp,2494286,2494286,15.76M,15.76M,NEW,0.03%
79466L302,CRM,Salesforce.com Inc,1439717,54809,378.85M,14.42M,+4%,0.69%
609839105,MPWR,Monolithic Power Systems Inc,246887,21832,155.73M,13.77M,+9.7%,0.28%
949746101,WFC,Wells Fargo & Co,7379417,276297,363.21M,13.6M,+3.9%,0.66%
86745K104,NOVAQ,Sunnova Energy International Inc,1563320,866705,23.84M,13.22M,+124.4%,0.04%
594918104,MSFT,Microsoft Corp,903831,34998,339.88M,13.16M,+4%,0.62%
53681J103,LAC,Lithium Americas Corp,2033397,2033397,13.02M,13.02M,NEW,0.02%
291011104,EMR,Emerson Electric Co,1972093,131173,191.94M,12.77M,+7.1%,0.35%
776696106,ROP,Roper Technologies Inc,333128,21539,181.61M,11.74M,+6.9%,0.33%
74736K101,QRVO,Qorvo Inc,503176,104215,56.66M,11.74M,+26.1%,0.1%
192108504,CDE,Coeur Mining Inc,36279058,3556959,118.27M,11.6M,+10.9%,0.22%
902973304,USB,US Bancorp,8941642,264264,386.99M,11.44M,+3%,0.7%
084670702,BRK.B,Berkshire Hathaway Inc,460524,31077,164.25M,11.08M,+7.2%,0.3%
13646K108,CP,Canadian Pacific Railway Ltd,251465,136805,19.84M,10.79M,+119.3%,0.04%
037833100,AAPL,Apple Inc,789248,53572,151.95M,10.31M,+7.3%,0.28%
H8817H100,RIG,Transocean Ltd,15908217,1616690,101.02M,10.27M,+11.3%,0.18%
723787107,,Pioneer Natural Resources Co,138404,45168,31.12M,10.16M,+48.4%,0.06%
302635206,FSK,FS KKR Capital Corp,5204830,494184,103.94M,9.87M,+10.5%,0.19%
92189H698,,Vaneck Ethereum Strategy Etf,450000,450000,9.59M,9.59M,NEW,0.02%
69121K104,OBDC,Blue Owl Capital Corp,6824256,644513,100.73M,9.51M,+10.4%,0.18%
44812J104,HUT,Hut 8 Corp,702102,702102,9.37M,9.37M,NEW,0.02%
71424F105,PR,Permian Resources Corp,1454734,688434,19.78M,9.36M,+89.8%,0.04%
126408103,CSX,CSX Corp,524906,265938,18.2M,9.22M,+102.7%,0.03%
349915108,,Fortuna Silver Mines Inc,32396826,2361636,125.05M,9.12M,+7.9%,0.23%
72147K108,PPC,Pilgrim's Pride Corp,1299313,328660,35.94M,9.09M,+33.9%,0.07%
284902509,EGO,Eldorado Gold Corp,22145722,699111,287.23M,9.07M,+3.3%,0.52%
035710839,NLY,Annaly Capital Management Inc,1785526,456639,34.59M,8.85M,+34.4%,0.06%
N72482149,QGEN,QIAGEN NV,202226,202226,8.78M,8.78M,NEW,0.02%
92532F100,VRTX,Vertex Pharmaceuticals Inc,174227,20466,70.89M,8.33M,+13.3%,0.13%
553368101,MP,MP Materials Corp,3122224,411771,61.98M,8.17M,+15.2%,0.11%
00123Q104,AGNC,AGNC INVESTMENT CORP,2567757,815713,25.19M,8M,+46.6%,0.05%
91347P105,OLED,Universal Display Corp,270184,41795,51.68M,7.99M,+18.3%,0.09%
91332U101,U,Unity Software Inc,1158279,193024,47.36M,7.89M,+20%,0.09%
74348T102,PSEC,Prospect Capital Corp,6161151,1276762,36.91M,7.65M,+26.1%,0.07%
09247X101,,BlackRock Inc,262951,9394,213.46M,7.63M,+3.7%,0.39%
46431W614,,iShares Gold Strategy ETF,145606,139032,7.92M,7.56M,+2114.9%,0.01%
G6683N103,NU,NU Holdings Ltd/Cayman Islands,900930,900930,7.5M,7.5M,NEW,0.01%
532457108,LLY,Eli Lilly & Co,222001,12447,129.41M,7.26M,+5.9%,0.24%
G11448100,BTDR,Bitdeer Technologies Group,1100178,728804,10.85M,7.19M,+196.2%,0.02%
023135106,AMZN,Amazon.com Inc,1382420,47109,210.04M,7.16M,+3.5%,0.38%
91912E105,VALE,Vale SA,7172389,447561,113.75M,7.1M,+6.7%,0.21%
713448108,PEP,PepsiCo Inc,274871,39718,46.68M,6.75M,+16.9%,0.08%
75886F107,REGN,Regeneron Pharmaceuticals Inc,64337,7509,56.51M,6.6M,+13.2%,0.1%
92338C103,VLTO,Veralto Corp,79627,79627,6.55M,6.55M,NEW,0.01%
68902V107,OTIS,Otis Worldwide Corp,72859,72859,6.52M,6.52M,NEW,0.01%
427096508,HTGC,Hercules Capital Inc,2414747,381318,40.25M,6.36M,+18.8%,0.07%
438516106,HON,Honeywell International Inc,917812,30183,192.47M,6.33M,+3.4%,0.35%
74340W103,PLD,Prologis Inc,399022,46779,53.19M,6.24M,+13.3%,0.1%
808513105,SCHW,Charles Schwab Corp/The,5387681,87395,370.67M,6.01M,+1.6%,0.67%
85571B105,STWD,Starwood Property Trust Inc,1142054,283114,24.01M,5.95M,+33%,0.04%
92189H607,OIH,VanEck Oil Services ETF,29844,19052,9.24M,5.9M,+176.5%,0.02%
988498101,YUM,Yum! Brands Inc,96436,44515,12.6M,5.82M,+85.7%,0.02%
