CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92537N108,VRT,Vertiv Holdings Co,259700,226300,21.21M,18.48M,+677.5%,7.4%
24703L202,DELL,Dell Technologies Inc,140020,140020,15.98M,15.98M,NEW,5.6%
92840M102,VST,Vistra Corp,200200,200200,13.94M,13.94M,NEW,4.9%
697435105,PANW,Palo Alto Networks Inc,46600,37900,13.24M,10.77M,+435.6%,4.6%
040413106,,Arista Networks Inc,33200,33200,9.63M,9.63M,NEW,3.4%
N07059210,ASML,ASML Holding N V,8700,8700,8.44M,8.44M,NEW,2.9%
90353T100,UBER,Uber Technologies Inc,107550,107550,8.28M,8.28M,NEW,2.9%
30303M102,META,Meta Platforms Inc,34030,15330,16.52M,7.44M,+82%,5.8%
007903107,AMD,Advanced Micro Devices Inc,60930,32730,11M,5.91M,+116.1%,3.8%
902973304,USB,US Bancorp Del,130000,130000,5.81M,5.81M,NEW,2%
67066G104,NVDA,NVIDIA Corporation,40055,6155,36.19M,5.56M,+18.2%,12.6%
G0450A105,ACGL,Arch Capital Group Ltd,58300,58300,5.39M,5.39M,NEW,1.9%
03769M106,APO,Apollo Global Mgmt Inc,47300,47300,5.32M,5.32M,NEW,1.9%
683344105,ONTO,Onto Innovation Inc,23700,23700,4.29M,4.29M,NEW,1.5%
82509L107,SHOP,Shopify Inc,66700,53100,5.15M,4.1M,+390.4%,1.8%
22788C105,CRWD,Crowdstrike Hldgs Inc,19700,11650,6.32M,3.73M,+144.7%,2.2%
12008R107,BLDR,Builders FirstSource Inc,17900,17900,3.73M,3.73M,NEW,1.3%
81762P102,NOW,ServiceNow Inc,7890,4490,6.02M,3.42M,+132.1%,2.1%
892331307,TM,Toyota Motor Corp,12840,12840,3.23M,3.23M,NEW,1.1%
21037T109,CEG,Constellation Energy Corp,43200,16500,7.99M,3.05M,+61.8%,2.8%
595112103,MU,Micron Technology Inc,24750,24750,2.92M,2.92M,NEW,1%
64110D104,NTAP,NetApp Inc,24000,24000,2.52M,2.52M,NEW,0.88%
594918104,MSFT,Microsoft Corp,20700,5300,8.71M,2.23M,+34.4%,3%
60937P106,MDB,MongoDB Inc,11900,5250,4.27M,1.88M,+78.9%,1.5%
02079K107,GOOG,Alphabet Inc,40200,6900,6.12M,1.05M,+20.7%,2.1%
921910816,MGK,Vanguard World FD,2500,2500,716.52K,716.52K,NEW,0.25%
532457108,LLY,Eli Lilly & Co,11950,900,9.3M,700.16K,+8.1%,3.2%
09857L108,BKNG,Booking Holdings Inc,1540,180,5.59M,653.02K,+13.2%,2%
464286822,EWW,iShares Inc,7000,7000,485.17K,485.17K,NEW,0.17%
