CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
69002RAB9,,OUTBRAIN INC,118000000,118000000,102.55M,102.55M,NEW,2.8%
26969P108,EXP,EAGLE MATLS INC,262000,262000,71.2M,71.2M,NEW,2%
G21810109,CLVT,CLARIVATE PLC,30598402,5098402,227.35M,37.88M,+20%,6.2%
95082P105,WCC,WESCO INTL INC,205724,205724,35.24M,35.24M,NEW,0.97%
36165L108,GDS,GDS HLDGS LTD,2600000,2600000,17.29M,17.29M,NEW,0.47%
34965K107,FTRE,FORTREA HLDGS INC,303797,303797,12.19M,12.19M,NEW,0.33%
G4412G101,HLF,HERBALIFE LTD,2244923,565124,22.56M,5.68M,+33.6%,0.62%
836100107,SOUN,SOUNDHOUND AI INC,1130636,1130636,5.55M,5.55M,NEW,0.15%
02079K107,GOOG,ALPHABET INC,2957652,8114,450.33M,1.24M,+0.3%,12.3%
G61188127,LBTYK,LIBERTY GLOBAL LTD,42311011,0,746.37M,0,NO CHANGE,20.4%
G96629103,WTW,WILLIS TOWERS WATSON PLC LTD,1555667,0,427.81M,0,NO CHANGE,11.7%
G61188101,LBTYA,LIBERTY GLOBAL LTD,7194276,0,121.73M,0,NO CHANGE,3.3%
G50871105,JAZZ,JAZZ PHARMACEUTICALS PLC,833696,0,100.39M,0,NO CHANGE,2.7%
02156K103,OPTU,ALTICE USA INC,4774615,0,12.46M,0,NO CHANGE,0.34%
31773D200,FNCHQ,FINCH THERAPEUTICS GROUP INC,0,-67296,0,-243K,CLOSE,0%
G8807B106,TBPH,THERAVANCE BIOPHARMA INC,6594126,-825100,59.15M,-7.4M,-11.1%,1.6%
92552V100,VSAT,VIASAT INC,15030838,-1144001,271.91M,-20.69M,-7.1%,7.4%
531229722,LLYVK,LIBERTY MEDIA CORP DEL,0,-718270,0,-26.86M,CLOSE,0%
366505105,GTX,GARRETT MOTION INC,0,-2994289,0,-28.95M,CLOSE,0%
389375106,GTN,GRAY TELEVISION INC,0,-3760000,0,-33.69M,CLOSE,0%
46982L108,J,JACOBS SOLUTIONS INC,506786,-221000,77.91M,-33.97M,-30.4%,2.1%
G25508105,CRH,CRH PLC,2709543,-636000,233.72M,-54.86M,-19%,6.4%
31620M106,FIS,FIDELITY NATL INFORMATION SV,5578969,-781750,413.85M,-57.99M,-12.3%,11.3%
78467J100,SSNC,SS&C TECHNOLOGIES HLDGS INC,0,-1028545,0,-62.85M,CLOSE,0%
531229748,LLYVA,LIBERTY MEDIA CORP DEL,0,-1899547,0,-69.43M,CLOSE,0%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,0,-2710852,0,-82.73M,CLOSE,0%
531229813,,LIBERTY MEDIA CORP DEL,2677656,-5500000,79.53M,-163.35M,-67.3%,2.2%
934423104,WBD,WARNER BROS DISCOVERY INC,3713930,-21521164,32.42M,-187.88M,-85.3%,0.89%
531229789,,LIBERTY MEDIA CORP DEL,4351048,-10500000,129.27M,-311.96M,-70.7%,3.5%
Total,,,,,3.65B,-854.05M,-18.6%,100%
