CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594972408,MSTR,MICROSTRATEGY INC,8400,8400,14.32M,14.32M,NEW,9.3%
722304102,PDD,PDD HOLDINGS INC,35764,35764,4.16M,4.16M,NEW,2.7%
02079K305,GOOGL,ALPHABET INC,19758,19758,3.01M,3.01M,NEW,1.9%
92189F791,GDXJ,VANECK ETF TRUST,368930,68930,13.85M,2.59M,+23%,9%
48581R205,KSPI,KASPI KZ JSC,12160,12160,1.56M,1.56M,NEW,1%
89677Q107,TCOM,TRIP COM GROUP LTD,34900,34900,1.53M,1.53M,NEW,0.99%
594918104,MSFT,MICROSOFT CORP,3609,3609,1.52M,1.52M,NEW,0.98%
G6683N103,NU,NU HLDGS LTD,116475,116475,1.39M,1.39M,NEW,0.9%
91680M107,UPST,UPSTART HLDGS INC,50000,50000,1.34M,1.34M,NEW,0.87%
82835P103,SVM,SILVERCORP METALS INC,406634,406634,1.33M,1.33M,NEW,0.86%
464287432,TLT,ISHARES TR,12900,12900,1.22M,1.22M,NEW,0.79%
68827L101,OR,OSISKO GOLD ROYALTIES LTD,73800,73800,1.21M,1.21M,NEW,0.78%
85207K107,PSLV,SPROTT PHYSICAL SILVER TR,140000,140000,1.17M,1.17M,NEW,0.76%
L44385109,GLOB,GLOBANT S A,5500,5500,1.11M,1.11M,NEW,0.72%
92686J106,VKTX,VIKING THERAPEUTICS INC,12292,12292,1.01M,1.01M,NEW,0.65%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,317800,317800,997.89K,997.89K,NEW,0.65%
46429B598,INDA,ISHARES TR,42000,17900,2.16M,921.71K,+74.3%,1.4%
679295105,OKTA,OKTA INC,8371,8371,875.77K,875.77K,NEW,0.57%
55087P104,LYFT,LYFT INC,42591,42591,824.14K,824.14K,NEW,0.53%
00751Y106,AAP,ADVANCE AUTO PARTS INC,11640,11640,778.13K,778.13K,NEW,0.5%
433000106,HIMS,HIMS & HERS HEALTH INC,48926,48926,756.88K,756.88K,NEW,0.49%
29446Y502,EQX,EQUINOX GOLD CORP,125000,125000,752.5K,752.5K,NEW,0.49%
450913108,IAG,IAMGOLD CORP,223000,223000,742.59K,742.59K,NEW,0.48%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,18667,18667,712.71K,712.71K,NEW,0.46%
363576109,AJG,GALLAGHER ARTHUR J & CO,2808,2808,702.11K,702.11K,NEW,0.45%
74347Y789,VIXY,PROSHARES TR II,54049,54049,700.48K,700.48K,NEW,0.45%
31810T101,FINV,FINVOLUTION GROUP,136364,136364,687.27K,687.27K,NEW,0.44%
44955L106,IAUX,I-80 GOLD CORP,2000000,500000,2.68M,670K,+33.3%,1.7%
464286772,EWY,ISHARES INC,9400,9400,630.83K,630.83K,NEW,0.41%
N82405106,STLA,STELLANTIS N.V,22000,22000,623K,623K,NEW,0.4%
70450Y103,PYPL,PAYPAL HLDGS INC,13501,9062,904.06K,606.82K,+204.1%,0.58%
04523Y105,ASPN,ASPEN AEROGELS INC,33082,33082,582.24K,582.24K,NEW,0.38%
81141R100,SE,SEA LTD,11942,11942,579.43K,579.43K,NEW,0.37%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,9000,9000,558.54K,558.54K,NEW,0.36%
G38644103,GCT,GIGACLOUD TECHNOLOGY INC,20463,20463,546.77K,546.77K,NEW,0.35%
55903Q104,MAG,MAG SILVER CORP,60000,60000,541.2K,541.2K,NEW,0.35%
767204100,RIO,RIO TINTO PLC,84100,8000,5.55M,527.84K,+10.5%,3.6%
92189F106,GDX,VANECK ETF TRUST,316659,16659,10.01M,526.76K,+5.6%,6.5%
G9451V109,VINP,VINCI PARTNERS INVTS LTD,50000,50000,526K,526K,NEW,0.34%
G9460G101,VAL,VALARIS LTD,8150,8150,509.6K,509.6K,NEW,0.33%
03940C100,ACLX,ARCELLX INC,6787,6787,472.04K,472.04K,NEW,0.31%
698884103,PAR,PAR TECHNOLOGY CORP,10557,10557,462.61K,462.61K,NEW,0.3%
45781V101,IIPR,INNOVATIVE INDL PPTYS INC,12013,4355,1.24M,450.92K,+56.9%,0.8%
353469109,FC,FRANKLIN COVEY CO,11743,11743,448.35K,448.35K,NEW,0.29%
071734107,BHC,BAUSCH HEALTH COS INC,37506,37506,398K,398K,NEW,0.26%
61745C105,IIF,MORGAN STANLEY INDIA INVT FD,16536,16536,379.67K,379.67K,NEW,0.25%
02005N100,ALLY,ALLY FINL INC,9300,9300,377.49K,377.49K,NEW,0.24%
43010E404,HFRO,HIGHLAND OPPORTUNITIES,55000,55000,375.1K,375.1K,NEW,0.24%
336433107,FSLR,FIRST SOLAR INC,4827,2132,814.8K,359.88K,+79.1%,0.53%
72352L106,PINS,PINTEREST INC,9230,9230,321K,321K,NEW,0.21%
M5216V106,GLBE,GLOBAL E ONLINE LTD,9086,9086,307.74K,307.74K,NEW,0.2%
760125104,RTO,RENTOKIL INITIAL PLC,10000,10000,301.5K,301.5K,NEW,0.2%
37954Y319,GREK,GLOBAL X FDS,7312,7312,292.55K,292.55K,NEW,0.19%
502160104,LXU,LSB INDS INC,32076,32076,281.63K,281.63K,NEW,0.18%
98850P109,YUMC,YUM CHINA HLDGS INC,6780,6780,269.78K,269.78K,NEW,0.17%
92763W103,VIPS,VIPSHOP HLDGS LTD,69475,14656,1.15M,242.85K,+26.7%,0.74%
45104G104,IBN,ICICI BANK LIMITED,9000,9000,237.69K,237.69K,NEW,0.15%
G9456A100,GLNG,GOLAR LNG LTD,9250,9250,222.56K,222.56K,NEW,0.14%
74348T102,PSEC,PROSPECT CAP CORP,215000,40000,1.18M,219.6K,+22.9%,0.76%
92838X102,NCV,VIRTUS CONVERTIBLE & INCOME,45000,45000,148.5K,148.5K,NEW,0.1%
09660L105,DHF,BNY MELLON HIGH YIELD STRATE,55878,55878,132.99K,132.99K,NEW,0.09%
65487X102,NOAH,NOAH HLDGS LTD,409200,10900,4.68M,124.59K,+2.7%,3%
92919F103,VOXR,VOX ROYALTY CORP,60000,60000,113.4K,113.4K,NEW,0.07%
585464100,MLCO,MELCO RESORTS AND ENTMNT LTD,14000,14000,100.94K,100.94K,NEW,0.07%
38071H106,GROY,GOLD ROYALTY CORP,62731,62731,83.43K,83.43K,NEW,0.05%
985194208,YSG,YATSEN HLDG LTD,30000,30000,63.3K,63.3K,NEW,0.04%
302635206,FSK,FS KKR CAP CORP,82800,2800,1.57M,53.09K,+3.5%,1%
35671D857,FCX,FREEPORT-MCMORAN INC,200000,0,9.4M,0,NO CHANGE,6.1%
112830104,RA,BROOKFIELD REAL ASSETS INCOM,229500,0,2.97M,0,NO CHANGE,1.9%
45258D105,IMCR,IMMUNOCORE HLDGS PLC,40000,0,2.6M,0,NO CHANGE,1.7%
053332102,AZO,AUTOZONE INC,598,0,1.88M,0,NO CHANGE,1.2%
22266T109,CPNG,COUPANG INC,91100,0,1.62M,0,NO CHANGE,1%
44332N106,HTHT,H WORLD GROUP LTD,38000,0,1.47M,0,NO CHANGE,0.95%
084670108,BRK.A,BERKSHIRE HATHAWAY INC DEL,2,0,1.27M,0,NO CHANGE,0.82%
09247X101,,BLACKROCK INC,1459,0,1.22M,0,NO CHANGE,0.79%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,6111,0,684K,0,NO CHANGE,0.44%
811916105,SA,SEABRIDGE GOLD INC,50000,0,525.5K,0,NO CHANGE,0.34%
09260E105,BMEZ,BLACKROCK HEALTH SCIENCES TE,30000,0,490.2K,0,NO CHANGE,0.32%
48251W104,KKR,KKR & CO INC,4815,0,486K,0,NO CHANGE,0.31%
338478100,FFC,FLAHERTY & CRUMRINE PFD SECS,30227,0,447.06K,0,NO CHANGE,0.29%
69355J104,SDHY,PGIM SHORT DUR HIG YLD OPP F,26500,0,405.98K,0,NO CHANGE,0.26%
57064P107,MKTW,MARKETWISE INC,110851,0,258.28K,0,NO CHANGE,0.17%
354613101,BEN,FRANKLIN RESOURCES INC,8667,0,244K,0,NO CHANGE,0.16%
94987B105,EAD,ALLSPRING INCOME OPPORTUNIT,29000,0,191.98K,0,NO CHANGE,0.12%
934423104,WBD,WARNER BROS DISCOVERY INC,19386,-905,169.24K,-7.9K,-4.5%,0.11%
30303M102,META,META PLATFORMS INC,5405,-21,2.63M,-10.21K,-0.4%,1.7%
771049103,RBLX,ROBLOX CORP,6850,-286,262K,-10.94K,-4%,0.17%
76882G107,OPP,RIVERNORTH DOUBLELINE STRATE,64556,-3000,551.95K,-25.65K,-4.4%,0.36%
67073B106,JPC,NUVEEN PFD & INCOME OPPORTUN,12000,-27000,85.92K,-193.32K,-69.2%,0.06%
968223206,WLY,WILEY JOHN & SONS INC,0,-6868,0,-217.99K,CLOSE,0%
418056107,HAS,HASBRO INC,0,-4897,0,-250.04K,CLOSE,0%
78462F103,SPY,SPDR S&P 500 ETF TR,3310,-529,1.68M,-268.47K,-13.8%,1.1%
88160R101,TSLA,TESLA INC,0,-1149,0,-285.5K,CLOSE,0%
G85158106,STNE,STONECO LTD,0,-16291,0,-293.73K,CLOSE,0%
042068205,ARM,ARM HOLDINGS PLC,0,-3969,0,-298.25K,CLOSE,0%
30041R108,EVER,EVERQUOTE INC,0,-25628,0,-314K,CLOSE,0%
N07059210,ASML,ASML HOLDING N V,0,-418,0,-316.39K,CLOSE,0%
75513E101,RTX,RTX CORPORATION,0,-3940,0,-331.51K,CLOSE,0%
87911J103,HQH,ABRDN HEALTHCARE INVESTORS,243560,-20000,4.05M,-332.6K,-7.6%,2.6%
67072T108,JFR,NUVEEN FLOATING RATE INCOME,0,-40000,0,-338.4K,CLOSE,0%
