CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
406216101,HAL,HALLIBURTON CO,1447075,835000,57.04M,32.92M,+136.4%,2.2%
464287655,IWM,ISHARES RUSSELL 2000 ETF,606201,156201,127.48M,32.85M,+34.7%,4.9%
806857108,SLB,SCHLUMBERGER LTD,510000,510000,27.95M,27.95M,NEW,1.1%
020764106,AMR,ALPHA METALLURGICAL RESOURCE,350125,62725,115.95M,20.77M,+21.8%,4.5%
92189H607,OIH,VANECK OIL SERVICES ETF,322103,43603,108.33M,14.66M,+15.7%,4.2%
78464A870,XBI,SPDR S&P BIOTECH ETF,99300,99300,9.42M,9.42M,NEW,0.36%
78464A698,KRE,SPDR S&P REGIONAL BANKING,351727,170000,17.68M,8.55M,+93.5%,0.68%
038222105,AMAT,APPLIED MATERIALS INC,40000,40000,8.25M,8.25M,NEW,0.32%
45768S105,IOSP,INNOSPEC INC,54990,54990,7.09M,7.09M,NEW,0.27%
33733E807,FCG,FIRST TRUST NATURAL GAS ETF,222039,222039,6.09M,6.09M,NEW,0.24%
75282U104,RNGR,RANGER ENERGY SERVICES INC,538190,432570,6.08M,4.88M,+409.6%,0.23%
464287630,IWN,ISHARES RUSSELL 2000 VALUE E,111876,30000,17.77M,4.76M,+36.6%,0.69%
423452101,HP,HELMERICH & PAYNE,518571,112795,21.81M,4.74M,+27.8%,0.84%
336433107,FSLR,FIRST SOLAR INC,25000,25000,4.22M,4.22M,NEW,0.16%
502160104,LXU,LSB INDUSTRIES INC,2450496,457139,21.52M,4.01M,+22.9%,0.83%
458665304,TILE,INTERFACE INC,250363,228435,4.21M,3.84M,+1041.8%,0.16%
608190104,MHK,MOHAWK INDUSTRIES INC,333064,29237,43.59M,3.83M,+9.6%,1.7%
20854L108,CEIX,CONSOL ENERGY INC,185355,45355,15.53M,3.8M,+32.4%,0.6%
023139884,OSG,AMBAC FINANCIAL GROUP INC,434313,235058,6.79M,3.67M,+118%,0.26%
007903107,AMD,ADVANCED MICRO DEVICES,50000,20000,9.02M,3.61M,+66.7%,0.35%
G6359F137,NBR,NABORS INDUSTRIES LTD,436442,40141,37.59M,3.46M,+10.1%,1.5%
231021106,CMI,CUMMINS INC,25000,10000,7.37M,2.95M,+66.7%,0.28%
172967424,C,CITIGROUP INC,145000,45000,9.17M,2.85M,+45%,0.35%
21867A105,CLB,CORE LABORATORIES INC,326890,164797,5.58M,2.81M,+101.7%,0.22%
19247G107,COHR,COHERENT CORP,45000,45000,2.73M,2.73M,NEW,0.11%
03940R107,ARCH,ARCH RESOURCES INC,301039,15558,48.4M,2.5M,+5.4%,1.9%
08579W103,BERY,BERRY GLOBAL GROUP INC,40000,40000,2.42M,2.42M,NEW,0.09%
635309206,NCMI,NATIONAL CINEMEDIA INC,456620,456620,2.35M,2.35M,NEW,0.09%
82846H207,,SILVERSUN TECHNOLOGIES INC,183263,168262,2.42M,2.22M,+1121.7%,0.09%
05337M104,,AVADEL PHARMACEUTICALS-ADR,5708118,92768,96.41M,1.57M,+1.7%,3.7%
68628V308,ORN,ORION GROUP HOLDINGS INC,819566,164755,6.72M,1.35M,+25.2%,0.26%
678026105,OIS,OIL STATES INTERNATIONAL INC,2897405,215274,17.85M,1.33M,+8%,0.69%
358435105,FRD,FRIEDMAN INDUSTRIES,435666,61339,8.16M,1.15M,+16.4%,0.32%
88162F105,TTI,TETRA TECHNOLOGIES INC,4811224,252632,21.31M,1.12M,+5.5%,0.82%
46138G706,TAN,INVESCO SOLAR ETF,20000,20000,907.4K,907.4K,NEW,0.04%
48253L205,KLXE,KLX ENERGY SERVICES HOLDING,1624096,97301,12.57M,753.11K,+6.4%,0.49%
71880K101,PHIN,PHINIA INC,18465,18465,709.61K,709.61K,NEW,0.03%
44951J105,IROQ,IF BANCORP INC,312151,40111,5.19M,667.05K,+14.7%,0.2%
