CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
15101Q207,CLS,Celestica Inc,495700,495700,22.27M,22.27M,NEW,3.6%
353469109,FC,Franklin Covey Co,160000,110000,6.26M,4.31M,+220%,1%
922417100,VECO,Veeco Instruments Inc,120000,120000,4.22M,4.22M,NEW,0.68%
029683109,LGTY,American Software Inc/GA,700000,355000,8.02M,4.06M,+102.9%,1.3%
75704L104,RDVT,Red Violet Inc,200000,200000,3.91M,3.91M,NEW,0.63%
92835K103,VPG,Vishay Precision Group Inc,100000,100000,3.53M,3.53M,NEW,0.57%
08975P108,CMRC,BigCommerce Holdings Inc,350000,350000,2.4M,2.4M,NEW,0.39%
04206A101,ARLO,Arlo Technologies Inc,1277000,186008,16.14M,2.35M,+17%,2.6%
053604104,AVPT,AvePoint Inc,700000,275000,5.53M,2.17M,+64.7%,0.9%
45828L108,IAS,Integral Ad Science Holding Corp,200000,200000,1.99M,1.99M,NEW,0.32%
90364P105,PATH,UiPath Inc,87000,87000,1.97M,1.97M,NEW,0.32%
65487K100,LASR,nLight Inc,250000,150000,3.24M,1.95M,+150%,0.53%
848560306,SPIR,Spire Global Inc,150000,150000,1.8M,1.8M,NEW,0.29%
00973N102,AKTSQ,Akoustis Technologies Inc,4303636,3000000,2.53M,1.77M,+230.1%,0.41%
05368X102,AVDX,AvidXchange Holdings Inc,350000,120000,4.6M,1.58M,+52.2%,0.75%
925815102,VICR,Vicor Corp,180000,40000,6.87M,1.53M,+28.6%,1.1%
50155Q100,KD,Kyndryl Holdings Inc,67000,67000,1.46M,1.46M,NEW,0.24%
705573103,PEGA,Pegasystems Inc,347500,21000,22.45M,1.36M,+6.4%,3.6%
413160102,HLIT,Harmonic Inc,750000,100000,10.06M,1.34M,+15.4%,1.6%
31846B108,FA,First Advantage Corp,300000,75000,4.86M,1.22M,+33.3%,0.79%
19239V302,CCOI,Cogent Communications Holdings Inc,200600,16600,13.1M,1.08M,+9%,2.1%
M2682V108,CYBR,CyberArk Software Ltd,48300,4000,12.82M,1.06M,+9%,2.1%
25400W102,APPS,Digital Turbine Inc,600000,400000,1.57M,1.04M,+200%,0.25%
05366Y201,AVNW,Aviat Networks Inc,150000,25000,5.75M,957.5K,+20%,0.93%
28617B606,ELVA,Electrovaya Inc,250000,250000,905K,905K,NEW,0.15%
