CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,596000,596000,73.63M,73.63M,NEW,17.3%
517834107,LVS,LAS VEGAS SANDS CORP,1131515,1131515,50.07M,50.07M,NEW,11.8%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,302000,302000,49.61M,49.61M,NEW,11.7%
974637100,WGO,WINNEBAGO INDS INC,877678,877678,47.57M,47.57M,NEW,11.2%
44332N106,HTHT,H WORLD GROUP LTD,1408801,1408801,46.94M,46.94M,NEW,11%
64110W102,NTES,NETEASE INC,335000,335000,32.02M,32.02M,NEW,7.5%
03662Q105,ANSS,ANSYS INC,91573,91573,29.44M,29.44M,NEW,6.9%
15101Q207,CLS,CELESTICA INC,340945,340945,19.55M,19.55M,NEW,4.6%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,223650,223650,17.38M,17.38M,NEW,4.1%
871607107,SNPS,SYNOPSYS INC,29100,29100,17.32M,17.32M,NEW,4.1%
874080104,TAL,TAL EDUCATION GROUP,1541190,1541190,16.44M,16.44M,NEW,3.9%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,96580,96580,15.02M,15.02M,NEW,3.5%
G6700G107,NVT,NVENT ELECTRIC PLC,128193,128193,9.82M,9.82M,NEW,2.3%
Total,,,,,424.81M,424.81M,+100%,100%
